"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Rhat"	"Bulk_ESS"	"Tail_ESS"
"Intercept"	7.39807207089539	0.462296053379113	6.49166485424411	8.30709189264523	1.02145053510619	150	397
"True_Minus_False.C"	-0.0820688886721897	0.0500911862421791	-0.180274826548249	0.013672336229839	1.00616490682322	470	852
"HasRC.C"	-0.149820687855169	0.013272391943312	-0.176169154844643	-0.123606256505938	1.00224976485565	6903	2617
"compatible.C"	-0.135606429031871	0.177469120394625	-0.479520311811526	0.220670698651981	1.00898364456912	496	958
"True_Minus_False.C:HasRC.C"	-0.00895987045593191	0.011801558635718	-0.0325121112692971	0.0138530455767677	1.00002007168992	6056	2977
"HasRC.C:compatible.C"	-0.112288584773684	0.0260891604325169	-0.164468235430573	-0.0611364882782001	1.0001723555134	4516	2640
"True_Minus_False.C:compatible.C"	0.0133941129080963	0.0138105910471203	-0.0132323932299851	0.0404603926932951	1.00121969678576	2851	2707
