"Noun" "Region" "Condition" "Surprisal"
"146" "guess" "V1_0" "NoSC_in" 8.959619475
"147" "guess" "V1_0" "SC_co" 10.3224192
"148" "guess" "V1_0" "SC_in" 10.34136945
"149" "guess" "V1_0" "SCRC_co" 10.49194795
"150" "guess" "V1_0" "SCRC_in" 10.237222375
"151" "idea" "V1_0" "NoSC_co" 9.323409025
"152" "idea" "V1_0" "NoSC_in" 9.323409025
"153" "idea" "V1_0" "SC_co" 10.253760975
"154" "idea" "V1_0" "SC_in" 10.235443175
"155" "idea" "V1_0" "SCRC_co" 10.057106375
"156" "idea" "V1_0" "SCRC_in" 10.214111475
"157" "impression" "V1_0" "NoSC_co" 9.693878025
"158" "impression" "V1_0" "NoSC_in" 9.693878025
"159" "impression" "V1_0" "SC_co" 9.046918
"160" "impression" "V1_0" "SC_in" 9.15620555
"161" "impression" "V1_0" "SCRC_co" 9.70715405
"162" "impression" "V1_0" "SCRC_in" 9.612966925
"163" "indication" "V1_0" "NoSC_co" 10.9407816
"164" "indication" "V1_0" "NoSC_in" 10.9407816
"165" "indication" "V1_0" "SC_co" 10.25466015
"166" "indication" "V1_0" "SC_in" 10.347013
"167" "indication" "V1_0" "SCRC_co" 10.3559727
"168" "indication" "V1_0" "SCRC_in" 10.1125439
"169" "information" "V1_0" "NoSC_co" 9.4689615
"170" "information" "V1_0" "NoSC_in" 9.4689615
"171" "information" "V1_0" "SC_co" 9.5956865
"172" "information" "V1_0" "SC_in" 9.40658405
"173" "information" "V1_0" "SCRC_co" 11.18972875
"174" "information" "V1_0" "SCRC_in" 10.899961025
"175" "intuition" "V1_0" "NoSC_co" 11.36509395
"176" "intuition" "V1_0" "NoSC_in" 11.36509395
"177" "intuition" "V1_0" "SC_co" 10.001573675
"178" "intuition" "V1_0" "SC_in" 10.039691675
"179" "intuition" "V1_0" "SCRC_co" 10.250867125
"180" "intuition" "V1_0" "SCRC_in" 10.295115425
"181" "message" "V1_0" "NoSC_co" 8.6916594
"182" "message" "V1_0" "NoSC_in" 8.6916594
"183" "message" "V1_0" "SC_co" 10.298580975
"184" "message" "V1_0" "SC_in" 10.23474885
"185" "message" "V1_0" "SCRC_co" 10.9276107
"186" "message" "V1_0" "SCRC_in" 10.696526375
"187" "myth" "V1_0" "NoSC_co" 8.94019525
"188" "myth" "V1_0" "NoSC_in" 8.94019525
"189" "myth" "V1_0" "SC_co" 11.129065925
