"(Intercept)" "RCTRUE" "compatibleTRUE"
"actor_fans" 9.86761032993405 -1.82380021551727 1.88579281705063
"agent_fbi" 4.31310457546513 -1.82380021551727 3.28618726773938
"banker_analyst" 8.14041875790407 -1.82380021551727 2.23133745839241
"bully_children" 2.60039950582295 -1.82380021551727 0.678349019656619
"bureaucrat_guard" 8.91751423208929 -1.82380021551727 -3.03549483132189
"businessman_sponsor" 7.01177553035041 -1.82380021551727 3.08337816997316
"captain_crew" 3.42561144658126 -1.82380021551727 0.531478919729602
"carpenter_craftsman" 3.98919655101254 -1.82380021551727 3.36035870705479
"cousin_bror" 8.02182390558992 -1.82380021551727 0.0292233242363734
"criminal_stranger" 9.09351873083379 -1.82380021551727 1.45541971557311
"customer_vendor" 4.06284529891659 -1.82380021551727 -0.402565561840315
"daughter_sister" 8.6716414182847 -1.82380021551727 -0.577974372395435
"doctor_colleague" 8.73314248664351 -1.82380021551727 0.911969597184242
"drinker_thug" 11.0850365368487 -1.82380021551727 -0.852648693406796
"driver_guide" 8.6954900519228 -1.82380021551727 -1.20701769935695
"fiancé_author" 6.7332789876538 -1.82380021551727 2.22479218572985
"firefighter_neighbor" 8.52630353794337 -1.82380021551727 2.51103704082129
"fisherman_gardener" 3.20640785202139 -1.82380021551727 1.54100215761148
"guest_cousin" 11.4615286494426 -1.82380021551727 0.417933691531033
"investor_scientist" 10.3309366740784 -1.82380021551727 0.698094051535886
"janitor_organizer" 3.31537839382942 -1.82380021551727 0.200017309874757
"judge_attorney" 2.94893806884708 -1.82380021551727 0.645144714193252
"lifeguard_soldier" 8.12153028349515 -1.82380021551727 3.94921435502515
"manager_boss" 9.99136170741469 -1.82380021551727 0.939874586399531
"medic_survivor" 9.34121955788022 -1.82380021551727 0.790295927467994
"musician_far" 4.77743392354723 -1.82380021551727 1.2052555757116
"pediatrician_receptionist" 7.207305389804 -1.82380021551727 0.958401185174581
"pharmacist_stranger" 14.9570000249039 -1.82380021551727 1.12126276384417
"plaintiff_jury" 10.573360630117 -1.82380021551727 -0.980555922760081
"plumber_apprentice" 5.4862578957325 -1.82380021551727 1.62375611591179
"president_farmer" 9.88963954813679 -1.82380021551727 0.147604391908236
"psychiatrist_nurse" 11.5218245450054 -1.82380021551727 -0.405422996429984
"senator_diplomat" 10.3012172468863 -1.82380021551727 0.950531593716167
"sponsor_musician" 5.97473904190406 -1.82380021551727 1.17841087379375
"surgeon_patient" 3.46335682660017 -1.82380021551727 1.84852429462701
"teacher_principal" 4.34109489049336 -1.82380021551727 -0.303815534003913
"tenant_foreman" 10.2084600333134 -1.82380021551727 -0.592343946511199
"thief_detective" 10.1822843554513 -1.82380021551727 -1.45415919355391
"vendor_salesman" 5.51782090159527 -1.82380021551727 0.572941976538718
"victim_swimmer" 11.7357304687841 -1.82380021551727 2.40274517046856
