"ID"	"Noun"	"Region"	"Condition"	"predictability_weight"	"deletion_rate"	"Surprisal"	"ThatFraction"
"64"	6052245	"concern"	"V1"	"u"	0	0.55	29.769522190094	0.291666666666667
"65"	6052245	"concern"	"V2"	"g"	0	0.55	21.9381380081177	0.385416666666667
"66"	6052245	"concern"	"V2"	"u"	0	0.55	0	0
"67"	6052245	"conclusion"	"EOS"	"g"	0	0.55	2.9181010723114	0.138888888888889
"68"	6052245	"conclusion"	"EOS"	"u"	0	0.55	4.844651222229	0.527777777777778
"69"	6052245	"conclusion"	"V1"	"g"	0	0.55	27.5115242004395	0.375
"70"	6052245	"conclusion"	"V1"	"u"	0	0.55	28.3430542945862	0.461805555555556
"71"	6052245	"conclusion"	"V2"	"g"	0	0.55	21.6858439445496	0.302083333333333
"72"	6052245	"conclusion"	"V2"	"u"	0	0.55	0	0
"73"	6052245	"confirmation"	"EOS"	"g"	0	0.55	3.64829874038696	0.0138888888888889
"74"	6052245	"confirmation"	"EOS"	"u"	0	0.55	4.48432731628418	0.149305555555556
"75"	6052245	"confirmation"	"V1"	"g"	0	0.55	27.6683912277222	0.208333333333333
"76"	6052245	"confirmation"	"V1"	"u"	0	0.55	29.4805378913879	0.194444444444444
"77"	6052245	"confirmation"	"V2"	"g"	0	0.55	22.3370008468628	0.118055555555556
"78"	6052245	"confirmation"	"V2"	"u"	0	0.55	0	0
"79"	6052245	"declaration"	"EOS"	"g"	0	0.55	3.95284461975098	0.0138888888888889
"80"	6052245	"declaration"	"EOS"	"u"	0	0.55	5.23538017272949	0.232638888888889
"81"	6052245	"declaration"	"V1"	"g"	0	0.55	26.6513614654541	0.434027777777778
"82"	6052245	"declaration"	"V1"	"u"	0	0.55	29.6990976333618	0.270833333333333
"83"	6052245	"declaration"	"V2"	"g"	0	0.55	21.9177098274231	0.256944444444444
"84"	6052245	"declaration"	"V2"	"u"	0	0.55	0	0
"85"	6052245	"evidence"	"EOS"	"g"	0	0.55	3.99748229980469	0.0381944444444444
"86"	6052245	"evidence"	"EOS"	"u"	0	0.55	5.19497108459473	0.451388888888889
"87"	6052245	"evidence"	"V1"	"g"	0	0.55	27.4548196792603	0.0520833333333333
"88"	6052245	"evidence"	"V1"	"u"	0	0.55	28.2644982337952	0.0520833333333333
"89"	6052245	"evidence"	"V2"	"g"	0	0.55	21.7536869049072	0.222222222222222
"90"	6052245	"evidence"	"V2"	"u"	0	0.55	0	0
"91"	6052245	"fact"	"EOS"	"g"	0	0.55	3.71782779693604	0.256944444444444
"92"	6052245	"fact"	"EOS"	"u"	0	0.55	5.34178256988525	0.541666666666667
"93"	6052245	"fact"	"V1"	"g"	0	0.55	27.3055515289307	0.194444444444444
"94"	6052245	"fact"	"V1"	"u"	0	0.55	30.6690893173218	0.256944444444444
"95"	6052245	"fact"	"V2"	"g"	0	0.55	21.5565977096558	0.34375
"96"	6052245	"fact"	"V2"	"u"	0	0.55	0	0
"97"	6052245	"feeling"	"EOS"	"g"	0	0.55	3.21937346458435	0.138888888888889
"98"	6052245	"feeling"	"EOS"	"u"	0	0.55	5.14495992660522	0.645833333333333
"99"	6052245	"feeling"	"V1"	"g"	0	0.55	27.5515503883362	0.413194444444444
"100"	6052245	"feeling"	"V1"	"u"	0	0.55	29.173698425293	0.333333333333333
"101"	6052245	"feeling"	"V2"	"g"	0	0.55	22.1474771499634	0.347222222222222
"102"	6052245	"feeling"	"V2"	"u"	0	0.55	0	0
"103"	6052245	"finding"	"EOS"	"g"	0	0.55	3.90584373474121	0.371527777777778
"104"	6052245	"finding"	"EOS"	"u"	0	0.55	5.68293762207031	0.857638888888889
"105"	6052245	"finding"	"V1"	"g"	0	0.55	27.8220047950745	0.586805555555556
"106"	6052245	"finding"	"V1"	"u"	0	0.55	30.1962909698486	0.652777777777778
"107"	6052245	"finding"	"V2"	"g"	0	0.55	22.3109312057495	0.638888888888889
"108"	6052245	"finding"	"V2"	"u"	0	0.55	0	0
"109"	6052245	"idea"	"EOS"	"g"	0	0.55	4.12868070602417	0.0208333333333333
"110"	6052245	"idea"	"EOS"	"u"	0	0.55	4.87386417388916	0.239583333333333
"111"	6052245	"idea"	"V1"	"g"	0	0.55	27.0905675888062	0.475694444444444
"112"	6052245	"idea"	"V1"	"u"	0	0.55	28.8936729431152	0.222222222222222
"113"	6052245	"idea"	"V2"	"g"	0	0.55	21.8499445915222	0.208333333333333
"114"	6052245	"idea"	"V2"	"u"	0	0.55	0	0
"115"	6052245	"indication"	"EOS"	"g"	0	0.55	3.41702723503113	0.118055555555556
"116"	6052245	"indication"	"EOS"	"u"	0	0.55	4.41676473617554	0.579861111111111
"117"	6052245	"indication"	"V1"	"g"	0	0.55	27.3534746170044	0.215277777777778
"118"	6052245	"indication"	"V1"	"u"	0	0.55	27.9197854995728	0.315972222222222
"119"	6052245	"indication"	"V2"	"g"	0	0.55	21.9947476387024	0.333333333333333
"120"	6052245	"indication"	"V2"	"u"	0	0.55	0	0
"121"	6052245	"information"	"EOS"	"g"	0	0.55	3.43370294570923	0.0486111111111111
"122"	6052245	"information"	"EOS"	"u"	0	0.55	3.36466693878174	0.309027777777778
"123"	6052245	"information"	"V1"	"g"	0	0.55	27.5014667510986	0.368055555555556
"124"	6052245	"information"	"V1"	"u"	0	0.55	28.568009853363	0.163194444444444
"125"	6052245	"information"	"V2"	"g"	0	0.55	22.3578853607178	0.152777777777778
"126"	6052245	"information"	"V2"	"u"	0	0.55	0	0
"127"	6052245	"myth"	"EOS"	"g"	0	0.55	3.69905734062195	0.0347222222222222
"128"	6052245	"myth"	"EOS"	"u"	0	0.55	4.49265336990356	0.236111111111111
"129"	6052245	"myth"	"V1"	"g"	0	0.55	27.4617762565613	0.114583333333333
"130"	6052245	"myth"	"V1"	"u"	0	0.55	29.544584274292	0.204861111111111
"131"	6052245	"myth"	"V2"	"g"	0	0.55	22.9264049530029	0.375
"132"	6052245	"myth"	"V2"	"u"	0	0.55	0	0
"133"	6052245	"news"	"EOS"	"g"	0	0.55	3.79131603240967	0.0694444444444444
"134"	6052245	"news"	"EOS"	"u"	0	0.55	4.73894023895264	0.25
"135"	6052245	"news"	"V1"	"g"	0	0.55	28.6966562271118	0.326388888888889
"136"	6052245	"news"	"V1"	"u"	0	0.55	30.5308895111084	0.243055555555556
"137"	6052245	"news"	"V2"	"g"	0	0.55	22.1284852027893	0.243055555555556
"138"	6052245	"news"	"V2"	"u"	0	0.55	0	0
"139"	6052245	"opinion"	"EOS"	"g"	0	0.55	3.98883390426636	0.104166666666667
"140"	6052245	"opinion"	"EOS"	"u"	0	0.55	5.64291477203369	0.420138888888889
"141"	6052245	"opinion"	"V1"	"g"	0	0.55	27.643415927887	0.21875
"142"	6052245	"opinion"	"V1"	"u"	0	0.55	27.8279070854187	0.152777777777778
"143"	6052245	"opinion"	"V2"	"g"	0	0.55	22.0164661407471	0.381944444444444
"144"	6052245	"opinion"	"V2"	"u"	0	0.55	0	0
"145"	6052245	"perception"	"EOS"	"g"	0	0.55	3.86203718185425	0.0729166666666667
"146"	6052245	"perception"	"EOS"	"u"	0	0.55	4.31147289276123	0.486111111111111
"147"	6052245	"perception"	"V1"	"g"	0	0.55	27.1767835617065	0.361111111111111
"148"	6052245	"perception"	"V1"	"u"	0	0.55	27.8122553825378	0.232638888888889
"149"	6052245	"perception"	"V2"	"g"	0	0.55	21.9032392501831	0.232638888888889
"150"	6052245	"perception"	"V2"	"u"	0	0.55	0	0
"151"	6052245	"prediction"	"EOS"	"g"	0	0.55	4.12782764434814	0.0451388888888889
"152"	6052245	"prediction"	"EOS"	"u"	0	0.55	4.82512378692627	0.253472222222222
"153"	6052245	"prediction"	"V1"	"g"	0	0.55	26.8228163719177	0.378472222222222
"154"	6052245	"prediction"	"V1"	"u"	0	0.55	27.3819818496704	0.173611111111111
"155"	6052245	"prediction"	"V2"	"g"	0	0.55	21.9670190811157	0.246527777777778
"156"	6052245	"prediction"	"V2"	"u"	0	0.55	0	0
"157"	6052245	"presumption"	"EOS"	"g"	0	0.55	3.66816473007202	0.0208333333333333
"158"	6052245	"presumption"	"EOS"	"u"	0	0.55	5.0190577507019	0.125
