Noun	Region	Condition	Surprisal	ThatFraction	ID	predictability_weight	deletion_rate	autoencoder	lm
report	V2_0	plur	4.2253642082214355	0.0	457453637	0.0	0.3	727001672	935649231
report	V2_1	plur	7.635918617248535	0.0	457453637	0.0	0.3	727001672	935649231
report	V2_0	sing	5.670711517333984	1.0	457453637	0.0	0.3	727001672	935649231
report	V2_1	sing	7.470658779144287	1.0	457453637	0.0	0.3	727001672	935649231
story	V2_0	plur	3.228288173675537	0.0	457453637	0.0	0.3	727001672	935649231
story	V2_1	plur	7.824046611785889	0.0	457453637	0.0	0.3	727001672	935649231
story	V2_0	sing	5.181895732879639	1.0	457453637	0.0	0.3	727001672	935649231
story	V2_1	sing	7.866017818450928	1.0	457453637	0.0	0.3	727001672	935649231
admission	V2_0	plur	3.536985397338867	0.0	457453637	0.0	0.3	727001672	935649231
admission	V2_1	plur	7.9051432609558105	0.0	457453637	0.0	0.3	727001672	935649231
admission	V2_0	sing	4.8404436111450195	1.0	457453637	0.0	0.3	727001672	935649231
admission	V2_1	sing	7.524260997772217	1.0	457453637	0.0	0.3	727001672	935649231
complaint	V2_0	plur	4.403814315795898	0.0	457453637	0.0	0.3	727001672	935649231
complaint	V2_1	plur	7.152307510375977	0.0	457453637	0.0	0.3	727001672	935649231
complaint	V2_0	sing	5.6155500411987305	1.0	457453637	0.0	0.3	727001672	935649231
complaint	V2_1	sing	7.579470634460449	1.0	457453637	0.0	0.3	727001672	935649231
truth	V2_0	plur	2.937598943710327	0.0	457453637	0.0	0.3	727001672	935649231
truth	V2_1	plur	7.457663536071777	0.0	457453637	0.0	0.3	727001672	935649231
truth	V2_0	sing	4.749729633331299	1.0	457453637	0.0	0.3	727001672	935649231
truth	V2_1	sing	7.012328624725342	1.0	457453637	0.0	0.3	727001672	935649231
assessment	V2_0	plur	3.8455820083618164	0.0	457453637	0.0	0.3	727001672	935649231
assessment	V2_1	plur	7.393546104431152	0.0	457453637	0.0	0.3	727001672	935649231
assessment	V2_0	sing	5.024797439575195	1.0	457453637	0.0	0.3	727001672	935649231
assessment	V2_1	sing	6.430682182312012	1.0	457453637	0.0	0.3	727001672	935649231
declaration	V2_0	plur	3.9631507396698	0.0	457453637	0.0	0.3	727001672	935649231
declaration	V2_1	plur	7.661374568939209	0.0	457453637	0.0	0.3	727001672	935649231
declaration	V2_0	sing	5.747228145599365	0.9166666666666666	457453637	0.0	0.3	727001672	935649231
declaration	V2_1	sing	7.8240580558776855	1.0	457453637	0.0	0.3	727001672	935649231
report	V2_0	plur	8.789356231689453	0.0	957650986	0.0	0.5	516252642	27553360
report	V2_1	plur	7.557689666748047	0.0	957650986	0.0	0.5	516252642	27553360
report	V2_0	sing	10.885671615600586	0.4236111111111111	957650986	0.0	0.5	516252642	27553360
report	V2_1	sing	8.320245742797852	0.4548611111111111	957650986	0.0	0.5	516252642	27553360
story	V2_0	plur	8.479795455932617	0.0	957650986	0.0	0.5	516252642	27553360
story	V2_1	plur	8.343615531921387	0.0	957650986	0.0	0.5	516252642	27553360
