Script	ID	predictability_weight	deletion_rate	Word	Distance	AvailableRate
script__QC_3_W_GPT2M	900360318	1.0	0.45	7	belief	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	8	belief	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	9	belief	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	10	belief	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	11	belief	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	12	belief	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	13	belief	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	14	belief	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	15	belief	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	16	belief	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	17	belief	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	18	belief	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	19	belief	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	20	belief	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	0	finding	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	1	finding	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	2	finding	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	3	finding	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	4	finding	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	5	finding	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	6	finding	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	7	finding	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	8	finding	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	9	finding	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	10	finding	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	11	finding	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	12	finding	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	13	finding	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	14	finding	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	15	finding	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	16	finding	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	17	finding	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	18	finding	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	19	finding	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	20	finding	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	0	prediction	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	1	prediction	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	2	prediction	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	3	prediction	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	4	prediction	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	5	prediction	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	6	prediction	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	7	prediction	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	8	prediction	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	9	prediction	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	10	prediction	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	11	prediction	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	12	prediction	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	13	prediction	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	14	prediction	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	15	prediction	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	16	prediction	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	17	prediction	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	18	prediction	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	19	prediction	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	20	prediction	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	0	of	0.02
script__QC_3_W_GPT2M	900360318	1.0	0.45	1	of	0.01
script__QC_3_W_GPT2M	900360318	1.0	0.45	2	of	0.02
script__QC_3_W_GPT2M	900360318	1.0	0.45	3	of	0.01
script__QC_3_W_GPT2M	900360318	1.0	0.45	4	of	0.01
script__QC_3_W_GPT2M	900360318	1.0	0.45	5	of	0.99
script__QC_3_W_GPT2M	900360318	1.0	0.45	6	of	0.96
script__QC_3_W_GPT2M	900360318	1.0	0.45	7	of	0.01
script__QC_3_W_GPT2M	900360318	1.0	0.45	8	of	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	9	of	0.23
script__QC_3_W_GPT2M	900360318	1.0	0.45	10	of	0.99
script__QC_3_W_GPT2M	900360318	1.0	0.45	11	of	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	12	of	0.96
script__QC_3_W_GPT2M	900360318	1.0	0.45	13	of	0.86
script__QC_3_W_GPT2M	900360318	1.0	0.45	14	of	0.98
script__QC_3_W_GPT2M	900360318	1.0	0.45	15	of	0.93
script__QC_3_W_GPT2M	900360318	1.0	0.45	16	of	0.98
script__QC_3_W_GPT2M	900360318	1.0	0.45	17	of	0.99
script__QC_3_W_GPT2M	900360318	1.0	0.45	18	of	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	19	of	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	20	of	0.01
script__QC_3_W_GPT2M	900360318	1.0	0.45	0	by	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	1	by	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	2	by	0.01
script__QC_3_W_GPT2M	900360318	1.0	0.45	3	by	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	4	by	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	5	by	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	6	by	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	7	by	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	8	by	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	9	by	0.23
script__QC_3_W_GPT2M	900360318	1.0	0.45	10	by	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	11	by	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	12	by	0.99
script__QC_3_W_GPT2M	900360318	1.0	0.45	13	by	0.97
script__QC_3_W_GPT2M	900360318	1.0	0.45	14	by	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	15	by	0.99
script__QC_3_W_GPT2M	900360318	1.0	0.45	16	by	0.99
script__QC_3_W_GPT2M	900360318	1.0	0.45	17	by	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	18	by	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	19	by	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	20	by	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	0	about	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	1	about	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	2	about	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	3	about	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	4	about	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	5	about	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	6	about	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	7	about	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	8	about	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	9	about	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	10	about	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	11	about	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	12	about	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	13	about	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	14	about	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	15	about	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	16	about	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	17	about	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	18	about	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	19	about	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	20	about	0.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	0	was	0.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	1	was	0.28
script__QC_3_W_GPT2M	763369683	0.25	0.35	2	was	0.23
script__QC_3_W_GPT2M	763369683	0.25	0.35	3	was	0.27
script__QC_3_W_GPT2M	763369683	0.25	0.35	4	was	0.22
script__QC_3_W_GPT2M	763369683	0.25	0.35	5	was	0.18
script__QC_3_W_GPT2M	763369683	0.25	0.35	6	was	0.19
script__QC_3_W_GPT2M	763369683	0.25	0.35	7	was	0.26
script__QC_3_W_GPT2M	763369683	0.25	0.35	8	was	0.15
script__QC_3_W_GPT2M	763369683	0.25	0.35	9	was	0.28
script__QC_3_W_GPT2M	763369683	0.25	0.35	10	was	0.17
script__QC_3_W_GPT2M	763369683	0.25	0.35	11	was	0.2
script__QC_3_W_GPT2M	763369683	0.25	0.35	12	was	0.23
script__QC_3_W_GPT2M	763369683	0.25	0.35	13	was	0.16
script__QC_3_W_GPT2M	763369683	0.25	0.35	14	was	0.34
script__QC_3_W_GPT2M	763369683	0.25	0.35	15	was	0.4
script__QC_3_W_GPT2M	763369683	0.25	0.35	16	was	0.27
script__QC_3_W_GPT2M	763369683	0.25	0.35	17	was	0.9
script__QC_3_W_GPT2M	763369683	0.25	0.35	18	was	0.98
script__QC_3_W_GPT2M	763369683	0.25	0.35	19	was	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	20	was	0.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	0	that	0.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	1	that	0.97
script__QC_3_W_GPT2M	763369683	0.25	0.35	2	that	0.97
script__QC_3_W_GPT2M	763369683	0.25	0.35	3	that	0.97
script__QC_3_W_GPT2M	763369683	0.25	0.35	4	that	0.98
script__QC_3_W_GPT2M	763369683	0.25	0.35	5	that	0.94
script__QC_3_W_GPT2M	763369683	0.25	0.35	6	that	0.97
script__QC_3_W_GPT2M	763369683	0.25	0.35	7	that	0.97
script__QC_3_W_GPT2M	763369683	0.25	0.35	8	that	0.96
script__QC_3_W_GPT2M	763369683	0.25	0.35	9	that	0.95
script__QC_3_W_GPT2M	763369683	0.25	0.35	10	that	0.96
script__QC_3_W_GPT2M	763369683	0.25	0.35	11	that	0.97
script__QC_3_W_GPT2M	763369683	0.25	0.35	12	that	0.97
script__QC_3_W_GPT2M	763369683	0.25	0.35	13	that	0.97
script__QC_3_W_GPT2M	763369683	0.25	0.35	14	that	0.98
script__QC_3_W_GPT2M	763369683	0.25	0.35	15	that	0.97
script__QC_3_W_GPT2M	763369683	0.25	0.35	16	that	0.99
script__QC_3_W_GPT2M	763369683	0.25	0.35	17	that	0.99
script__QC_3_W_GPT2M	763369683	0.25	0.35	18	that	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	19	that	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	20	that	0.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	0	fact	0.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	1	fact	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	2	fact	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	3	fact	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	4	fact	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	5	fact	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	6	fact	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	7	fact	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	8	fact	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	9	fact	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	10	fact	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	11	fact	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	12	fact	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	13	fact	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	14	fact	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	15	fact	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	16	fact	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	17	fact	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	18	fact	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	19	fact	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	20	fact	0.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	0	information	0.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	1	information	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	2	information	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	3	information	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	4	information	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	5	information	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	6	information	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	7	information	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	8	information	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	9	information	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	10	information	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	11	information	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	12	information	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	13	information	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	14	information	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	15	information	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	16	information	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	17	information	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	18	information	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	19	information	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	20	information	0.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	0	report	0.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	1	report	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	2	report	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	3	report	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	4	report	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	5	report	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	6	report	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	7	report	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	8	report	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	9	report	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	10	report	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	11	report	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	12	report	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	13	report	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	14	report	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	15	report	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	16	report	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	17	report	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	18	report	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	19	report	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	20	report	0.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	0	belief	0.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	1	belief	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	2	belief	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	3	belief	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	4	belief	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	5	belief	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	6	belief	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	7	belief	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	8	belief	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	9	belief	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	10	belief	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	11	belief	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	12	belief	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	13	belief	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	14	belief	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	15	belief	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	16	belief	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	17	belief	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	18	belief	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	19	belief	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	20	belief	0.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	0	finding	0.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	1	finding	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	2	finding	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	3	finding	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	4	finding	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	5	finding	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	6	finding	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	7	finding	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	8	finding	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	9	finding	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	10	finding	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	11	finding	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	12	finding	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	13	finding	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	14	finding	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	15	finding	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	16	finding	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	17	finding	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	18	finding	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	19	finding	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	20	finding	0.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	0	prediction	0.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	1	prediction	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	2	prediction	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	3	prediction	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	4	prediction	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	5	prediction	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	6	prediction	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	7	prediction	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	8	prediction	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	9	prediction	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	10	prediction	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	11	prediction	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	12	prediction	1.0
script__QC_3_W_GPT2M	763369683	0.25	0.35	13	prediction	1.0
