Script	ID	predictability_weight	deletion_rate	Word	Distance	AvailableRate
script__QC_3_W_GPT2M	900360318	1.0	0.45	0	was	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	1	was	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	2	was	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	3	was	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	4	was	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	5	was	0.99
script__QC_3_W_GPT2M	900360318	1.0	0.45	6	was	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	7	was	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	8	was	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	9	was	0.99
script__QC_3_W_GPT2M	900360318	1.0	0.45	10	was	0.99
script__QC_3_W_GPT2M	900360318	1.0	0.45	11	was	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	12	was	0.99
script__QC_3_W_GPT2M	900360318	1.0	0.45	13	was	0.99
script__QC_3_W_GPT2M	900360318	1.0	0.45	14	was	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	15	was	0.99
script__QC_3_W_GPT2M	900360318	1.0	0.45	16	was	0.99
script__QC_3_W_GPT2M	900360318	1.0	0.45	17	was	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	18	was	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	19	was	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	20	was	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	0	that	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	1	that	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	2	that	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	3	that	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	4	that	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	5	that	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	6	that	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	7	that	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	8	that	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	9	that	0.7
script__QC_3_W_GPT2M	900360318	1.0	0.45	10	that	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	11	that	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	12	that	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	13	that	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	14	that	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	15	that	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	16	that	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	17	that	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	18	that	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	19	that	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	20	that	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	0	fact	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	1	fact	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	2	fact	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	3	fact	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	4	fact	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	5	fact	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	6	fact	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	7	fact	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	8	fact	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	9	fact	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	10	fact	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	11	fact	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	12	fact	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	13	fact	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	14	fact	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	15	fact	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	16	fact	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	17	fact	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	18	fact	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	19	fact	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	20	fact	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	0	information	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	1	information	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	2	information	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	3	information	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	4	information	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	5	information	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	6	information	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	7	information	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	8	information	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	9	information	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	10	information	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	11	information	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	12	information	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	13	information	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	14	information	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	15	information	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	16	information	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	17	information	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	18	information	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	19	information	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	20	information	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	0	report	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	1	report	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	2	report	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	3	report	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	4	report	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	5	report	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	6	report	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	7	report	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	8	report	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	9	report	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	10	report	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	11	report	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	12	report	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	13	report	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	14	report	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	15	report	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	16	report	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	17	report	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	18	report	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	19	report	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	20	report	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	0	belief	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	1	belief	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	2	belief	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	3	belief	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	4	belief	0.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	5	belief	1.0
script__QC_3_W_GPT2M	900360318	1.0	0.45	6	belief	1.0
