Noun	Region	Condition	Surprisal	ThatFraction	ID	predictability_weight	deletion_rate	autoencoder	lm
information	V2_1	plur	11.255577087402344	0.06944444444444445	300321542	0.0	0.65	516252642	27553360
information	V2_0	sing	11.412139892578125	0.07291666666666667	300321542	0.0	0.65	516252642	27553360
information	V2_1	sing	11.104848861694336	0.09375	300321542	0.0	0.65	516252642	27553360
evidence	V2_0	plur	12.0069580078125	0.1076388888888889	300321542	0.0	0.65	516252642	27553360
evidence	V2_1	plur	10.92353343963623	0.13194444444444445	300321542	0.0	0.65	516252642	27553360
evidence	V2_0	sing	11.917936325073242	0.07291666666666667	300321542	0.0	0.65	516252642	27553360
evidence	V2_1	sing	11.255117416381836	0.04861111111111111	300321542	0.0	0.65	516252642	27553360
prediction	V2_0	plur	12.139513969421387	0.027777777777777776	300321542	0.0	0.65	516252642	27553360
prediction	V2_1	plur	10.726161003112793	0.020833333333333332	300321542	0.0	0.65	516252642	27553360
prediction	V2_0	sing	12.344233512878418	0.017361111111111112	300321542	0.0	0.65	516252642	27553360
prediction	V2_1	sing	10.468942642211914	0.013888888888888888	300321542	0.0	0.65	516252642	27553360
finding	V2_0	plur	12.620498657226562	0.0798611111111111	300321542	0.0	0.65	516252642	27553360
finding	V2_1	plur	10.276119232177734	0.13194444444444445	300321542	0.0	0.65	516252642	27553360
finding	V2_0	sing	12.519904136657715	0.06597222222222222	300321542	0.0	0.65	516252642	27553360
finding	V2_1	sing	10.344024658203125	0.05555555555555555	300321542	0.0	0.65	516252642	27553360
proof	V2_0	plur	11.812078475952148	0.013888888888888888	300321542	0.0	0.65	516252642	27553360
proof	V2_1	plur	10.266130447387695	0.027777777777777776	300321542	0.0	0.65	516252642	27553360
proof	V2_0	sing	11.543693542480469	0.024305555555555556	300321542	0.0	0.65	516252642	27553360
proof	V2_1	sing	10.348966598510742	0.013888888888888888	300321542	0.0	0.65	516252642	27553360
accusation	V2_0	plur	14.169563293457031	0.03819444444444445	300321542	0.0	0.65	516252642	27553360
accusation	V2_1	plur	10.922587394714355	0.059027777777777776	300321542	0.0	0.65	516252642	27553360
accusation	V2_0	sing	13.909541130065918	0.03125	300321542	0.0	0.65	516252642	27553360
accusation	V2_1	sing	11.312307357788086	0.04861111111111111	300321542	0.0	0.65	516252642	27553360
message	V2_0	plur	12.538766860961914	0.024305555555555556	300321542	0.0	0.65	516252642	27553360
message	V2_1	plur	10.434431076049805	0.09375	300321542	0.0	0.65	516252642	27553360
message	V2_0	sing	11.667327880859375	0.04513888888888889	300321542	0.0	0.65	516252642	27553360
message	V2_1	sing	10.661428451538086	0.041666666666666664	300321542	0.0	0.65	516252642	27553360
recognition	V2_0	plur	12.643648147583008	0.017361111111111112	300321542	0.0	0.65	516252642	27553360
recognition	V2_1	plur	9.788009643554688	0.010416666666666666	300321542	0.0	0.65	516252642	27553360
recognition	V2_0	sing	12.789782524108887	0.006944444444444444	300321542	0.0	0.65	516252642	27553360
recognition	V2_1	sing	9.801275253295898	0.0	300321542	0.0	0.65	516252642	27553360
indication	V2_0	plur	12.520439147949219	0.027777777777777776	300321542	0.0	0.65	516252642	27553360
indication	V2_1	plur	10.145243644714355	0.034722222222222224	300321542	0.0	0.65	516252642	27553360
indication	V2_0	sing	12.879294395446777	0.04861111111111111	300321542	0.0	0.65	516252642	27553360
indication	V2_1	sing	10.335003852844238	0.024305555555555556	300321542	0.0	0.65	516252642	27553360
concern	V2_0	plur	13.060481071472168	0.10416666666666667	300321542	0.0	0.65	516252642	27553360
concern	V2_1	plur	10.375388145446777	0.15625	300321542	0.0	0.65	516252642	27553360
concern	V2_0	sing	13.090118408203125	0.12152777777777778	300321542	0.0	0.65	516252642	27553360
concern	V2_1	sing	10.210310935974121	0.08333333333333333	300321542	0.0	0.65	516252642	27553360
reminder	V2_0	plur	11.8502836227417	0.08333333333333333	300321542	0.0	0.65	516252642	27553360
reminder	V2_1	plur	10.120658874511719	0.06597222222222222	300321542	0.0	0.65	516252642	27553360
reminder	V2_0	sing	11.877750396728516	0.1111111111111111	300321542	0.0	0.65	516252642	27553360
reminder	V2_1	sing	10.405658721923828	0.04861111111111111	300321542	0.0	0.65	516252642	27553360
announcement	V2_0	plur	13.583999633789062	0.034722222222222224	300321542	0.0	0.65	516252642	27553360
announcement	V2_1	plur	11.467169761657715	0.041666666666666664	300321542	0.0	0.65	516252642	27553360
announcement	V2_0	sing	13.518710136413574	0.04861111111111111	300321542	0.0	0.65	516252642	27553360
announcement	V2_1	sing	11.16491985321045	0.034722222222222224	300321542	0.0	0.65	516252642	27553360
rumor	V2_0	plur	12.335238456726074	0.4583333333333333	300321542	0.0	0.65	516252642	27553360
rumor	V2_1	plur	10.644536972045898	0.6215277777777778	300321542	0.0	0.65	516252642	27553360
rumor	V2_0	sing	12.39661693572998	0.4479166666666667	300321542	0.0	0.65	516252642	27553360
rumor	V2_1	sing	10.785922050476074	0.4895833333333333	300321542	0.0	0.65	516252642	27553360
statement	V2_0	plur	12.912264823913574	0.034722222222222224	300321542	0.0	0.65	516252642	27553360
statement	V2_1	plur	10.85586166381836	0.10069444444444445	300321542	0.0	0.65	516252642	27553360
