Noun	Region	Condition	Surprisal	ThatFraction	ID	predictability_weight	deletion_rate	autoencoder	lm
report	V1_0	u	5.401505947113037	1.0	52658470	0.75	0.5	709961927	935649231
report	V1_1	u	9.754393577575684	0.4270833333333333	52658470	0.75	0.5	709961927	935649231
report	V1_2	u	5.025017738342285	0.5138888888888888	52658470	0.75	0.5	709961927	935649231
report	EOS_0	u	1.6987392902374268	0.4166666666666667	52658470	0.75	0.5	709961927	935649231
report	V2_0	g	5.974571228027344	1.0	52658470	0.75	0.5	709961927	935649231
report	V2_1	g	9.705278396606445	0.6666666666666666	52658470	0.75	0.5	709961927	935649231
report	V1_0	g	9.262584686279297	0.5034722222222222	52658470	0.75	0.5	709961927	935649231
report	V1_1	g	8.093210220336914	0.4305555555555556	52658470	0.75	0.5	709961927	935649231
report	V1_2	g	5.547515869140625	1.0	52658470	0.75	0.5	709961927	935649231
report	EOS_0	g	1.4712018966674805	0.0	52658470	0.75	0.5	709961927	935649231
story	V1_0	u	4.494677543640137	0.9166666666666666	52658470	0.75	0.5	709961927	935649231
story	V1_1	u	9.957786560058594	0.6666666666666666	52658470	0.75	0.5	709961927	935649231
story	V1_2	u	5.461269378662109	0.75	52658470	0.75	0.5	709961927	935649231
story	EOS_0	u	1.684621810913086	0.3402777777777778	52658470	0.75	0.5	709961927	935649231
story	V2_0	g	4.587313175201416	1.0	52658470	0.75	0.5	709961927	935649231
story	V2_1	g	10.471921920776367	0.8333333333333334	52658470	0.75	0.5	709961927	935649231
story	V1_0	g	8.327598571777344	0.5902777777777778	52658470	0.75	0.5	709961927	935649231
story	V1_1	g	8.006092071533203	0.1875	52658470	0.75	0.5	709961927	935649231
story	V1_2	g	6.05515193939209	1.0	52658470	0.75	0.5	709961927	935649231
story	EOS_0	g	2.0878403186798096	0.0	52658470	0.75	0.5	709961927	935649231
admission	V1_0	u	5.7028350830078125	1.0	52658470	0.75	0.5	709961927	935649231
admission	V1_1	u	9.145112991333008	0.5833333333333334	52658470	0.75	0.5	709961927	935649231
admission	V1_2	u	4.790550231933594	0.5833333333333334	52658470	0.75	0.5	709961927	935649231
admission	EOS_0	u	1.953235387802124	0.4166666666666667	52658470	0.75	0.5	709961927	935649231
admission	V2_0	g	5.5787506103515625	1.0	52658470	0.75	0.5	709961927	935649231
admission	V2_1	g	10.323149681091309	0.5833333333333334	52658470	0.75	0.5	709961927	935649231
admission	V1_0	g	9.55598258972168	0.4166666666666667	52658470	0.75	0.5	709961927	935649231
admission	V1_1	g	7.88067626953125	0.5	52658470	0.75	0.5	709961927	935649231
admission	V1_2	g	5.502429008483887	0.9166666666666666	52658470	0.75	0.5	709961927	935649231
admission	EOS_0	g	1.522702932357788	0.0	52658470	0.75	0.5	709961927	935649231
complaint	V1_0	u	4.497748851776123	1.0	52658470	0.75	0.5	709961927	935649231
complaint	V1_1	u	9.73684310913086	0.3368055555555556	52658470	0.75	0.5	709961927	935649231
