Noun	Region	Condition	Surprisal	SurprisalReweighted	ThatFraction	ThatFractionReweighted	Script	ID	predictability_weight	deletion_rate	autoencoder	lm
conjecture	V1_0	SC_compatible	7.898170733451844	6.770504611730575	1.0	0.9999998897314072	script__VN2Stims_3_W_GPT2M_OnlyLoc	500913584	0.5	0.55	709961927	935649231
conjecture	V1_0	NoSC_incompatible	6.629675483703613	6.629675483703613	NA	NA	script__VN2Stims_3_W_GPT2M_OnlyLoc	500913584	0.5	0.55	709961927	935649231
conjecture	V1_0	SC_incompatible	8.64754303097725	7.71520082950592	0.8513020833663176	0.8591239474946633	script__VN2Stims_3_W_GPT2M_OnlyLoc	500913584	0.5	0.55	709961927	935649231
conjecture	V1_0	SCRC_compatible	9.75846450328827	9.180755722522736	0.06901041713426821	0.11402236741544747	script__VN2Stims_3_W_GPT2M_OnlyLoc	500913584	0.5	0.55	709961927	935649231
conjecture	V1_0	SCRC_incompatible	9.530104839801789	8.788951694965363	0.09392361146165058	0.14651370011561085	script__VN2Stims_3_W_GPT2M_OnlyLoc	500913584	0.5	0.55	709961927	935649231
assurance	V1_0	SC_compatible	7.930919969081879	6.939823096990585	0.9503472222248093	0.9511740169356926	script__VN2Stims_3_W_GPT2M_OnlyLoc	500913584	0.5	0.55	709961927	935649231
assurance	V1_0	NoSC_incompatible	7.7281547546386715	7.7281547546386715	NA	NA	script__VN2Stims_3_W_GPT2M_OnlyLoc	500913584	0.5	0.55	709961927	935649231
assurance	V1_0	SC_incompatible	8.126125848293304	7.180521470308304	0.9507812500058208	0.9540280657587573	script__VN2Stims_3_W_GPT2M_OnlyLoc	500913584	0.5	0.55	709961927	935649231
assurance	V1_0	SCRC_compatible	9.77133343219757	9.141369235515594	0.18046875028521753	0.21102851565438527	script__VN2Stims_3_W_GPT2M_OnlyLoc	500913584	0.5	0.55	709961927	935649231
assurance	V1_0	SCRC_incompatible	9.446740221977233	8.591349697113037	0.12204861147911288	0.20191660623699909	script__VN2Stims_3_W_GPT2M_OnlyLoc	500913584	0.5	0.55	709961927	935649231
conclusion	V1_0	SC_compatible	8.085807818174363	6.9871014058589935	0.9504340277868323	0.9503757199010578	script__VN2Stims_3_W_GPT2M_OnlyLoc	500913584	0.5	0.55	709961927	935649231
conclusion	V1_0	NoSC_incompatible	7.1797397375106815	7.119756436347961	NA	NA	script__VN2Stims_3_W_GPT2M_OnlyLoc	500913584	0.5	0.55	709961927	935649231
conclusion	V1_0	SC_incompatible	8.042386668920518	7.115581059455872	0.9758680555969477	0.9785453692078591	script__VN2Stims_3_W_GPT2M_OnlyLoc	500913584	0.5	0.55	709961927	935649231
conclusion	V1_0	SCRC_compatible	9.831383728981018	9.215401542186736	0.08098958345944993	0.16096032892919537	script__VN2Stims_3_W_GPT2M_OnlyLoc	500913584	0.5	0.55	709961927	935649231
conclusion	V1_0	SCRC_incompatible	9.567630767822266	8.819117045402527	0.1452256947522983	0.18377982740804438	script__VN2Stims_3_W_GPT2M_OnlyLoc	500913584	0.5	0.55	709961927	935649231
insinuation	V1_0	SC_compatible	7.5344206392765045	6.635018748044968	0.9750868055562023	0.9754199744202197	script__VN2Stims_3_W_GPT2M_OnlyLoc	500913584	0.5	0.55	709961927	935649231
