Noun	Region	Condition	Surprisal	SurprisalReweighted	ThatFraction	ThatFractionReweighted	Script	ID	predictability_weight	deletion_rate	autoencoder	lm
insinuation	V1_0	SC_incompatible	9.598781177963035	9.348565847977348	0.27903582977360464	0.2875858451936596	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
insinuation	V1_0	SCRC_compatible	9.739995728368344	9.644301739291869	0.875855480182403	0.8762891121798294	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
insinuation	V1_0	SCRC_incompatible	9.926186692887459	9.651101174561873	0.8971417104771388	0.8968120180723358	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
assessment	V1_0	SC_compatible	9.373455095982205	8.888497204020403	0.2876409019977934	0.34467831559975265	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
assessment	V1_0	NoSC_incompatible	8.744344814963963	8.73623454052469	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
assessment	V1_0	SC_incompatible	9.459658975186555	8.76919877010843	0.2911634465807752	0.41181437151617895	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
assessment	V1_0	SCRC_compatible	10.08532350650732	9.407807619675346	0.8670491178425542	0.8707017595407324	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
assessment	V1_0	SCRC_incompatible	10.194516430730404	9.387538315593332	0.9002113563912935	0.9031660342858969	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
admission	V1_0	SC_compatible	9.830577038336491	9.217051074124765	0.2861815626139118	0.31766222444286174	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
admission	V1_0	NoSC_incompatible	8.033140175584434	8.026838668878527	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
admission	V1_0	SC_incompatible	9.58372298185376	8.95825291371	0.2950382454563742	0.36185141488828737	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
admission	V1_0	SCRC_compatible	10.099333092786264	9.293833383615466	0.886876009647613	0.8893222914581808	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
admission	V1_0	SCRC_incompatible	10.275796109351559	9.020415883133376	0.9047403417905604	0.9123947876842989	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
announcement	V1_0	SC_compatible	9.614943901697794	8.407999232195426	0.3708735923755212	0.44057954764128593	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
announcement	V1_0	NoSC_incompatible	7.100082691164984	7.095406117646591	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
announcement	V1_0	SC_incompatible	9.222063465394836	7.89972350217294	0.4171698891112338	0.7047496159161117	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
announcement	V1_0	SCRC_compatible	9.960527171259342	9.31153878958329	0.8874798759926057	0.8878183866162663	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
announcement	V1_0	SCRC_incompatible	10.057780887769615	9.059933289237645	0.8982991195567276	0.8986409838729794	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
contention	V1_0	SC_compatible	9.353189195411792	8.56227421415025	0.6359198916217556	0.6815951777541119	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
contention	V1_0	NoSC_incompatible	8.459103777788687	8.45492614524952	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
contention	V1_0	SC_incompatible	9.443474386049354	8.436231430026067	0.6310889720916748	0.8109694537909135	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
contention	V1_0	SCRC_compatible	10.11767359747403	9.36919889588287	0.8767109529209741	0.8772545704699081	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
contention	V1_0	SCRC_incompatible	10.31174177363299	9.268069920332536	0.9103260914916578	0.9121649046361014	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
realization	V1_0	SC_compatible	9.050104210342186	7.999079759570136	0.6370269768479941	0.819892799400765	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
realization	V1_0	NoSC_incompatible	8.944207067074982	8.944010209346164	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
realization	V1_0	SC_incompatible	9.059378026188284	8.008377977039503	0.6662137711393661	0.9178014255088308	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
realization	V1_0	SCRC_compatible	9.940286187158115	9.297545550526053	0.8666968646904697	0.8722179556076509	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
realization	V1_0	SCRC_incompatible	10.070735105569812	9.110100424808005	0.9006642575065295	0.9058806666213534	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
conjecture	V1_0	SC_compatible	9.62896512211233	8.842235333677651	0.3799818853672216	0.6188541084824912	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
conjecture	V1_0	NoSC_incompatible	8.867898733719535	8.864933615145477	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
conjecture	V1_0	SC_incompatible	9.614407573921094	8.54054119621498	0.4024255252510741	0.786986958289492	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
conjecture	V1_0	SCRC_compatible	10.11504578244859	9.49007467256076	0.8506944491055565	0.8545722551103951	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
conjecture	V1_0	SCRC_incompatible	10.23063842110012	9.36357653659323	0.883101855499157	0.8844246328200983	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
story	V1_0	SC_compatible	9.403155872787254	8.934063465698905	0.2890499197554005	0.32913516681857297	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
story	V1_0	NoSC_incompatible	8.153942902882894	8.153703509897426	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
story	V1_0	SC_incompatible	9.650998879170071	9.037547070047129	0.29825885688373144	0.373432046449507	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
story	V1_0	SCRC_compatible	10.152464783709982	9.634393152983293	0.8725342265721681	0.8753609691301117	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
story	V1_0	SCRC_incompatible	10.352007278497668	9.555820337240247	0.8900966257180857	0.8908604741285461	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
accusation	V1_0	SC_compatible	9.413274384927059	8.276691450588945	0.578653384377991	0.6948437202667844	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
accusation	V1_0	NoSC_incompatible	7.579340886378634	7.575406430424124	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
accusation	V1_0	SC_incompatible	9.353792940360913	8.090606851854186	0.5997886519501174	0.8749657141557639	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
accusation	V1_0	SCRC_compatible	10.017083313154137	9.327446401983067	0.8757045127019503	0.8773157734633086	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
accusation	V1_0	SCRC_incompatible	10.178913807523424	9.230058251947597	0.8969404232026874	0.9004472377507583	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
disclosure	V1_0	SC_compatible	9.78371006509532	8.756150014158608	0.2908111919136043	0.45348820916336513	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
disclosure	V1_0	NoSC_incompatible	8.864063359689021	8.86158826040185	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
disclosure	V1_0	SC_incompatible	9.569997777109561	8.554252517396126	0.3021839782224455	0.5493843431645276	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
disclosure	V1_0	SCRC_compatible	10.107837953429291	9.323089865670688	0.87026973095709	0.8707343924088754	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
disclosure	V1_0	SCRC_incompatible	10.252611471259076	9.126420204190241	0.8965378491261947	0.8981099864839158	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
prediction	V1_0	SC_compatible	9.311178995215375	8.604848861694336	0.34802737637706427	0.35000634338011616	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
prediction	V1_0	NoSC_incompatible	7.934362155803735	7.930381208226301	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
prediction	V1_0	SC_incompatible	9.230776745340098	8.1852737095045	0.36644525132884365	0.48086539095780556	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
prediction	V1_0	SCRC_compatible	9.886779280676357	9.221912079963131	0.8638788268402002	0.863559812181663	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
prediction	V1_0	SCRC_incompatible	10.024268678996874	9.135828170223512	0.9000100698592006	0.8981969687325098	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
view	V1_0	SC_compatible	9.212100823720297	8.772337495416835	0.4563707740626473	0.34564191853944753	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
view	V1_0	NoSC_incompatible	8.877903648044752	8.868247999661211	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
view	V1_0	SC_incompatible	9.492241493169812	8.654824129049329	0.4677435609957446	0.5112198624832461	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
view	V1_0	SCRC_compatible	10.090353012084961	9.458235585171243	0.8621175581238408	0.8622972345978454	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
view	V1_0	SCRC_incompatible	10.222876023555148	9.391232604565827	0.9048409874996414	0.9014199642106837	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
assumption	V1_0	SC_compatible	9.203775920729706	8.196723557900691	0.6709943688002186	0.8351261136324509	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
assumption	V1_0	NoSC_incompatible	8.597345445467079	8.59528564715731	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
assumption	V1_0	SC_incompatible	9.08827423358309	8.132995377416195	0.7184480722399725	0.9241241929323777	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
assumption	V1_0	SCRC_compatible	9.98370823652848	9.31583010977593	0.8822967037018659	0.8823478562568409	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
assumption	V1_0	SCRC_incompatible	10.051025635954263	9.177542479141898	0.9058977501007958	0.9079055713786595	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
certainty	V1_0	SC_compatible	9.469463579896567	8.575301750846531	0.4458534639274728	0.6223975240752317	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
certainty	V1_0	NoSC_incompatible	9.174851521201756	9.171556818312492	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
certainty	V1_0	SC_incompatible	9.55075792644335	8.583700211151786	0.47207125773032504	0.7812826991945073	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
certainty	V1_0	SCRC_compatible	10.292980691661006	9.607633569966191	0.8629730328161648	0.8648071587895569	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
certainty	V1_0	SCRC_incompatible	10.485453847525775	9.556912947392117	0.8956320496357005	0.8999100709603964	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
statement	V1_0	SC_compatible	9.809762429499973	8.76818911925606	0.3591988745374956	0.40902068767615635	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
statement	V1_0	NoSC_incompatible	7.290977035743603	7.28882764733356	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
statement	V1_0	SC_incompatible	9.768883055534916	8.40399386226267	0.3795289867490098	0.6155497039654765	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
statement	V1_0	SCRC_compatible	10.128784283347752	9.455532322759213	0.8710748862097228	0.873052738390971	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
statement	V1_0	SCRC_incompatible	10.252037207285563	9.29669687713402	0.893065622481315	0.8942729731670757	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
assertion	V1_0	SC_compatible	9.270251944445182	8.303818343342215	0.7544786681731542	0.834605558194976	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
assertion	V1_0	NoSC_incompatible	8.932775974273682	8.932067463363426	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
assertion	V1_0	SC_incompatible	9.149929399075715	8.231369429740353	0.7922202137069426	0.9350410738716954	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
assertion	V1_0	SCRC_compatible	9.963089804718459	9.2496347496475	0.8764090224344662	0.8747741823503072	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
assertion	V1_0	SCRC_incompatible	10.147693544194318	9.128872104313063	0.915358297040929	0.91667499008548	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
declaration	V1_0	SC_compatible	9.569524999977887	8.839110512664353	0.33499396254942904	0.38163845814204356	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
declaration	V1_0	NoSC_incompatible	8.713554513627205	8.708754781363666	NA	NA	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
declaration	V1_0	SC_incompatible	9.530106883118117	8.50667471125506	0.35572665144243965	0.5591661155837979	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
declaration	V1_0	SCRC_compatible	10.049875065900277	9.445378749266915	0.8686091001550464	0.870818424510999	script__Q_3_W_GPT2M	529665609	1.0	0.55	712478284	27553360
