pred_weight	del_rate	model1	model2	sanity1	sanity2	denoiser	noised_lm	lm
0.5	0.45	0.1246	0.2134	0.1576	0.0192	469764721	522622844	129313017
0.75	0.5	-0.1419	0.2081	0.1585	-0.0464	12916800	522622844	643395320
0.25	0.5	-0.0474	0.1587	-0.1024	-0.0571	12916800	522622844	129313017
0.5	0.45	0.1494	0.1461	-0.2856	0.071	12916800	522622844	129313017
0.25	0.35	0.1492	0.1345	-0.0275	0.1607	12916800	522622844	643395320
0.5	0.45	0.1289	0.1171	0.1597	0.0953	12916800	522622844	129313017
0.0	0.5	-0.1303	0.0795	0.2009	-0.1521	469764721	522622844	643395320
0.0	0.5	0.2293	0.0744	0.0261	0.0654	518982544	522622844	129313017
0.25	0.55	0.1958	0.0182	-0.1069	-0.0434	518982544	522622844	129313017
0.25	0.45	0.0701	-0.0401	0.0474	0.0611	518982544	522622844	129313017
0.0	0.35	0.2434	-0.0415	-0.0569	-0.118	469764721	522622844	129313017
0.75	0.35	-0.1959	-0.0611	-0.1537	-0.0601	518982544	522622844	129313017
0.5	0.5	-0.0549	-0.0949	-0.0165	-0.0226	469764721	522622844	129313017
0.25	0.5	0.0128	-0.1646	0.0375	-0.2793	518982544	522622844	129313017
