pred_weight	del_rate	model1	model2	sanity1	sanity2	denoiser	noised_lm	lm
0.75	0.35	nan	nan	nan	nan	12916800	522622844	129313017
0.25	0.35	nan	nan	nan	nan	12916800	522622844	129313017
0.0	0.25	nan	NA	nan	NA	518982544	522622844	129313017
0.25	0.5	nan	nan	nan	nan	518982544	522622844	129313017
0.0	0.35	nan	NA	nan	NA	518982544	522622844	129313017
0.75	0.3	nan	nan	nan	nan	518982544	522622844	129313017
0.0	0.25	nan	nan	nan	nan	469764721	522622844	129313017
0.5	0.3	nan	nan	nan	nan	12916800	522622844	129313017
0.0	0.35	nan	nan	nan	nan	469764721	522622844	129313017
0.75	0.3	nan	nan	nan	nan	518982544	522622844	129313017
0.0	0.35	nan	nan	nan	nan	469764721	522622844	129313017
0.0	0.3	nan	nan	nan	nan	12916800	522622844	129313017
0.75	0.35	nan	nan	nan	nan	12916800	522622844	136525999
0.0	0.3	nan	nan	nan	nan	518982544	522622844	136525999
0.75	0.45	nan	nan	nan	NA	518982544	522622844	129313017
0.75	0.25	nan	nan	nan	nan	518982544	522622844	136525999
0.75	0.35	nan	nan	nan	nan	469764721	522622844	129313017
0.0	0.35	nan	nan	nan	nan	518982544	522622844	129313017
0.5	0.5	nan	nan	nan	nan	12916800	522622844	136525999
0.25	0.5	nan	NA	NA	NA	12916800	522622844	129313017
0.75	0.3	nan	nan	nan	nan	469764721	522622844	129313017
0.5	0.5	nan	NA	NA	NA	518982544	522622844	136525999
0.75	0.35	nan	nan	nan	nan	518982544	522622844	129313017
0.0	0.35	nan	nan	nan	nan	518982544	522622844	129313017
0.0	0.3	nan	nan	nan	nan	12916800	522622844	129313017
0.0	0.35	nan	nan	nan	nan	518982544	522622844	129313017
0.5	0.3	nan	nan	nan	nan	518982544	522622844	129313017
0.5	0.45	nan	nan	nan	nan	518982544	522622844	136525999
0.0	0.3	nan	nan	nan	nan	518982544	522622844	129313017
0.5	0.25	nan	nan	nan	nan	469764721	522622844	129313017
0.5	0.5	nan	nan	nan	nan	518982544	522622844	129313017
0.25	0.25	nan	nan	nan	nan	518982544	522622844	129313017
0.25	0.3	nan	nan	nan	nan	12916800	522622844	129313017
0.0	0.35	nan	nan	nan	nan	518982544	522622844	129313017
0.0	0.45	nan	nan	nan	nan	469764721	522622844	136525999
0.25	0.35	nan	nan	nan	nan	469764721	522622844	129313017
0.0	0.25	nan	nan	nan	nan	12916800	522622844	129313017
0.5	0.3	nan	nan	nan	nan	12916800	522622844	129313017
0.0	0.5	nan	nan	nan	nan	518982544	522622844	129313017
