pred_weight	del_rate	model1	model2	sanity1	sanity2	denoiser	noised_lm	lm
0.0	0.3	0.8428	0.324	0.7591	-0.0212	469764721	522622844	129313017
0.25	0.45	0.8585	0.1789	0.8436	0.1205	469764721	522622844	643395320
0.0	0.5	0.7904	0.0064	0.8351	0.2375	518982544	522622844	129313017
0.5	0.55	0.8123	NA	0.8594	NA	469764721	522622844	643395320
0.5	0.4	0.5124	-0.0573	0.8416	0.1724	518982544	522622844	129313017
0.75	0.55	0.6967	-0.1389	0.7434	-0.0264	518982544	522622844	643395320
0.75	0.45	0.0287	-0.1702	0.8107	0.0779	469764721	522622844	129313017
0.5	0.55	0.0185	-0.1848	0.8551	0.1186	518982544	522622844	129313017
