Item Compatible MatrixVerb InnerVerb Cosine
0 1 was appeared 0.46199193596839905
0 0 was was 1.0
1 1 was surprised 0.41649436950683594
1 0 was was 1.0
2 1 shocked was 0.2613186836242676
2 0 shocked was 0.2613186836242676
3 1 was was 1.0
3 0 was was 1.0
4 1 relieved made 0.12445764988660812
4 0 relieved was 0.2995835840702057
5 1 was was 1.0
5 0 was was 1.0
6 1 made shocked 0.1683635413646698
6 0 made dropped 0.29400891065597534
7 1 turned calmed 0.20603154599666595
7 0 turned had 0.5956152677536011
8 1 made was 0.5183268785476685
8 0 made was 0.5183268785476685
9 1 proved was 0.46345922350883484
9 0 proved stole 0.060367051512002945
10 1 is made 0.4000970125198364
10 0 is abused 0.12156493961811066
11 1 made annoyed 0.1155809834599495
11 0 made was 0.5183268785476685
12 1 troubled was 0.1451002061367035
12 0 troubled was 0.1451002061367035
13 1 calmed remained 0.14749190211296082
13 0 calmed was 0.0518302358686924
14 1 came was 0.5683209896087646
14 0 came stole 0.29262980818748474
15 1 was was 1.0
15 0 was had 0.6671470999717712
16 1 was stunned 0.24010294675827026
16 0 was got 0.46941232681274414
17 1 seemed was 0.42130130529403687
17 0 seemed was 0.42130130529403687
18 1 was sounded 0.2784181535243988
18 0 was had 0.6671470999717712
19 1 was hurt 0.2779035270214081
19 0 was was 1.0
20 1 seemed was 0.42130130529403687
20 0 seemed was 0.42130130529403687
21 1 was deserved 0.18951037526130676
21 0 was was 1.0
22 1 seemed was 0.42130130529403687
22 0 seemed was 0.42130130529403687
23 1 shocked was 0.2613186836242676
23 0 shocked got 0.249683678150177
24 1 was startled 0.10958325117826462
24 0 was killed 0.3455110490322113
25 1 was could 0.4564974308013916
25 0 was had 0.6671470999717712
26 1 impressed pleased 0.6716299057006836
26 0 impressed saved 0.15248997509479523
27 1 came hurt 0.2811332046985626
27 0 came wasted 0.16367915272712708
28 1 calmed was 0.0518302358686924
28 0 calmed was 0.0518302358686924
29 1 devastated drove 0.20198951661586761
29 0 devastated faked -0.029893722385168076
30 1 was confused 0.30364513397216797
30 0 was hurt 0.2779035270214081
31 1 seemed frightened 0.3573152422904968
31 0 seemed greeted 0.29938217997550964
32 1 proved annoyed 0.14387042820453644
32 0 proved questioned 0.23488566279411316
33 1 confused displeased 0.3933544456958771
33 0 confused injured 0.1843620240688324
34 1 sounded distracted 0.24946750700473785
34 0 sounded questioned 0.20821738243103027
35 1 annoyed disturbed 0.47635355591773987
35 0 annoyed instructed 0.10412915796041489
36 1 startled troubled 0.05030001699924469
36 0 startled killed 0.08918093144893646
37 1 was annoyed 0.17077124118804932
37 0 was failed 0.3787132501602173
38 1 seemed bothered 0.37136712670326233
38 0 seemed cured 0.049766771495342255
39 1 was shocked 0.2613186836242676
39 0 was harassed 0.12101282179355621
40 1 was confused 0.30364513397216797
40 0 was arrested 0.3642798364162445
41 1 deserved troubled 0.05533025413751602
41 0 deserved defeated 0.14924900233745575
42 1 did startled 0.11139679700136185
42 0 did married 0.25202691555023193
43 1 came hurt 0.2811332046985626
43 0 came fired 0.39251837134361267
44 1 shocked enraged 0.5467701554298401
44 0 shocked robbed 0.26248568296432495
45 1 seemed surprised 0.5961772799491882
45 0 seemed killed 0.112311951816082
46 1 was horrified 0.11266740411520004
46 0 was called 0.45797282457351685
47 1 was impressed 0.36238154768943787
47 0 was appointed 0.3494711220264435
48 1 appeared surprised 0.3332889676094055
48 0 appeared sued 0.06468071043491364
49 1 calmed pleased 0.22970858216285706
49 0 calmed visited -0.01116971019655466
50 1 impressed pleased 0.6716299057006836
50 0 impressed diagnosed 0.09156841039657593
51 1 was amazed 0.2160547971725464
51 0 was drove 0.2632324993610382
52 1 appeared astonished 0.10844974964857101
52 0 appeared greeted 0.21650369465351105
53 1 proved excited 0.17330387234687805
53 0 proved trusted 0.19805707037448883
54 1 was vindicated 0.08010993897914886
54 0 was convicted 0.29253122210502625
55 1 was encouraged 0.2969685196876526
55 0 was commanded 0.21773473918437958
56 1 seemed saddened 0.20102374255657196
56 0 seemed hired 0.13704581558704376
57 1 made startled 0.017891893163323402
57 0 made attacked 0.15800653398036957
58 1 sounded stunned 0.32176604866981506
58 0 sounded tricked 0.003044724930077791
59 1 troubled disturbed 0.2925414741039276
59 0 troubled distrusted 0.008594409562647343
60 1 turned annoyed 0.11865052580833435
60 0 turned greeted 0.279252290725708
61 1 pleased encouraged 0.4457196891307831
61 0 pleased rescued 0.05082860216498375
62 1 was delighted 0.22790928184986115
62 0 was admired 0.23010289669036865
63 1 was amused 0.10208731889724731
63 0 was ignored 0.2524590492248535
64 1 taught disappointed 0.04026376083493233
64 0 taught deceived 0.015072723850607872
65 1 struck disappointed 0.14583010971546173
65 0 struck rescued 0.2328914850950241
66 1 excited enchanted 0.1281818300485611
66 0 excited welcomed 0.29131266474723816
67 1 was puzzled 0.1115812361240387
67 0 was assisted 0.2135039120912552
68 1 pleased captivated 0.14312611520290375
68 0 pleased cheered 0.32464686036109924
