"Noun"	"RatioSC"	"predictability_weight"	"deletion_rate"	"Surprisal"
"131"	"announcement"	-2.50731005878888	1	0.2	3.42202341556549
"132"	"announcement"	-2.50731005878888	1	0.3	3.40754291840962
"133"	"announcement"	-2.50731005878888	1	0.4	3.86034607887268
"134"	"announcement"	-2.50731005878888	1	0.5	3.39555238187313
"135"	"announcement"	-2.50731005878888	1	0.6	5.02920547127724
"136"	"announcement"	-2.50731005878888	1	0.7	6.52762172903334
"137"	"assertion"	-0.791844492519146	0	0.2	4.58299994468689
"138"	"assertion"	-0.791844492519146	0	0.3	5.07103943824768
"139"	"assertion"	-0.791844492519146	0	0.4	5.76086286136082
"140"	"assertion"	-0.791844492519146	0	0.5	6.55501306056976
"141"	"assertion"	-0.791844492519146	0	0.6	7.95902948379517
"142"	"assertion"	-0.791844492519146	0	0.7	11.1563273668289
"143"	"assertion"	-0.791844492519146	0.25	0.1	2.10278181234996
"144"	"assertion"	-0.791844492519146	0.25	0.2	4.33875243663788
"145"	"assertion"	-0.791844492519146	0.25	0.3	3.98945184548696
"146"	"assertion"	-0.791844492519146	0.25	0.4	5.1474259853363
"147"	"assertion"	-0.791844492519146	0.25	0.5	5.98723964691162
"148"	"assertion"	-0.791844492519146	0.25	0.6	5.93332362174988
"149"	"assertion"	-0.791844492519146	0.25	0.7	8.37578344345093
"150"	"assertion"	-0.791844492519146	0.5	0.1	2.99458679556847
"151"	"assertion"	-0.791844492519146	0.5	0.2	4.00649297237396
"152"	"assertion"	-0.791844492519146	0.5	0.3	4.77245175838471
"153"	"assertion"	-0.791844492519146	0.5	0.4	5.24167168140411
"154"	"assertion"	-0.791844492519146	0.5	0.5	6.07802760601044
"155"	"assertion"	-0.791844492519146	0.5	0.6	6.67676258087158
"156"	"assertion"	-0.791844492519146	0.5	0.7	7.49127893447876
"157"	"assertion"	-0.791844492519146	0.75	0.1	2.98232401907444
"158"	"assertion"	-0.791844492519146	0.75	0.2	2.10814660787582
"159"	"assertion"	-0.791844492519146	0.75	0.3	3.54679556190968
"160"	"assertion"	-0.791844492519146	0.75	0.4	4.86375723566328
"161"	"assertion"	-0.791844492519146	0.75	0.5	5.17343991994858
"162"	"assertion"	-0.791844492519146	0.75	0.6	5.80650931596756
"163"	"assertion"	-0.791844492519146	0.75	0.7	6.51228594779968
"164"	"assertion"	-0.791844492519146	1	0.1	3.56680792570114
"165"	"assertion"	-0.791844492519146	1	0.2	3.17022882898649
"166"	"assertion"	-0.791844492519146	1	0.3	3.03085422515869
"167"	"assertion"	-0.791844492519146	1	0.4	3.6462818980217
"168"	"assertion"	-0.791844492519146	1	0.5	3.48319180309773
"169"	"assertion"	-0.791844492519146	1	0.6	4.74467134475708
"170"	"assertion"	-0.791844492519146	1	0.7	6.41167630468096
"171"	"assessment"	-4.05538811763484	0	0.2	4.50833439826965
"172"	"assessment"	-4.05538811763484	0	0.3	5.61062049865723
"173"	"assessment"	-4.05538811763484	0	0.4	6.37924800600324
"174"	"assessment"	-4.05538811763484	0	0.5	6.87598292032878
"175"	"assessment"	-4.05538811763484	0	0.6	8.68117036819458
"176"	"assessment"	-4.05538811763484	0	0.7	11.3792096376419
"177"	"assessment"	-4.05538811763484	0.25	0.1	2.37725391983986
"178"	"assessment"	-4.05538811763484	0.25	0.2	4.25121777057648
"179"	"assessment"	-4.05538811763484	0.25	0.3	4.5464148124059
"180"	"assessment"	-4.05538811763484	0.25	0.4	5.39066207408905
"181"	"assessment"	-4.05538811763484	0.25	0.5	6.37044820785522
"182"	"assessment"	-4.05538811763484	0.25	0.6	6.82974123954773
"183"	"assessment"	-4.05538811763484	0.25	0.7	8.77161757151286
"184"	"assessment"	-4.05538811763484	0.5	0.1	2.90130218863487
"185"	"assessment"	-4.05538811763484	0.5	0.2	3.77084934711456
"186"	"assessment"	-4.05538811763484	0.5	0.3	4.82914385795593
"187"	"assessment"	-4.05538811763484	0.5	0.4	5.67983573675156
"188"	"assessment"	-4.05538811763484	0.5	0.5	6.38672584295273
"189"	"assessment"	-4.05538811763484	0.5	0.6	7.18147748708725
"190"	"assessment"	-4.05538811763484	0.5	0.7	7.92848587036133
"191"	"assessment"	-4.05538811763484	0.75	0.1	3.08388741314411
"192"	"assessment"	-4.05538811763484	0.75	0.2	3.69298446178437
"193"	"assessment"	-4.05538811763484	0.75	0.3	3.88973599672318
"194"	"assessment"	-4.05538811763484	0.75	0.4	5.16383139576231
"195"	"assessment"	-4.05538811763484	0.75	0.5	5.6245548427105
"196"	"assessment"	-4.05538811763484	0.75	0.6	6.27767078578472
"197"	"assessment"	-4.05538811763484	0.75	0.7	7.04179978370667
"198"	"assessment"	-4.05538811763484	1	0.1	3.38300906419754
"199"	"assessment"	-4.05538811763484	1	0.2	3.37904338041941
"200"	"assessment"	-4.05538811763484	1	0.3	3.49099542413439
"201"	"assessment"	-4.05538811763484	1	0.4	4.17560082674026
"202"	"assessment"	-4.05538811763484	1	0.5	3.78313913941383
"203"	"assessment"	-4.05538811763484	1	0.6	4.92771106958389
"204"	"assessment"	-4.05538811763484	1	0.7	6.28232671533312
"205"	"assumption"	-0.631584070742137	0	0.2	4.74303257465363
"206"	"assumption"	-0.631584070742137	0	0.3	4.88139128684998
"207"	"assumption"	-0.631584070742137	0	0.4	5.97431778907776
"208"	"assumption"	-0.631584070742137	0	0.5	6.65393316745758
"209"	"assumption"	-0.631584070742137	0	0.6	8.54740471839905
"210"	"assumption"	-0.631584070742137	0	0.7	11.1189069747925
"211"	"assumption"	-0.631584070742137	0.25	0.1	2.18754783272743
"212"	"assumption"	-0.631584070742137	0.25	0.2	4.46288499832153
"213"	"assumption"	-0.631584070742137	0.25	0.3	3.88430925210317
"214"	"assumption"	-0.631584070742137	0.25	0.4	5.09942343235016
"215"	"assumption"	-0.631584070742137	0.25	0.5	5.80312325954437
"216"	"assumption"	-0.631584070742137	0.25	0.6	5.76336002349854
"217"	"assumption"	-0.631584070742137	0.25	0.7	8.36541096369425
"218"	"assumption"	-0.631584070742137	0.5	0.1	2.87855952978134
"219"	"assumption"	-0.631584070742137	0.5	0.2	4.10690450668335
"220"	"assumption"	-0.631584070742137	0.5	0.3	4.77617249488831
"221"	"assumption"	-0.631584070742137	0.5	0.4	5.21295326948166
"222"	"assumption"	-0.631584070742137	0.5	0.5	5.88072183728218
"223"	"assumption"	-0.631584070742137	0.5	0.6	6.62258011102676
"224"	"assumption"	-0.631584070742137	0.5	0.7	7.56365451812744
"225"	"assumption"	-0.631584070742137	0.75	0.1	3.15463767945766
"226"	"assumption"	-0.631584070742137	0.75	0.2	2.69015848636627
"227"	"assumption"	-0.631584070742137	0.75	0.3	3.53608199954033
"228"	"assumption"	-0.631584070742137	0.75	0.4	5.04342099598476
"229"	"assumption"	-0.631584070742137	0.75	0.5	5.42550249397755
"230"	"assumption"	-0.631584070742137	0.75	0.6	5.85049930214882
"231"	"assumption"	-0.631584070742137	0.75	0.7	6.68070888519287
"232"	"assumption"	-0.631584070742137	1	0.1	3.55738762617111
"233"	"assumption"	-0.631584070742137	1	0.2	3.1076944967111
"234"	"assumption"	-0.631584070742137	1	0.3	3.16173527070454
"235"	"assumption"	-0.631584070742137	1	0.4	3.3389031291008
"236"	"assumption"	-0.631584070742137	1	0.5	3.61426918208599
"237"	"assumption"	-0.631584070742137	1	0.6	4.90602031350136
"238"	"assumption"	-0.631584070742137	1	0.7	6.21421228136335
"239"	"assurance"	-1.13370360848277	0	0.2	4.80925226211548
"240"	"assurance"	-1.13370360848277	0	0.3	5.31720737616221
"241"	"assurance"	-1.13370360848277	0	0.4	6.49261845861163
"242"	"assurance"	-1.13370360848277	0	0.5	6.70114755630493
"243"	"assurance"	-1.13370360848277	0	0.6	8.77554717063903
"244"	"assurance"	-1.13370360848277	0	0.7	11.226783156395
"245"	"assurance"	-1.13370360848277	0.25	0.1	2.36874237656593
"246"	"assurance"	-1.13370360848277	0.25	0.2	4.57112662792206
"247"	"assurance"	-1.13370360848277	0.25	0.3	4.30361711978913
"248"	"assurance"	-1.13370360848277	0.25	0.4	5.38360450267792
"249"	"assurance"	-1.13370360848277	0.25	0.5	6.51044645309448
"250"	"assurance"	-1.13370360848277	0.25	0.6	6.54654717445374
"251"	"assurance"	-1.13370360848277	0.25	0.7	8.74420221646627
"252"	"assurance"	-1.13370360848277	0.5	0.1	3.01213252544403
"253"	"assurance"	-1.13370360848277	0.5	0.2	4.13374733924866
"254"	"assurance"	-1.13370360848277	0.5	0.3	4.80734958648681
"255"	"assurance"	-1.13370360848277	0.5	0.4	5.37286397814751
"256"	"assurance"	-1.13370360848277	0.5	0.5	6.44562917947769
"257"	"assurance"	-1.13370360848277	0.5	0.6	7.07709085941315
"258"	"assurance"	-1.13370360848277	0.5	0.7	7.99961252212525
"259"	"assurance"	-1.13370360848277	0.75	0.1	3.20717819035053
"260"	"assurance"	-1.13370360848277	0.75	0.2	2.61514091491699
"261"	"assurance"	-1.13370360848277	0.75	0.3	3.81594815850258
"262"	"assurance"	-1.13370360848277	0.75	0.4	5.00072855608804
"263"	"assurance"	-1.13370360848277	0.75	0.5	5.70043243467808
"264"	"assurance"	-1.13370360848277	0.75	0.6	6.20536915957928
"265"	"assurance"	-1.13370360848277	0.75	0.7	6.93763017654419
"266"	"assurance"	-1.13370360848277	1	0.1	3.54253536462784
"267"	"assurance"	-1.13370360848277	1	0.2	3.38911041617393
"268"	"assurance"	-1.13370360848277	1	0.3	3.53721021754401
"269"	"assurance"	-1.13370360848277	1	0.4	4.18649089336395
"270"	"assurance"	-1.13370360848277	1	0.5	3.39964626729488
"271"	"assurance"	-1.13370360848277	1	0.6	4.99311518669129
"272"	"assurance"	-1.13370360848277	1	0.7	6.30772459506989
"273"	"belief"	-0.49454848436379	0	0.2	4.82365727424622
"274"	"belief"	-0.49454848436379	0	0.3	5.01196662584941
"275"	"belief"	-0.49454848436379	0	0.4	5.41021384511675
"276"	"belief"	-0.49454848436379	0	0.5	6.67073956131935
"277"	"belief"	-0.49454848436379	0	0.6	8.18143248558044
"278"	"belief"	-0.49454848436379	0	0.7	11.2082862854004
"279"	"belief"	-0.49454848436379	0.25	0.1	2.14213812351227
"280"	"belief"	-0.49454848436379	0.25	0.2	4.51358051300049
"281"	"belief"	-0.49454848436379	0.25	0.3	3.78879272937775
"282"	"belief"	-0.49454848436379	0.25	0.4	5.17469291687012
"283"	"belief"	-0.49454848436379	0.25	0.5	5.86986413002014
"284"	"belief"	-0.49454848436379	0.25	0.6	6.26769185066223
"285"	"belief"	-0.49454848436379	0.25	0.7	8.39502636591593
"286"	"belief"	-0.49454848436379	0.5	0.1	2.94829997420311
"287"	"belief"	-0.49454848436379	0.5	0.2	4.08118438720703
"288"	"belief"	-0.49454848436379	0.5	0.3	4.6856226682663
"289"	"belief"	-0.49454848436379	0.5	0.4	4.8973400592804
"290"	"belief"	-0.49454848436379	0.5	0.5	5.93231615424156
"291"	"belief"	-0.49454848436379	0.5	0.6	6.74571686983108
"292"	"belief"	-0.49454848436379	0.5	0.7	7.63694667816162
"293"	"belief"	-0.49454848436379	0.75	0.1	3.06157852709293
"294"	"belief"	-0.49454848436379	0.75	0.2	2.23847436904907
"295"	"belief"	-0.49454848436379	0.75	0.3	3.45785447955131
"296"	"belief"	-0.49454848436379	0.75	0.4	4.65203290326255
"297"	"belief"	-0.49454848436379	0.75	0.5	5.10453888773918
"298"	"belief"	-0.49454848436379	0.75	0.6	5.80339135229588
"299"	"belief"	-0.49454848436379	0.75	0.7	6.61214447021484
"300"	"belief"	-0.49454848436379	1	0.1	3.52791683673858
"301"	"belief"	-0.49454848436379	1	0.2	3.0174551208814
"302"	"belief"	-0.49454848436379	1	0.3	3.11008268594742
"303"	"belief"	-0.49454848436379	1	0.4	3.29423695802689
"304"	"belief"	-0.49454848436379	1	0.5	3.00085674226284
"305"	"belief"	-0.49454848436379	1	0.6	4.88015207648277
"306"	"belief"	-0.49454848436379	1	0.7	6.42449992043631
"307"	"certainty"	-1.71316919463983	0	0.2	5.62471437454224
"308"	"certainty"	-1.71316919463983	0	0.3	5.45379821459452
"309"	"certainty"	-1.71316919463983	0	0.4	6.71140565190997
"310"	"certainty"	-1.71316919463983	0	0.5	7.33230322599411
"311"	"certainty"	-1.71316919463983	0	0.6	8.53561725616455
"312"	"certainty"	-1.71316919463983	0	0.7	11.3370012044907
"313"	"certainty"	-1.71316919463983	0.25	0.1	2.49484619498253
"314"	"certainty"	-1.71316919463983	0.25	0.2	5.22103724479675
"315"	"certainty"	-1.71316919463983	0.25	0.3	5.09060339132945
"316"	"certainty"	-1.71316919463983	0.25	0.4	6.12866849899292
"317"	"certainty"	-1.71316919463983	0.25	0.5	6.62277984619141
"318"	"certainty"	-1.71316919463983	0.25	0.6	6.98046588897705
"319"	"certainty"	-1.71316919463983	0.25	0.7	8.5722652276357
"320"	"certainty"	-1.71316919463983	0.5	0.1	3.39080542325974
"321"	"certainty"	-1.71316919463983	0.5	0.2	5.39454102516174
"322"	"certainty"	-1.71316919463983	0.5	0.3	5.69639225006103
"323"	"certainty"	-1.71316919463983	0.5	0.4	5.89115780591965
"324"	"certainty"	-1.71316919463983	0.5	0.5	6.64980679750442
"325"	"certainty"	-1.71316919463983	0.5	0.6	7.0397937297821
"326"	"certainty"	-1.71316919463983	0.5	0.7	8.13372168540955
"327"	"certainty"	-1.71316919463983	0.75	0.1	3.73597179353237
"328"	"certainty"	-1.71316919463983	0.75	0.2	2.99983084201813
"329"	"certainty"	-1.71316919463983	0.75	0.3	4.37227275967598
"330"	"certainty"	-1.71316919463983	0.75	0.4	5.66387946265084
"331"	"certainty"	-1.71316919463983	0.75	0.5	5.7403758764267
"332"	"certainty"	-1.71316919463983	0.75	0.6	6.25886610150337
"333"	"certainty"	-1.71316919463983	0.75	0.7	6.61702442169189
"334"	"certainty"	-1.71316919463983	1	0.1	4.32208391427994
"335"	"certainty"	-1.71316919463983	1	0.2	3.79197829961777
"336"	"certainty"	-1.71316919463983	1	0.3	3.83764635665076
"337"	"certainty"	-1.71316919463983	1	0.4	4.09578239917755
"338"	"certainty"	-1.71316919463983	1	0.5	3.78257976472378
"339"	"certainty"	-1.71316919463983	1	0.6	5.28219267725944
"340"	"certainty"	-1.71316919463983	1	0.7	6.35434210300446
"341"	"claim"	-1.78419164770154	0	0.2	4.86466789245605
"342"	"claim"	-1.78419164770154	0	0.3	5.50648339589437
"343"	"claim"	-1.78419164770154	0	0.4	6.43071603775025
"344"	"claim"	-1.78419164770154	0	0.5	7.10978138446808
"345"	"claim"	-1.78419164770154	0	0.6	8.68283786773682
"346"	"claim"	-1.78419164770154	0	0.7	11.2493931055069
"347"	"claim"	-1.78419164770154	0.25	0.1	2.19355755050977
"348"	"claim"	-1.78419164770154	0.25	0.2	4.71000208854675
"349"	"claim"	-1.78419164770154	0.25	0.3	4.7028036514918
"350"	"claim"	-1.78419164770154	0.25	0.4	5.90358624458313
"351"	"claim"	-1.78419164770154	0.25	0.5	6.45102663040161
"352"	"claim"	-1.78419164770154	0.25	0.6	6.38875722885132
"353"	"claim"	-1.78419164770154	0.25	0.7	8.58871825536092
"354"	"claim"	-1.78419164770154	0.5	0.1	3.22103300690651
"355"	"claim"	-1.78419164770154	0.5	0.2	4.60329246520996
"356"	"claim"	-1.78419164770154	0.5	0.3	5.03425738811493
"357"	"claim"	-1.78419164770154	0.5	0.4	5.7237406373024
"358"	"claim"	-1.78419164770154	0.5	0.5	6.08874329924583
"359"	"claim"	-1.78419164770154	0.5	0.6	7.0528404712677
"360"	"claim"	-1.78419164770154	0.5	0.7	7.96229372024536
"361"	"claim"	-1.78419164770154	0.75	0.1	3.20311430096626
"362"	"claim"	-1.78419164770154	0.75	0.2	2.89918434619903
"363"	"claim"	-1.78419164770154	0.75	0.3	4.26848974823952
"364"	"claim"	-1.78419164770154	0.75	0.4	5.49610846383231
"365"	"claim"	-1.78419164770154	0.75	0.5	5.67302313446999
"366"	"claim"	-1.78419164770154	0.75	0.6	6.0831440538168
"367"	"claim"	-1.78419164770154	0.75	0.7	6.75444221496582
"368"	"claim"	-1.78419164770154	1	0.1	3.76619999408722
"369"	"claim"	-1.78419164770154	1	0.2	3.51301848888397
"370"	"claim"	-1.78419164770154	1	0.3	3.74264028242656
"371"	"claim"	-1.78419164770154	1	0.4	4.10140520334244
"372"	"claim"	-1.78419164770154	1	0.5	4.02786439657211
"373"	"claim"	-1.78419164770154	1	0.6	4.99196720123291
"374"	"claim"	-1.78419164770154	1	0.7	6.24666692529406
"375"	"complaint"	-4.51259251335008	0	0.2	4.69563448429108
"376"	"complaint"	-4.51259251335008	0	0.3	4.7742166519165
"377"	"complaint"	-4.51259251335008	0	0.4	6.13649368286133
"378"	"complaint"	-4.51259251335008	0	0.5	6.75261551141739
"379"	"complaint"	-4.51259251335008	0	0.6	8.58542137145995
"380"	"complaint"	-4.51259251335008	0	0.7	11.2009958028793
"381"	"complaint"	-4.51259251335008	0.25	0.1	1.86695208152135
"382"	"complaint"	-4.51259251335008	0.25	0.2	4.43846862316131
"383"	"complaint"	-4.51259251335008	0.25	0.3	4.31583086649577
"384"	"complaint"	-4.51259251335008	0.25	0.4	5.49898331165314
"385"	"complaint"	-4.51259251335008	0.25	0.5	6.2543181180954
"386"	"complaint"	-4.51259251335008	0.25	0.6	6.81000494956971
"387"	"complaint"	-4.51259251335008	0.25	0.7	8.83184083302815
"388"	"complaint"	-4.51259251335008	0.5	0.1	2.86872830986976
"389"	"complaint"	-4.51259251335008	0.5	0.2	3.96627449989319
"390"	"complaint"	-4.51259251335008	0.5	0.3	4.90336124897003
"391"	"complaint"	-4.51259251335008	0.5	0.4	5.45667743682861
"392"	"complaint"	-4.51259251335008	0.5	0.5	6.37753349542618
"393"	"complaint"	-4.51259251335008	0.5	0.6	7.1460000872612
"394"	"complaint"	-4.51259251335008	0.5	0.7	7.93339586257935
"395"	"complaint"	-4.51259251335008	0.75	0.1	2.90011352300644
"396"	"complaint"	-4.51259251335008	0.75	0.2	2.36172139644623
"397"	"complaint"	-4.51259251335008	0.75	0.3	3.77587734162807
"398"	"complaint"	-4.51259251335008	0.75	0.4	5.06898403167725
"399"	"complaint"	-4.51259251335008	0.75	0.5	5.42924186587334
"400"	"complaint"	-4.51259251335008	0.75	0.6	6.14460872113705
"401"	"complaint"	-4.51259251335008	0.75	0.7	6.62966859340668
"402"	"complaint"	-4.51259251335008	1	0.1	3.42062747478485
"403"	"complaint"	-4.51259251335008	1	0.2	3.14888726671537
"404"	"complaint"	-4.51259251335008	1	0.3	3.21171550665583
"405"	"complaint"	-4.51259251335008	1	0.4	3.50657424330711
"406"	"complaint"	-4.51259251335008	1	0.5	3.23250012099743
"407"	"complaint"	-4.51259251335008	1	0.6	5.07242596149444
"408"	"complaint"	-4.51259251335008	1	0.7	6.38421256201608
"409"	"concern"	-2.71384211565082	0	0.2	5.01853573322296
