"Noun"	"RatioSC"	"predictability_weight"	"deletion_rate"	"Surprisal"
"1"	"accusation"	-2.79822991780959	0	0.2	4.51963752508163
"2"	"accusation"	-2.79822991780959	0	0.3	5.20354493459066
"3"	"accusation"	-2.79822991780959	0	0.4	6.06509917122977
"4"	"accusation"	-2.79822991780959	0	0.5	6.39097992579142
"5"	"accusation"	-2.79822991780959	0	0.6	8.5643970489502
"6"	"accusation"	-2.79822991780959	0	0.7	11.1509420871735
"7"	"accusation"	-2.79822991780959	0.25	0.1	2.20010370016098
"8"	"accusation"	-2.79822991780959	0.25	0.2	4.47453515529633
"9"	"accusation"	-2.79822991780959	0.25	0.3	4.3201592763265
"10"	"accusation"	-2.79822991780959	0.25	0.4	5.50033617019653
"11"	"accusation"	-2.79822991780959	0.25	0.5	6.2218991279602
"12"	"accusation"	-2.79822991780959	0.25	0.6	6.45804524421692
"13"	"accusation"	-2.79822991780959	0.25	0.7	8.82260711987813
"14"	"accusation"	-2.79822991780959	0.5	0.1	2.85583335161209
"15"	"accusation"	-2.79822991780959	0.5	0.2	4.29177403450012
"16"	"accusation"	-2.79822991780959	0.5	0.3	4.61491250991821
"17"	"accusation"	-2.79822991780959	0.5	0.4	5.26987358927727
"18"	"accusation"	-2.79822991780959	0.5	0.5	5.91277265548706
"19"	"accusation"	-2.79822991780959	0.5	0.6	7.03310769796371
"20"	"accusation"	-2.79822991780959	0.5	0.7	7.76471133232117
"21"	"accusation"	-2.79822991780959	0.75	0.1	3.20955568552017
"22"	"accusation"	-2.79822991780959	0.75	0.2	2.30361288785934
"23"	"accusation"	-2.79822991780959	0.75	0.3	3.6010659635067
"24"	"accusation"	-2.79822991780959	0.75	0.4	5.09063085487911
"25"	"accusation"	-2.79822991780959	0.75	0.5	5.48384495079517
"26"	"accusation"	-2.79822991780959	0.75	0.6	6.01634775102139
"27"	"accusation"	-2.79822991780959	0.75	0.7	6.70223689079285
"28"	"accusation"	-2.79822991780959	1	0.1	3.5278463602066
"29"	"accusation"	-2.79822991780959	1	0.2	3.22740852832794
"30"	"accusation"	-2.79822991780959	1	0.3	3.35937933410917
"31"	"accusation"	-2.79822991780959	1	0.4	3.87030562758446
"32"	"accusation"	-2.79822991780959	1	0.5	3.26252135634422
"33"	"accusation"	-2.79822991780959	1	0.6	4.86805580556393
"34"	"accusation"	-2.79822991780959	1	0.7	6.2961140189852
"35"	"admission"	-4.61068128772623	0	0.2	4.91357564926147
"36"	"admission"	-4.61068128772623	0	0.3	5.19287713368734
"37"	"admission"	-4.61068128772623	0	0.4	6.62401567186628
"38"	"admission"	-4.61068128772623	0	0.5	7.18515992164612
"39"	"admission"	-4.61068128772623	0	0.6	8.56768579483032
"40"	"admission"	-4.61068128772623	0	0.7	11.2643631696701
"41"	"admission"	-4.61068128772623	0.25	0.1	2.20740727583567
"42"	"admission"	-4.61068128772623	0.25	0.2	4.66409013271332
"43"	"admission"	-4.61068128772623	0.25	0.3	4.54132191340129
"44"	"admission"	-4.61068128772623	0.25	0.4	5.60796837806702
"45"	"admission"	-4.61068128772623	0.25	0.5	6.64434752464295
"46"	"admission"	-4.61068128772623	0.25	0.6	6.3793830871582
"47"	"admission"	-4.61068128772623	0.25	0.7	8.686013062795
"48"	"admission"	-4.61068128772623	0.5	0.1	2.97921395301819
"49"	"admission"	-4.61068128772623	0.5	0.2	4.36422085762024
"50"	"admission"	-4.61068128772623	0.5	0.3	5.14493908882141
"51"	"admission"	-4.61068128772623	0.5	0.4	5.64509868621826
"52"	"admission"	-4.61068128772623	0.5	0.5	6.53092658519745
"53"	"admission"	-4.61068128772623	0.5	0.6	7.10783594846725
"54"	"admission"	-4.61068128772623	0.5	0.7	8.10249133110046
"55"	"admission"	-4.61068128772623	0.75	0.1	3.01768094301224
"56"	"admission"	-4.61068128772623	0.75	0.2	2.45972961187362
"57"	"admission"	-4.61068128772623	0.75	0.3	3.88050305843353
"58"	"admission"	-4.61068128772623	0.75	0.4	5.57734567778451
"59"	"admission"	-4.61068128772623	0.75	0.5	5.80789756774902
"60"	"admission"	-4.61068128772623	0.75	0.6	6.24434956908226
"61"	"admission"	-4.61068128772623	0.75	0.7	6.89917516708374
"62"	"admission"	-4.61068128772623	1	0.1	3.49955856800079
"63"	"admission"	-4.61068128772623	1	0.2	3.34811107317607
"64"	"admission"	-4.61068128772623	1	0.3	3.55995907102313
"65"	"admission"	-4.61068128772623	1	0.4	3.87155658006668
"66"	"admission"	-4.61068128772623	1	0.5	3.58381183445454
"67"	"admission"	-4.61068128772623	1	0.6	5.06500102579594
"68"	"admission"	-4.61068128772623	1	0.7	6.32273517336164
"69"	"allegation"	-3.0323036361911	0	0.2	5.21793913841248
"70"	"allegation"	-3.0323036361911	0	0.3	5.85482899347941
"71"	"allegation"	-3.0323036361911	0	0.4	6.65930376734052
"72"	"allegation"	-3.0323036361911	0	0.5	7.02156883478165
"73"	"allegation"	-3.0323036361911	0	0.6	8.07867541313172
"74"	"allegation"	-3.0323036361911	0	0.7	11.1344031095505
"75"	"allegation"	-3.0323036361911	0.25	0.1	2.59783255060514
"76"	"allegation"	-3.0323036361911	0.25	0.2	5.1392505645752
"77"	"allegation"	-3.0323036361911	0.25	0.3	4.59497050444285
"78"	"allegation"	-3.0323036361911	0.25	0.4	5.90160245895386
"79"	"allegation"	-3.0323036361911	0.25	0.5	6.29806265830994
"80"	"allegation"	-3.0323036361911	0.25	0.6	6.03333258628845
"81"	"allegation"	-3.0323036361911	0.25	0.7	8.60496942202251
"82"	"allegation"	-3.0323036361911	0.5	0.1	3.37557032704354
"83"	"allegation"	-3.0323036361911	0.5	0.2	4.69701504707337
"84"	"allegation"	-3.0323036361911	0.5	0.3	5.38219861984253
"85"	"allegation"	-3.0323036361911	0.5	0.4	5.53992757201195
"86"	"allegation"	-3.0323036361911	0.5	0.5	6.31345254182816
"87"	"allegation"	-3.0323036361911	0.5	0.6	7.03425067663193
"88"	"allegation"	-3.0323036361911	0.5	0.7	7.6688814163208
"89"	"allegation"	-3.0323036361911	0.75	0.1	3.64588718116283
"90"	"allegation"	-3.0323036361911	0.75	0.2	2.99920749664307
"91"	"allegation"	-3.0323036361911	0.75	0.3	4.21849900484085
"92"	"allegation"	-3.0323036361911	0.75	0.4	5.34796672207969
"93"	"allegation"	-3.0323036361911	0.75	0.5	5.55483494699001
"94"	"allegation"	-3.0323036361911	0.75	0.6	6.06098580360413
"95"	"allegation"	-3.0323036361911	0.75	0.7	6.73524641990662
"96"	"allegation"	-3.0323036361911	1	0.1	4.18226599693298
"97"	"allegation"	-3.0323036361911	1	0.2	3.74675411979357
"98"	"allegation"	-3.0323036361911	1	0.3	3.72059125559671
"99"	"allegation"	-3.0323036361911	1	0.4	3.85810196399688
"100"	"allegation"	-3.0323036361911	1	0.5	3.75390608608723
"101"	"allegation"	-3.0323036361911	1	0.6	4.58602878451347
"102"	"allegation"	-3.0323036361911	1	0.7	6.34739850248609
"103"	"announcement"	-2.50731005878888	0	0.2	4.80273008346558
"104"	"announcement"	-2.50731005878888	0	0.3	5.20640750726064
"105"	"announcement"	-2.50731005878888	0	0.4	6.16415330341884
"106"	"announcement"	-2.50731005878888	0	0.5	6.88054019212723
"107"	"announcement"	-2.50731005878888	0	0.6	8.46159152984619
"108"	"announcement"	-2.50731005878888	0	0.7	11.2847323417664
"109"	"announcement"	-2.50731005878888	0.25	0.1	2.28326517343521
"110"	"announcement"	-2.50731005878888	0.25	0.2	4.67851982116699
"111"	"announcement"	-2.50731005878888	0.25	0.3	4.04935185114543
"112"	"announcement"	-2.50731005878888	0.25	0.4	5.48678193092346
"113"	"announcement"	-2.50731005878888	0.25	0.5	6.33660008907318
"114"	"announcement"	-2.50731005878888	0.25	0.6	5.88617849349975
"115"	"announcement"	-2.50731005878888	0.25	0.7	8.78033375740051
"116"	"announcement"	-2.50731005878888	0.5	0.1	3.10887095332146
"117"	"announcement"	-2.50731005878888	0.5	0.2	4.46209859848022
"118"	"announcement"	-2.50731005878888	0.5	0.3	5.05947296619415
"119"	"announcement"	-2.50731005878888	0.5	0.4	5.28813618421554
"120"	"announcement"	-2.50731005878888	0.5	0.5	6.33472836017609
"121"	"announcement"	-2.50731005878888	0.5	0.6	7.07037669420242
"122"	"announcement"	-2.50731005878888	0.5	0.7	7.67289307117462
"123"	"announcement"	-2.50731005878888	0.75	0.1	3.22046074271202
"124"	"announcement"	-2.50731005878888	0.75	0.2	2.43231546878815
"125"	"announcement"	-2.50731005878888	0.75	0.3	3.88683462142944
"126"	"announcement"	-2.50731005878888	0.75	0.4	5.15270253590175
"127"	"announcement"	-2.50731005878888	0.75	0.5	5.4579576253891
"128"	"announcement"	-2.50731005878888	0.75	0.6	5.97186204791069
"129"	"announcement"	-2.50731005878888	0.75	0.7	6.05697566270829
"130"	"announcement"	-2.50731005878888	1	0.1	3.69961864948273
