"","Noun","SurpDiff","Surprisal_NoSC","Surprisal_SC"
"1","fact",-0.96608048804263,7.11524839604155,6.14916790799892
"2","recognition",-0.310010499142587,7.05854955632636,6.74853905718377
"3","finding",0.194888297547685,6.55381685622195,6.74870515376964
"4","sense",0.404072259334806,6.46979099638919,6.87386325572399
"5","view",0.480637169898824,6.06984885702742,6.55048602692624
"6","understanding",0.501093316585458,6.09521857221076,6.59631188879622
"7","reminder",1.16743307418012,5.365109819047,6.53254289322711
"8","notion",1.24922650925656,4.67744804950471,5.92667455876127
"9","perception",1.29013036667032,4.81213925239888,6.1022696190692
"10","insinuation",1.31751906110885,6.34530009107387,7.66281915218272
"11","conclusion",1.4492461681366,4.89426270444343,6.34350887258002
"12","guess",1.50051050997795,5.77643117498844,7.27694168496639
"13","evidence",1.53392266973536,4.48935815628539,6.02328082602075
"14","information",1.57930244790747,4.55699104451119,6.13629349241865
"15","feeling",1.59313779688896,5.45065463350174,7.0437924303907
"16","indication",1.59461404414887,4.68880678237753,6.2834208265264
"17","proof",1.74396004068091,4.61809808649915,6.36205812718006
"18","belief",1.76115654377227,4.32749914615712,6.08865568992939
"19","impression",1.83051968128123,4.19988291821581,6.03040259949704
"20","presumption",1.8566717188409,4.50136401298198,6.35803573182288
"21","news",1.91742008290392,4.76635822843998,6.6837783113439
"22","thought",2.04126490937903,5.34639153581984,7.38765644519887
"23","assurance",2.05345380052607,4.21886937668983,6.2723231772159
"24","realization",2.08327656603874,4.31909684424705,6.40237341028578
"25","opinion",2.10167442484105,4.15988692324212,6.26156134808317
"26","admission",2.10967030931026,4.37180256843567,6.48147287774593
"27","assumption",2.1111091451442,4.03325563288749,6.14436477803169
"28","revelation",2.12776238360303,4.53213875344459,6.65990113704762
"29","prediction",2.16207663049089,3.95903278918976,6.12110941968066
"30","certainty",2.16393742155521,4.85442146849125,7.01835889004646
"31","confirmation",2.17030819426192,4.37870760166899,6.5490157959309
"32","observation",2.17681305459205,4.54439035882341,6.72120341341546
"33","truth",2.26458331371875,4.19773079486603,6.46231410858479
"34","suspicion",2.28556284498661,4.71592414632757,7.00148699131418
"35","claim",2.33927538800747,4.74970690493888,7.08898229294635
"36","myth",2.38495306765779,4.22995617541861,6.61490924307641
"37","assertion",2.39989317731655,3.63094445492359,6.03083763224013
"38","assessment",2.40924199084018,3.77519601456662,6.18443800540681
"39","disclosure",2.5365625721343,3.98109298310381,6.51765555523812
"40","contention",2.56354522958715,4.29636989502197,6.85991512460912
"41","intuition",2.5726144415267,4.28900296637352,6.86161740790022
"42","remark",2.64719905751817,4.42180796379739,7.06900702131556
"43","speculation",2.67335307851751,4.13795863313878,6.81131171165629
"44","statement",2.71676816585216,3.55527856755764,6.2720467334098
"45","report",2.78925680606923,4.37013226874331,7.15938907481254
"46","accusation",2.8431769000723,3.62754304104663,6.47071994111893
"47","message",2.95143299153511,3.34677528574111,6.29820827727622
"48","conjecture",3.02237324258114,3.75813582856605,6.78050907114719
"49","declaration",3.04086432304788,3.51878406392767,6.55964838697555
"50","idea",3.04532850042303,2.99920901846378,6.04453751888681
"51","story",3.06287870254922,3.38678365818998,6.4496623607392
"52","concern",3.15026874491509,3.688064552368,6.83833329728309
"53","announcement",3.180188929781,3.07915191447481,6.25934084425581
"54","suggestion",3.20110143245535,3.19495678708908,6.39605821954443
"55","allegation",3.43202749972648,3.06859578223939,6.50062328196586
"56","rumor",3.47949414557599,3.41104344611472,6.89053759169071
"57","complaint",3.57897373970519,2.44245990793756,6.02143364764274
"58","conviction",3.65447747073275,2.68609593650128,6.34057340723403
