predictability_weight	deletion_rate	beta_EmbRate	beta_TwoThree	beta_TwoThree:EmbRate	
0	0.35	-2.30819248948295	-8.25740703327309	-0.372075037188098	
0	0.4	-2.07528990386365	-10.9012175893901	-0.360049996477005	
0	0.45	-5.69888827265765	7.06746148269422	1.9110687393186	
0	0.6	-3.11672056730539	5.91014527358372	4.7808626662592	
0	0.5	-5.2091595045239	9.99120938024535	5.43511150894117	
0	0.55	-5.47641272730648	7.69764357067806	5.67919123186579	
0	0.9	-1.49361535287833	1.60568821263854	-0.911371730444975	
0.75	0.35	0.435559095605846	0.982021134194357	-0.432712383004033	
0.75	0.4	-4.37686928337509	14.2373084405879	-3.59058869506892	
0.75	0.45	-2.75674848892466	9.78543524505913	0.0706037646719064	
0.75	0.6	-5.77283280784225	25.4926518863237	-2.57317904043726	
0.75	0.5	-1.79510888067116	4.29086948612053	-2.27018436985161	
0.75	0.55	-2.18608858529463	36.9515013841604	0.755698970387043	
0.45	647336050	-3.78306992586398	15.367031889108	-3.35030554179966	
0.45	709961927	-5.37757317677558	-0.309439938469969	1.55184564340555	
0.25	0.35	-1.96615532147699	-5.65434781768882	0.193150179092228	
0.25	0.4	-5.84607219288438	10.5498735628024	-2.50778734779487	
0.25	0.5	-1.46586125255053	2.93959907307269	0.972265905190832	
0.25	0.55	-4.93002411500492	17.0514590124221	9.64206551164272	
1	0.4	-4.43722526406593	41.1524276911099	-6.81821548036562	
1	0.45	-4.80763315715564	28.9362795670436	6.45787128416245	
1	0.8	-0.527537361118632	-12.257848633313	-0.471437805763911	
1	0.5	-3.62629367275403	29.4630920744571	-0.987041454887194	
1	0.75	-3.80057751776432	28.0465587413724	6.46093327986358	
1	0.9	1.16148625783681	-3.79296050655866	0.529846839165388	
0.5	0.35	-2.22534982491372	-8.38486125915879	0.274476644578982	
0.5	0.6	-4.29369093342816	2.48222304957384	-0.391391652655085	
0.5	0.5	-2.9535260114912	2.06941833677047	-0.687907286480885	
0.5	0.85	-0.806503126704856	2.21044053859391	-0.475651424561168	
0.5	0.55	-5.26149116902633	19.643665535365	6.39336158548617	
0.5	0.65	-5.81958105926443	12.8470775236187	4.88872295284924	
0.5	0.7	-2.73931055862082	5.33073061985809	5.27432384585077	
0.5	0.75	-6.01093413749136	12.2265603966405	4.07597251831167	
0.35	709961927	-1.63535028025228	-4.13976035571618	-0.254798509342853	
