predictability_weight	deletion_rate	beta_EmbRate	beta_TwoThree	beta_TwoThree:EmbRate	
0	0.35	-0.103139307382799	-0.249826432442297	-0.010298130731399	
0	0.4	-0.104066514008206	-0.365843688070775	-0.0110539257425303	
0	0.45	-0.390794362614605	0.253920401071582	0.0628121453707026	
0	0.6	-0.28423619883129	0.346803806769368	0.300206413350693	
0	0.5	-0.460412823160752	0.470803651749591	0.234295201794174	
0	0.55	-0.431059324077097	0.356050295766188	0.240310761300945	
0	0.9	-0.101364907368233	0.127054383412098	-0.0808964137152124	
0.75	0.35	0.0684107794185712	0.0924223175525279	-0.0460004066565043	
0.75	0.4	-0.22746962196473	0.585982190614346	-0.135193358154986	
0.75	0.45	-0.243613758760522	0.713309847689372	0.00531135300766097	
0.75	0.6	-0.265396909886179	1.01338285886415	-0.0935754053961438	
0.75	0.5	-0.155156983415353	0.500364139331547	-0.220227431689734	
0.75	0.55	-0.0939396811633057	1.8060309527925	0.0337889817511643	
0.45	647336050	-0.166213269773511	0.665080149745403	-0.132648267667414	
0.45	709961927	-0.350952057262526	-0.0120584734659968	0.0553219730685791	
0.25	0.35	-0.0966574511752814	-0.24215780124955	0.00760713902556996	
0.25	0.4	-0.366428286524444	0.406751090384012	-0.0884515304064022	
0.25	0.5	-0.44425402048431	0.859653948228384	0.205820322787858	
0.25	0.55	-0.34772626156429	0.681923679878668	0.352758492217838	
1	0.4	-0.182548057953887	1.1659493910033	-0.176720989818735	
1	0.45	-0.239549896923658	1.4262935957962	0.291198275420745	
1	0.8	-0.00635423751821206	-0.322080654570871	-0.0113320365420113	
1	0.5	-0.1729243312357	0.919256055118462	-0.0281725879174844	
1	0.75	-0.180348954537215	1.71591888621629	0.361614305038451	
1	0.9	0.0415096395253857	-0.249749955213229	0.0371557611433648	
0.5	0.35	-0.108736274376263	-0.279355444184436	0.00836565264484508	
0.5	0.6	-0.302582851930811	0.114061061229918	-0.0164528575088619	
0.5	0.5	-0.190757809761618	0.0909841887078176	-0.0276681879440602	
0.5	0.85	-0.00938693694256127	0.0525815099658412	-0.0103508542178857	
0.5	0.55	-0.381647099045176	0.956190691584838	0.284698003380499	
0.5	0.65	-0.301715922535415	0.711513839276198	0.247689505824637	
0.5	0.7	-0.0982660232423042	0.292244259744206	0.259394459941447	
0.5	0.75	-0.298766572593984	0.54199361527265	0.165292935956732	
0.35	709961927	-0.110151987956715	-0.140791800745057	-0.00792742640446243	
