predictability_weight	deletion_rate	beta_TwoThree	beta_Comp	beta_EmbRate	beta_TwoThree:Comp	beta_Comp:EmbRate	beta_TwoThree:EmbRate	
0.25	0.55	0.406699244244514	1.67196320252866	-0.0322852517729448	-1.14529649595687	0.0249846234876022	0.0161570479624343	
0.25	0.5	0.257943715926624	1.32876293772236	-0.0652112627345527	-0.766890798959204	-0.181051853347546	-0.348361202502173	
0.25	0.4	1.32285913430423	-0.238606092907291	0.0358305143650258	-0.763934636118601	-0.024186719870969	-0.165518671042804	
0.25	0.35	1.68643041330097	-0.754797793264947	0.0484629342081919	-0.304625830379329	-0.0206048421760668	-0.0952980308289623	
1	0.5	1.67628216183505	-0.901257219216365	0.0848737918354428	-0.304358191075171	-0.0458874319520179	-0.118979581994977	
1	0.45	1.71397038881116	-0.89387723666884	0.0922216878592389	-0.231636567834682	-0.0516645819700662	-0.10505480132997	
1	0.4	1.65037569167028	-0.891234082727128	0.0782950948093094	-0.355265274034146	-0.0449292920902599	-0.132275520792861	
1	0.75	1.62748351901107	-0.921816368378773	0.0718173985643058	-0.387482030548066	-0.0364817623834812	-0.139718826690733	
1	0.8	1.21150238764432	1.05231081406071	0.0676062174986858	-1.11958265947888	-0.0270699026291896	-0.137554107832499	
1	0.9	0.458516842510271	1.73004763229005	-0.0257059325898359	-1.18957738095239	0.0224266773211007	-0.0253884010298884	
0.45	709961927	1.05565857334083	0.097263690412791	0.0144003632672663	-0.632480682839172	0.00440690248116756	-0.0788098722873017	
0.45	647336050	1.24712474977145	-0.409376222563819	0.00617785305659789	-1.12036253369272	-0.00406929558842465	-0.270787512020465	
0.75	0.55	1.67687490203497	-0.86073170587664	0.0771579399076268	-0.282393530997298	-0.0496944117058316	-0.105753424102251	
0.75	0.5	1.72220594070614	-0.934388742391844	0.0908305785204542	-0.781249273489855	-0.0641530515074243	-0.1930916601803	
0.75	0.45	1.51236673177615	-0.353966818904008	0.00434635532288138	-0.928484667323136	-0.0324113951947356	-0.0664379654814461	
0.75	0.4	1.60285005778588	-0.76787896981205	0.076610523146502	-0.406267744833783	-0.0441745315478222	-0.114492127689207	
0.75	0.35	1.67578122716505	-1.00641798646017	0.160762620641916	-0.236490476190472	-0.0602707281552186	-0.176336730991171	
0.75	0.6	1.3411172039279	-0.381102978074198	0.0204572622761477	-0.899052111410602	-0.0228143524426877	-0.218917248710388	
0	0.55	0.578275789121931	0.665508217284353	-0.0115820491124169	-1.58278436657681	-0.0139258628349958	-0.0232327769946752	
0	0.5	0.479592300888771	1.49287309911278	-0.0016138628196987	-1.20981929469901	0.0156731838031351	0.0619214243595162	
0	0.45	0.867311559233478	0.447011287780792	-0.00985754396759346	-0.902351190476191	0.0154859313961425	-0.0801268507720386	
0	0.4	1.5721510679922	-0.00471066940745629	0.0939626879771366	-0.768092318059297	-0.036930563465992	-0.160996556487083	
0	0.35	1.59112611178862	-0.399711894366872	0.0764218293545592	-0.525252470799648	-0.0394906325255929	-0.149081457122754	
0	0.6	0.410856313567307	1.02656586133219	-0.0612990215444319	-1.35353071798668	-0.069801756943477	0.0263696737014733	
0	0.9	0.0351886563219034	0.50948327575632	0.00657440264100358	0.112675626847362	-0.00710626366203332	-0.0082062837699	
0.5	0.55	1.04869981094156	0.46680014124488	0.0325766320261844	-1.37678032345013	-0.028195016283671	-0.177183934590366	
0.5	0.5	1.44661277972294	-0.271289548366131	0.0719028256916101	-0.701760107816714	-0.0327147170192207	-0.140897992079016	
0.5	0.35	1.67394772757741	-0.811248080816623	0.077724052515998	-0.28156558849955	-0.0465491296850716	-0.103196725238204	
0.5	0.75	0.247888476088231	1.80333241816698	-0.0666067800376879	-1.5438957771788	0.0184425490230164	-0.0527936033731888	
0.5	0.65	0.987899577764459	0.879580950430397	0.0737360364034222	-1.48711994609165	-0.0373134588983995	-0.114656476640242	
0.5	0.6	0.884253387805896	0.806646429014215	0.00102811827282098	-1.40068081761006	-0.0392370088148015	-0.183538522177641	
0.5	0.85	0.587621687867188	2.02719957242647	-0.00855750542724664	-1.76988454627132	-0.00300797915564399	-0.00560639461334215	
0.5	0.7	0.697575535988024	0.749204453634773	0.00955533709044493	-1.11211383928571	0.0255521698975166	-0.0986631858987929	
0.35	709961927	1.66958172235721	-0.826728136660632	0.0815121484708029	-0.282720575022467	-0.0491383309723396	-0.0980573030153189	
