"(Intercept)"	"HasRC.C"	"compatible.C"	"True_Minus_False.C"	"HasRC.C:compatible.C"	"HasRC.C:True_Minus_False.C"	"Item"
"o_actor_star"	7.77663226103201	-0.22672012578615	0.0724753574380715	-0.00120581205505904	-0.214995077932733	-0.0411377930389262	"o_actor_star"
"o_bookseller_thief"	11.5596606756657	-0.22672012578615	0.502184470520606	-0.00120581205505904	-0.214995077932733	-0.0411377930389262	"o_bookseller_thief"
"o_bureaucrat_guard"	12.9089649073074	-0.22672012578615	-3.4259099714662	-0.00120581205505904	-0.214995077932733	-0.0411377930389262	"o_bureaucrat_guard"
"o_carpenter_craftsman"	4.27054021521346	-0.22672012578615	1.46834200538477	-0.00120581205505904	-0.214995077932733	-0.0411377930389262	"o_carpenter_craftsman"
"o_ceo_employee"	3.85244369931759	-0.22672012578615	0.836379577130371	-0.00120581205505904	-0.214995077932733	-0.0411377930389262	"o_ceo_employee"
"o_child_medic"	13.5188519409028	-0.22672012578615	1.16864632330476	-0.00120581205505904	-0.214995077932733	-0.0411377930389262	"o_child_medic"
"o_clerk_customer"	9.12154530449945	-0.22672012578615	0.597130008615434	-0.00120581205505904	-0.214995077932733	-0.0411377930389262	"o_clerk_customer"
"o_commander_president"	13.5726937468739	-0.22672012578615	-1.53265846020582	-0.00120581205505904	-0.214995077932733	-0.0411377930389262	"o_commander_president"
"o_consultant_artist"	11.844460105928	-0.22672012578615	0.419336827471178	-0.00120581205505904	-0.214995077932733	-0.0411377930389262	"o_consultant_artist"
"o_cousin_bror"	13.7667183332951	-0.22672012578615	0.926866435080986	-0.00120581205505904	-0.214995077932733	-0.0411377930389262	"o_cousin_bror"
"o_criminal_officer"	4.31956267437825	-0.22672012578615	2.16093472814152	-0.00120581205505904	-0.214995077932733	-0.0411377930389262	"o_criminal_officer"
"o_daughter_sister"	8.92491753682963	-0.22672012578615	-0.41681412424371	-0.00120581205505904	-0.214995077932733	-0.0411377930389262	"o_daughter_sister"
"o_driver_tourist"	8.00012607958974	-0.22672012578615	0.145547301984239	-0.00120581205505904	-0.214995077932733	-0.0411377930389262	"o_driver_tourist"
"o_entrepreneur_philanthropist"	8.63876000922249	-0.22672012578615	0.402499314445208	-0.00120581205505904	-0.214995077932733	-0.0411377930389262	"o_entrepreneur_philanthropist"
"o_extremist_agent"	4.60369294277644	-0.22672012578615	-0.386280896453182	-0.00120581205505904	-0.214995077932733	-0.0411377930389262	"o_extremist_agent"
"o_lifeguard_swimmer"	10.9017406292006	-0.22672012578615	-2.01319346128648	-0.00120581205505904	-0.214995077932733	-0.0411377930389262	"o_lifeguard_swimmer"
"o_mobster_media"	8.50134625154135	-0.22672012578615	0.986747828357814	-0.00120581205505904	-0.214995077932733	-0.0411377930389262	"o_mobster_media"
"o_musician_far"	12.0012241711754	-0.22672012578615	-0.239341716274634	-0.00120581205505904	-0.214995077932733	-0.0411377930389262	"o_musician_far"
