"(Intercept)"	"HasRC.C"	"compatible.C"	"True_Minus_False.C"	"HasRC.C:compatible.C"	"HasRC.C:True_Minus_False.C"	"Item"
"v_captain_crew"	4.03975946885364	-0.130832239540607	1.49477969899361	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_captain_crew"
"v_criminal_stranger"	7.71498953218731	-0.130832239540607	0.0987637018162434	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_criminal_stranger"
"v_customer_vendor"	2.79988388029874	-0.130832239540607	0.268355654585127	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_customer_vendor"
"v_doctor_colleague"	7.13488921486068	-0.130832239540607	-0.331917882183887	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_doctor_colleague"
"v_driver_guide"	2.797240926786	-0.130832239540607	-2.26749116991707	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_driver_guide"
"v_fiancé_author"	6.61555054081743	-0.130832239540607	0.546747474423703	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_fiancé_author"
"v_firefighter_neighbor"	8.21522625705384	-0.130832239540607	0.4478844435152	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_firefighter_neighbor"
"v_fisherman_gardener"	2.54035375987661	-0.130832239540607	0.261306984997129	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_fisherman_gardener"
"v_guest_cousin"	13.4605113743536	-0.130832239540607	-2.88381429745123	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_guest_cousin"
"v_guest_thug"	10.099164156764	-0.130832239540607	-1.47081904791399	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_guest_thug"
"v_investor_scientist"	10.9056048709676	-0.130832239540607	-0.327049422866904	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_investor_scientist"
"v_janitor_organizer"	2.6857237302942	-0.130832239540607	-0.618639550266691	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_janitor_organizer"
"v_judge_attorney"	2.87233164322822	-0.130832239540607	-0.524066498573396	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_judge_attorney"
"v_lifeguard_soldier"	13.3528365266516	-0.130832239540607	1.93626953063514	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_lifeguard_soldier"
"v_manager_boss"	8.30110304052002	-0.130832239540607	-0.443416566341703	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_manager_boss"
"v_medic_survivor"	6.97776221148107	-0.130832239540607	-1.76434884378118	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_medic_survivor"
"v_pediatrician_receptionist"	11.4361194172047	-0.130832239540607	0.427193945415141	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_pediatrician_receptionist"
"v_plaintiff_jury"	7.91750569462674	-0.130832239540607	0.350210051423661	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_plaintiff_jury"
"v_plumber_apprentice"	2.84281902962485	-0.130832239540607	-0.696331614563109	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_plumber_apprentice"
"v_president_farmer"	6.64781847952759	-0.130832239540607	-1.88292385384093	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_president_farmer"
"v_psychiatrist_nurse"	12.0465563525272	-0.130832239540607	-3.25255464187974	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_psychiatrist_nurse"
"v_senator_diplomat"	9.95377738862281	-0.130832239540607	0.809230449151271	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_senator_diplomat"
"v_sponsor_musician"	10.8872482820427	-0.130832239540607	-1.24806621506676	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_sponsor_musician"
"v_teacher_principal"	2.84779474856256	-0.130832239540607	-1.22431773459229	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_teacher_principal"
"v_thief_detective"	8.80525282306563	-0.130832239540607	-1.78399973270731	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_thief_detective"
"v_vendor_salesman"	10.6490526077064	-0.130832239540607	1.10749677183214	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_vendor_salesman"
"v_victim_swimmer"	9.27844137629079	-0.130832239540607	-1.9535607331667	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_victim_swimmer"
