"(Intercept)"	"HasRC.C"	"compatible.C"	"True_Minus_False.C"	"HasRC.C:compatible.C"	"HasRC.C:True_Minus_False.C"	"Item"
"o_actor_star"	6.66875275614805	-0.130832239540607	-0.13402235239361	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_actor_star"
"o_bookseller_thief"	8.70291625716353	-0.130832239540607	-1.69996172345473	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_bookseller_thief"
"o_bureaucrat_guard"	10.4696303415409	-0.130832239540607	-2.00988735156116	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_bureaucrat_guard"
"o_carpenter_craftsman"	2.83888941223472	-0.130832239540607	0.973573377280016	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_carpenter_craftsman"
"o_ceo_employee"	2.16589609159025	-0.130832239540607	0.69376368259432	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_ceo_employee"
"o_child_medic"	12.0692250767078	-0.130832239540607	-0.521927586885092	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_child_medic"
"o_clerk_customer"	7.55556428541679	-0.130832239540607	0.881540126259844	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_clerk_customer"
"o_commander_president"	11.2120082060636	-0.130832239540607	0.699781630125533	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_commander_president"
"o_consultant_artist"	8.94666759580712	-0.130832239540607	1.93986837198442	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_consultant_artist"
"o_cousin_bror"	11.0703237841207	-0.130832239540607	-0.991468769196712	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_cousin_bror"
"o_criminal_officer"	3.27184698318179	-0.130832239540607	-0.150746286232794	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_criminal_officer"
"o_daughter_sister"	8.36053783409758	-0.130832239540607	-1.30783133710062	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_daughter_sister"
"o_driver_tourist"	7.19259467052719	-0.130832239540607	-0.925621446923928	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_driver_tourist"
"o_entrepreneur_philanthropist"	6.55561992868128	-0.130832239540607	-0.85207972711168	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_entrepreneur_philanthropist"
"o_extremist_agent"	3.30197091056706	-0.130832239540607	0.158412622708327	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_extremist_agent"
"o_lifeguard_swimmer"	9.94566246398196	-0.130832239540607	-1.878249200648	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_lifeguard_swimmer"
"o_mobster_media"	7.22412761890383	-0.130832239540607	-0.120767573431941	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_mobster_media"
"o_musician_far"	11.2444141346241	-0.130832239540607	-0.24149862088424	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_musician_far"
"o_neighbor_woman"	2.40334263414805	-0.130832239540607	0.842323430666725	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_neighbor_woman"
"o_pharmacist_stranger"	10.3813662083829	-0.130832239540607	0.145533829626596	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_pharmacist_stranger"
"o_politician_banker"	6.85948277293249	-0.130832239540607	-1.25621237572637	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_politician_banker"
"o_preacher_parishioners"	9.21496534125263	-0.130832239540607	-2.26839051742649	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_preacher_parishioners"
"o_principal_teacher"	2.68475566916502	-0.130832239540607	-0.162325514641227	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_principal_teacher"
"o_runner_psychiatrist"	2.09222864732745	-0.130832239540607	0.375729039088512	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_runner_psychiatrist"
"o_scientist_mayor"	2.746687363842	-0.130832239540607	-0.355642372531412	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_scientist_mayor"
"o_sculptor_painter"	3.01084595405746	-0.130832239540607	-0.932101099392385	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_sculptor_painter"
"o_senator_diplomat"	7.34032664817026	-0.130832239540607	-2.28486255201489	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_senator_diplomat"
"o_student_bully"	12.6121850215722	-0.130832239540607	-0.410873509287062	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_student_bully"
"o_student_professor"	8.63464613308397	-0.130832239540607	-2.72285885882352	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_student_professor"
"o_surgeon_patient"	3.06673811705604	-0.130832239540607	0.681353938018748	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_surgeon_patient"
"o_tenant_foreman"	8.422992805423	-0.130832239540607	-0.972639153355025	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_tenant_foreman"
"o_trader_businessman"	2.84640372891971	-0.130832239540607	0.677505608678689	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_trader_businessman"
"o_trickster_woman"	12.4488944853321	-0.130832239540607	0.339919153737911	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_trickster_woman"
"o_victim_criminal"	13.9679309827894	-0.130832239540607	-0.551013609998618	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_victim_criminal"
"o_violinist_sponsors"	2.26778890322185	-0.130832239540607	0.0856638493724154	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"o_violinist_sponsors"
"v_actor_fans"	9.01546550305799	-0.130832239540607	-1.20610928876066	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_actor_fans"
"v_agent_fbi"	4.30659126771425	-0.130832239540607	3.51836884293882	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_agent_fbi"
"v_banker_analyst"	8.2275468568852	-0.130832239540607	0.512079796196686	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_banker_analyst"
"v_bully_children"	2.97947215867873	-0.130832239540607	0.784958688527687	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_bully_children"
"v_businessman_sponsor"	6.43392145087269	-0.130832239540607	0.505178808692592	-0.0573829588405302	-0.108453650533224	-0.0193533834406581	"v_businessman_sponsor"
