predictability_weight	deletion_rate	beta_TwoThree	beta_Comp	beta_EmbRate	beta_TwoThree:comp	beta_TwoThree:EmbRate	beta_comp:EmbRate	
0.25	0.6	0.322834073203411	-0.211290104344507	-0.0929492115899014	-0.51595404874212	0.153796292377444	-0.011101858020201	
0.25	0.45	0.541881226850204	0.466700866286148	-0.243177457732678	0.0552752515723118	0.15229061070592	-0.00364408411489528	
0.25	0.5	0.439218237160196	0.445546949597135	-0.223035987185679	0.247720944706491	0.127089531331929	0.0327114565601771	
0.25	0.4	-0.116293780269238	-0.168216250764016	-0.10281379917575	-0.00829842486522542	0.0256358988601148	0.0274179322384065	
0.25	0.55	0.443145939711206	0.294102168209417	-0.22964749565219	-0.0366078380503211	0.206400591515957	0.0421959822352807	
0.25	0.35	-0.230275766194252	-0.153337350320453	-0.101730824811291	-0.107830188679233	0.0433073243565248	0.0236581212954373	
0.75	0.6	0.660823609500782	0.345758037818748	-0.156822954942134	0.266634716981122	0.10442065397828	0.0198485027911329	
0.75	0.45	0.625800701980017	0.11623689614607	-0.136578806704965	0.475235141509441	-0.00858205556955854	0.0268590484592925	
0.75	0.5	0.763429995287241	0.0655585708780869	-0.115951352933227	0.112681226415071	0.0731297548320582	0.0200055502265181	
0.75	0.4	0.813451275867776	0.205394121223892	-0.179340395335332	0.479751965408764	-0.0906400443231036	0.00254432787257225	
0.75	0.55	1.51604524707606	0.082569187408202	-0.116807245731268	0.26526470125789	0.0515080494074884	0.0153841253171564	
0.75	0.35	0.122637790588996	-0.00839190766423173	-0.121318960470814	0.0408868710691662	0.00334927396050578	0.00522759757837456	
1	0.6	1.49117626363459	0.253927989668957	-0.0897375748016211	0.258229447439309	0.143211995235865	0.00676078247482776	
1	0.45	1.247825726946	0.038976966773306	-0.0870708412511429	0.412691966563294	-0.108953290285639	0.00682796025594618	
1	0.5	1.34459949882916	0.248608842301851	-0.131003229314037	0.411224213836504	0.0572407766191086	0.0108345414823108	
1	0.4	1.54844282799716	-0.0527355323502983	-0.0447022226630416	0.236477044025149	-0.046330543506366	0.0157928557489715	
1	0.55	1.85658906751378	0.311669757320439	-0.175812945655453	0.447151320754727	-0.070391797633335	-0.00941791389732927	
1	0.35	1.64881241564212	0.0188758353071724	-0.052669419854023	0.394022405660385	-0.069432701503635	0.0178560362908646	
0	0.6	0.507886372820412	0.210372343867373	-0.243715061909469	-0.138935833333316	0.242491684892683	0.0476868455130917	
0	0.45	0.0392735310158153	0.406364839801263	-0.247448142666511	0.162606614255768	0.104429141032507	-0.00466917306988563	
0	0.5	0.35634630765084	0.517668394113945	-0.31800196392132	0.291088191823931	0.157337537355268	0.00649307328692503	
0	0.4	-0.121786067470281	-0.124289435673506	-0.106086448161482	0.0756673854447278	0.0167657010254825	0.0264192857336634	
0	0.55	0.248872169842266	0.132040581807631	-0.221942677212704	0.0506097942871942	0.112210780105087	0.0189679965045604	
0	0.35	-0.0870706879692628	-0.13789690642542	-0.103186343381233	0.0306505660377357	0.0159809808163582	0.0246725934728353	
0.5	0.6	0.330239393430243	0.187320099959262	-0.148815723189995	-0.234021816037764	0.183783819344532	0.0343939868167522	
0.5	0.45	0.247121272227327	0.218165282607013	-0.2115238209721	0.0504231918238893	0.07426540596115	0.00341845083664548	
0.5	0.5	0.584943704645318	0.512351047735098	-0.242835607668619	0.357992692048498	0.0542255359749345	0.00656422813213686	
0.5	0.4	0.130117742306296	-0.0551868759471938	-0.113945521769111	0.138932625786164	0.00179685738987142	0.0203321210249541	
0.5	0.55	0.647451106416081	0.34972253770018	-0.15138016607253	0.264519198113193	0.151715067285432	0.00505971555038142	
0.5	0.35	-0.0546805369076967	-0.0688571827882734	-0.105872386215885	-0.0604795305480904	0.0202429990953766	0.0162497701665328	
