predictability_weight	deletion_rate	beta_TwoThree	beta_Comp	beta_EmbRate	beta_TwoThree:comp	beta_TwoThree:EmbRate	beta_comp:EmbRate	
1	0.45	1.354290764363	-0.0159502210671785	-0.121161680449743	0.470656115480556	-0.0902189395474778	0.00269099612935982	
1	0.35	1.29740166245354	0.0856969675026988	-0.139764543899599	0.722725746268618	-0.140483732592762	-0.00358847083676769	
1	0.5	1.3856344896293	0.0867268457646025	-0.171756135913259	0.775185452454709	-0.13802036388445	-0.00195619438620434	
1	0.3	0.444940309030527	-0.207389995030463	-0.132871628246456	0.17799225570261	-0.113672385933236	0.00579241910834173	
1	0.55	2.86051603805875	0.0834326160579347	-0.0325733410824651	0.134300337933008	0.0589279425794662	0.00230617843262333	
1	0.4	0.964537971904095	-0.00576566279835502	-0.153348730269324	0.419307765418176	-0.163483371635048	-0.00889956894300774	
1	0.6	1.91839670672172	-0.0359362219079755	-0.113734250096933	0.255693959448055	0.0583288591945015	0.00998748330071495	
0.5	0.45	0.666873660625865	0.289053008976999	-0.259563092673683	0.299049246691108	-0.0170977811583218	-0.0230210827178781	
0.5	0.35	-0.153281842976511	-0.357124982735026	-0.0468228876919128	-0.0788971759594446	-0.0059799656396519	0.0332223986100473	
0.5	0.5	0.256727508234489	0.18918466552513	-0.213771591853475	0.104996515066143	0.0554506660420123	0.0168373475832354	
0.5	0.55	0.430392662053074	0.337092758378257	-0.226626488036758	-0.567479794424111	0.216205400853216	-0.0387782393773891	
0.5	0.4	-0.0291537151382922	-0.13541347891069	-0.157195976146528	0.0307194874682929	-0.00150749371791999	0.00353029495652268	
0.5	0.6	0.716549696044087	0.355787408580826	-0.267852829047166	-0.0896422603962009	0.135268178333352	-0.00277264798626831	
0.75	0.45	0.535535796494839	0.00547331725900161	-0.16262635076374	0.262683844926303	-0.0289043506545317	-0.0018019451497113	
0.75	0.35	0.666970799851116	0.0399245042739245	-0.166795037082334	0.442592720360459	-0.123831844122721	-0.000973084753200465	
0.75	0.5	0.834602406316951	0.478627197927697	-0.264750424449299	0.240697690791347	-0.0322969535804162	-0.0468709652498724	
0.75	0.3	0.067321628477074	-0.293179896538003	-0.0908840426827829	0.00693551112361358	-0.0360008124584335	0.0222007545519306	
0.75	0.55	1.84577182028837	0.0551911651168181	-0.125439743538408	0.221895099971834	0.170221970397314	-0.00357706703734189	
0.75	0.4	0.497662370299389	-0.100610457166933	-0.142148574350157	0.103692727400775	-0.0227149286131008	-0.00246105734163334	
0.75	0.6	0.0445400050181777	0.170518657142985	-0.145897802451754	0.438553224443838	-0.0996799408947152	-0.00634869189890816	
0.25	0.45	0.400099646762462	0.473227964331332	-0.296922127342279	0.106794799586942	0.115062241242082	-0.0200481770646831	
0.25	0.35	-0.143902147087776	-0.203289255356226	-0.114115840604757	-0.0736002333346719	0.00263920500287053	0.00931444611736877	
0.25	0.5	0.45515308098901	0.665922216255549	-0.392093475410603	0.112160940580091	0.191279645278667	-0.000329498886283177	
0.25	0.55	0.501040882182148	0.440947899746556	-0.284948165521811	0.0322206420726689	0.251882712489685	0.00857727027474337	
0.25	0.4	0.13249483227766	-0.224260249913959	-0.120973459368659	0.00414691636159075	0.0207634387107962	0.020146754363783	
0.25	0.6	0.380081075729195	0.0838573751283729	-0.0964572869386479	-0.221074076308189	0.113431422681656	-0.233686295855243	
0	0.45	0.0847062371327432	0.308163684115782	-0.264702946868234	0.161734412841475	0.101346481229438	-0.0235805279626318	
0	0.35	-0.156078975377054	-0.25083765312913	-0.147902423941823	0.00293938327231255	0.00864297124446191	0.0142835774867855	
0	0.3	-0.206698705921662	-0.387937838730672	-0.0940947647812261	-0.0478518727118837	-0.0137639680531739	0.0215305777129918	
0	0.55	0.241114245412514	0.189762392659483	-0.228497545406065	-0.0798691213742675	0.140861710604661	-0.0133826509977243	
0	0.4	-0.228985631347748	-0.29050904463769	-0.127329433364828	0.0172821036328112	0.00785863702246173	0.0203372087436866	
0	0.6	-0.36632990170133	0.108563241206255	-0.123390850481894	0.691923683469468	0.00361014754385988	0.022331901784366	
