ID	DeletionRate	Autoencoder	NoiseLM	PlainLM	PredWeight	Noun	Continuation	Subj	NotSubj	That	NoThat
112045785	0.55	709961927	964163553	935649231	0.75	report	the principal	59	13	72	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the sculptor	60	11	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the consultant	61	10	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the runner	58	13	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the child	63	8	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the criminal	63	8	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the student	63	8	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the mobster	61	10	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the actor	60	11	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the preacher	65	6	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the violinist	61	10	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the senator	66	5	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the commander	58	13	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the victims	59	12	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the politician	57	14	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the surgeon	56	15	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the extremist	59	12	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the clerk	56	15	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the trader	57	14	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the CEO	60	11	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the principal	46	25	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the sculptor	55	16	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the consultant	53	18	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the runner	49	22	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the child	58	13	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the criminal	60	11	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the student	54	17	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the mobster	59	12	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the actor	51	20	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the preacher	57	14	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the violinist	64	7	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the senator	56	15	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the commander	60	11	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the victims	59	12	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the politician	61	10	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the surgeon	54	17	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the extremist	55	16	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the clerk	50	21	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the trader	54	17	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the CEO	50	21	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the principal	41	30	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the sculptor	46	25	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the consultant	48	23	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the runner	51	20	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the child	47	24	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the criminal	47	24	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the student	50	21	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the mobster	47	24	71	0
