ID	DeletionRate	Autoencoder	NoiseLM	PlainLM	PredWeight	Noun	Continuation	Subj	NotSubj	That	NoThat
112045785	0.55	709961927	964163553	935649231	0.75	report	the principal	12	60	72	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the sculptor	5	65	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the consultant	4	67	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the runner	5	66	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the child	12	59	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the criminal	9	62	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the student	10	61	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the mobster	2	69	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the actor	6	64	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the preacher	4	66	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the violinist	5	65	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the senator	10	61	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the commander	2	68	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the victims	3	64	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the politician	5	66	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the surgeon	1	70	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the extremist	2	69	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the clerk	4	67	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the trader	3	68	71	0
112045785	0.55	709961927	964163553	935649231	0.75	report	the CEO	5	66	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the principal	2	69	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the sculptor	10	61	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the consultant	3	68	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the runner	1	70	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the child	6	65	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the criminal	12	59	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the student	6	65	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the mobster	5	66	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the actor	3	68	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the preacher	8	63	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the violinist	4	66	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the senator	10	61	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the commander	5	66	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the victims	1	62	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the politician	3	68	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the surgeon	4	67	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the extremist	3	68	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the clerk	5	66	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the trader	6	65	71	0
112045785	0.55	709961927	964163553	935649231	0.75	remark	the CEO	2	69	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the principal	5	66	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the sculptor	8	63	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the consultant	6	65	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the runner	6	65	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the child	5	66	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the criminal	6	65	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the student	16	55	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the mobster	10	61	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the actor	1	69	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the preacher	6	65	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the violinist	3	68	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the senator	8	62	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the commander	4	67	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the victims	2	66	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the politician	9	61	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the surgeon	9	62	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the extremist	3	68	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the clerk	8	63	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the trader	5	66	71	0
112045785	0.55	709961927	964163553	935649231	0.75	story	the CEO	9	62	71	0
112045785	0.55	709961927	964163553	935649231	0.75	admission	the principal	11	60	71	0
112045785	0.55	709961927	964163553	935649231	0.75	admission	the sculptor	10	61	71	0
112045785	0.55	709961927	964163553	935649231	0.75	admission	the consultant	9	62	71	0
112045785	0.55	709961927	964163553	935649231	0.75	admission	the runner	7	64	71	0
112045785	0.55	709961927	964163553	935649231	0.75	admission	the child	17	52	71	0
112045785	0.55	709961927	964163553	935649231	0.75	admission	the criminal	11	60	71	0
112045785	0.55	709961927	964163553	935649231	0.75	admission	the student	8	63	71	0
112045785	0.55	709961927	964163553	935649231	0.75	admission	the mobster	5	66	71	0
112045785	0.55	709961927	964163553	935649231	0.75	admission	the actor	9	60	71	0
112045785	0.55	709961927	964163553	935649231	0.75	admission	the preacher	3	68	71	0
112045785	0.55	709961927	964163553	935649231	0.75	admission	the violinist	8	63	71	0
112045785	0.55	709961927	964163553	935649231	0.75	admission	the senator	15	55	71	0
112045785	0.55	709961927	964163553	935649231	0.75	admission	the commander	15	56	71	0
112045785	0.55	709961927	964163553	935649231	0.75	admission	the victims	2	65	71	0
112045785	0.55	709961927	964163553	935649231	0.75	admission	the politician	5	66	71	0
112045785	0.55	709961927	964163553	935649231	0.75	admission	the surgeon	9	62	71	0
112045785	0.55	709961927	964163553	935649231	0.75	admission	the extremist	4	67	71	0
112045785	0.55	709961927	964163553	935649231	0.75	admission	the clerk	11	60	71	0
