ID	DeletionRate	Autoencoder	NoiseLM	PlainLM	PredWeight	Noun	Continuation	That	NoThat
130227302	0.5	516252642	964163553	27553360	1.0	report	the principal	73	0
130227302	0.5	516252642	964163553	27553360	1.0	report	the sculptor	60	12
130227302	0.5	516252642	964163553	27553360	1.0	report	the consultant	60	12
130227302	0.5	516252642	964163553	27553360	1.0	report	the runner	48	24
130227302	0.5	516252642	964163553	27553360	1.0	report	the child	72	0
130227302	0.5	516252642	964163553	27553360	1.0	report	the criminal	72	0
130227302	0.5	516252642	964163553	27553360	1.0	report	the student	60	12
130227302	0.5	516252642	964163553	27553360	1.0	report	the mobster	72	0
130227302	0.5	516252642	964163553	27553360	1.0	report	the actor	47	25
130227302	0.5	516252642	964163553	27553360	1.0	report	the preacher	61	11
130227302	0.5	516252642	964163553	27553360	1.0	report	the violinist	60	12
130227302	0.5	516252642	964163553	27553360	1.0	report	the senator	72	0
130227302	0.5	516252642	964163553	27553360	1.0	report	the commander	72	0
130227302	0.5	516252642	964163553	27553360	1.0	report	the victims	71	1
130227302	0.5	516252642	964163553	27553360	1.0	report	the politician	49	23
130227302	0.5	516252642	964163553	27553360	1.0	report	the surgeon	71	1
130227302	0.5	516252642	964163553	27553360	1.0	report	the extremist	49	23
130227302	0.5	516252642	964163553	27553360	1.0	report	the clerk	60	12
130227302	0.5	516252642	964163553	27553360	1.0	report	the trader	60	12
130227302	0.5	516252642	964163553	27553360	1.0	report	the CEO	72	0
130227302	0.5	516252642	964163553	27553360	1.0	remark	the principal	48	24
130227302	0.5	516252642	964163553	27553360	1.0	remark	the sculptor	72	0
130227302	0.5	516252642	964163553	27553360	1.0	remark	the consultant	71	1
130227302	0.5	516252642	964163553	27553360	1.0	remark	the runner	37	35
130227302	0.5	516252642	964163553	27553360	1.0	remark	the child	72	0
130227302	0.5	516252642	964163553	27553360	1.0	remark	the criminal	71	1
130227302	0.5	516252642	964163553	27553360	1.0	remark	the student	61	11
130227302	0.5	516252642	964163553	27553360	1.0	remark	the mobster	60	12
130227302	0.5	516252642	964163553	27553360	1.0	remark	the actor	72	0
130227302	0.5	516252642	964163553	27553360	1.0	remark	the preacher	72	0
130227302	0.5	516252642	964163553	27553360	1.0	remark	the violinist	72	0
130227302	0.5	516252642	964163553	27553360	1.0	remark	the senator	72	0
130227302	0.5	516252642	964163553	27553360	1.0	remark	the commander	72	0
130227302	0.5	516252642	964163553	27553360	1.0	remark	the victims	72	0
130227302	0.5	516252642	964163553	27553360	1.0	remark	the politician	60	12
130227302	0.5	516252642	964163553	27553360	1.0	remark	the surgeon	60	12
130227302	0.5	516252642	964163553	27553360	1.0	remark	the extremist	60	12
130227302	0.5	516252642	964163553	27553360	1.0	remark	the clerk	72	0
130227302	0.5	516252642	964163553	27553360	1.0	remark	the trader	72	0
130227302	0.5	516252642	964163553	27553360	1.0	remark	the CEO	72	0
130227302	0.5	516252642	964163553	27553360	1.0	story	the principal	72	0
130227302	0.5	516252642	964163553	27553360	1.0	story	the sculptor	72	0
130227302	0.5	516252642	964163553	27553360	1.0	story	the consultant	47	25
130227302	0.5	516252642	964163553	27553360	1.0	story	the runner	48	24
130227302	0.5	516252642	964163553	27553360	1.0	story	the child	61	11
130227302	0.5	516252642	964163553	27553360	1.0	story	the criminal	72	0
130227302	0.5	516252642	964163553	27553360	1.0	story	the student	72	0
130227302	0.5	516252642	964163553	27553360	1.0	story	the mobster	60	12
130227302	0.5	516252642	964163553	27553360	1.0	story	the actor	60	12
130227302	0.5	516252642	964163553	27553360	1.0	story	the preacher	71	1
130227302	0.5	516252642	964163553	27553360	1.0	story	the violinist	61	11
130227302	0.5	516252642	964163553	27553360	1.0	story	the senator	71	1
130227302	0.5	516252642	964163553	27553360	1.0	story	the commander	37	35
130227302	0.5	516252642	964163553	27553360	1.0	story	the victims	48	24
