ID deletion_rate predictability_weight
522783978 0.5 1.0
210961158 0.5 1.0
105406526 0.5 0.0
355388050 0.4 0.0
727092506 0.6 1.0
409839176 0.3 1.0
838997785 0.5 0.5
477893624 0.4 0.5
304634716 0.5 0.5
53132964 0.6 0.0
551995690 0.4 1.0
324324345 0.7 0.5
325450025 0.5 0.5
206928376 0.7 1.0
495641618 0.6 0.5
899225807 0.5 1.0
