{'iterations': '500000', 'pred_weight': 0.75, 'del_rate': 0.4, 'correlations': {'Model 1': -0.2665, 'Sanity 2': -0.4286, 'Model 2': -0.0563}, 'id': '712609005', 'lr_mem': 2e-05, 'mom': 0.7}
{'iterations': '1200000', 'pred_weight': 0.25, 'del_rate': 0.4, 'correlations': {'Model 1': -0.08, 'Sanity 2': -0.5109, 'Model 2': -0.0588}, 'id': '666733192', 'lr_mem': 1e-05, 'mom': 0.7}
{'iterations': '900000', 'pred_weight': 0.75, 'del_rate': 0.5, 'correlations': {'Model 1': -0.1618, 'Sanity 2': -0.5108, 'Model 2': -0.0626}, 'id': '896745696', 'lr_mem': 2e-05, 'mom': 0.9}
{'iterations': '500000', 'pred_weight': 0.0, 'del_rate': 0.7, 'correlations': {'Model 1': -0.2257, 'Sanity 2': -0.5666, 'Model 2': -0.066}, 'id': '749224881', 'lr_mem': 2e-05, 'mom': 0.5}
{'iterations': '500000', 'pred_weight': 0.25, 'del_rate': 0.2, 'correlations': {'Model 1': 0.0494, 'Sanity 2': -0.6097, 'Model 2': -0.0697}, 'id': '258156273', 'lr_mem': 2e-05, 'mom': 0.3}
{'iterations': '500000', 'pred_weight': 1.0, 'del_rate': 0.45, 'correlations': {'Model 1': 0.0476, 'Sanity 2': -0.5371, 'Model 2': -0.0738}, 'id': '450851521', 'lr_mem': 2e-05, 'mom': 0.5}
{'iterations': '1250000', 'pred_weight': 0.25, 'del_rate': 0.45, 'correlations': {'Model 1': -0.1973, 'Sanity 2': -0.3467, 'Model 2': -0.0743}, 'id': '686357520', 'lr_mem': 1e-05, 'mom': 0.7}
{'iterations': '500000', 'pred_weight': 0.25, 'del_rate': 0.3, 'correlations': {'Model 1': 0.0558, 'Sanity 2': -0.3676, 'Model 2': -0.0755}, 'id': '240361835', 'lr_mem': 2e-05, 'mom': 0.5}
{'iterations': '500000', 'pred_weight': 0.5, 'del_rate': 0.8, 'correlations': {'Model 1': -0.0589, 'Sanity 2': -0.4787, 'Model 2': -0.0835}, 'id': '78981729', 'lr_mem': 2e-05, 'mom': 0.0}
{'iterations': '500000', 'pred_weight': 1.0, 'del_rate': 0.7, 'correlations': {'Model 1': -0.0276, 'Sanity 2': -0.562, 'Model 2': -0.0841}, 'id': '866138731', 'lr_mem': 2e-05, 'mom': 0.7}
