pred_weight	del_rate	model1	model2
0.25	0.55	-0.0651	-0.39
0.25	0.3	-0.1175	-0.3996
0.5	0.6	-0.3407	-0.4215
0.75	0.5	-0.287	-0.4219
0.0	0.6	-0.1946	-0.4244
0.5	0.5	-0.4385	-0.4304
0.75	0.55	0.2333	-0.436
0.5	0.6	-0.3198	-0.4388
0.75	0.45	-0.3282	-0.4392
0.5	0.4	-0.2531	-0.4437
0.75	0.6	-0.07	-0.4544
0.75	0.7	-0.0995	-0.4548
0.5	0.55	-0.4068	-0.4825
0.0	0.35	-0.1545	-0.4863
0.75	0.55	-0.3026	-0.5047
0.0	0.7	0.044	-0.5058
0.25	0.55	-0.2465	-0.5081
0.5	0.5	0.1168	-0.5202
0.75	0.5	-0.2727	-0.5256
0.5	0.5	-0.2138	-0.5814
