pred_weight	del_rate	model1	model2	sanity1	sanity2	denoiser	noised_lm	lm
0.75	0.75	-0.0735	0.365	0.3964	0.0687	469764721	522622844	129313017
0.25	0.65	-0.135	0.2767	-0.4997	-0.5869	12916800	522622844	239671536
0.5	0.7	0.0207	0.2472	-0.208	-0.4586	518982544	522622844	129313017
0.25	0.6	-0.0798	0.1979	-0.2293	-0.2698	469764721	522622844	643395320
0.75	0.65	0.0922	0.1471	-0.0273	-0.1665	12916800	522622844	643395320
0.25	0.7	0.0559	0.1178	0.0204	-0.4743	518982544	522622844	643395320
0.0	0.55	-0.0422	0.1074	0.2877	0.2379	12916800	522622844	129313017
0.0	0.6	0.1034	0.0947	-0.2082	-0.1577	469764721	522622844	643395320
0.0	0.55	-0.0378	0.0562	-0.3818	-0.3469	12916800	522622844	129313017
0.5	0.8	0.0615	0.0492	-0.2691	-0.5332	469764721	522622844	239671536
0.5	0.6	-0.0307	0.0427	-0.4423	-0.6403	518982544	522622844	239671536
0.5	0.6	-0.059	0.0348	-0.1318	-0.1907	469764721	522622844	129313017
0.25	0.6	-0.0202	0.0327	-0.1068	-0.323	518982544	522622844	129313017
0.75	0.55	-0.0217	0.0324	-0.1093	-0.2893	469764721	522622844	643395320
0.75	0.65	0.0357	0.0221	0.0158	-0.2543	469764721	522622844	643395320
0.25	0.6	-0.248	NA	-0.0269	NA	518982544	522622844	643395320
0.75	0.6	-0.1447	NA	NA	NA	469764721	522622844	643395320
0.0	0.65	-0.166	NA	NA	NA	469764721	522622844	643395320
0.0	0.6	-0.1738	-0.0032	-0.1131	-0.405	469764721	522622844	129313017
0.25	0.7	-0.0818	-0.0221	-0.3728	-0.519	518982544	522622844	239671536
0.5	0.55	-0.0868	-0.0296	-0.1356	-0.3502	469764721	522622844	129313017
0.5	0.65	-0.2514	-0.0342	-0.4692	-0.4746	12916800	522622844	239671536
0.0	0.55	0.197	-0.0343	0.2454	0.2713	518982544	522622844	129313017
0.75	0.65	-0.224	-0.0369	0.2833	0.0828	518982544	522622844	643395320
0.5	0.55	-0.088	-0.0403	0.2472	0.133	518982544	522622844	129313017
0.5	0.55	-0.119	-0.0424	-0.084	-0.1574	469764721	522622844	643395320
0.25	0.65	-0.1272	-0.0437	-0.1311	-0.1587	469764721	522622844	643395320
0.5	0.6	-0.231	-0.0493	0.2675	0.3422	469764721	522622844	129313017
0.25	0.75	-0.006	-0.0554	-0.2204	-0.1833	469764721	522622844	129313017
0.25	0.65	0.364	-0.0649	-0.4016	-0.6397	469764721	522622844	239671536
0.25	0.55	-0.0004	-0.0743	-0.0086	-0.4256	518982544	522622844	643395320
0.5	0.6	-0.0658	-0.0859	-0.0027	-0.4909	518982544	522622844	643395320
0.75	0.7	-0.172	-0.0878	0.0399	0.0156	518982544	522622844	643395320
0.75	0.55	0.0968	-0.0883	-0.0574	-0.2588	12916800	522622844	643395320
0.5	0.75	0.1064	-0.0893	0.0684	-0.2587	518982544	522622844	643395320
0.75	0.65	-0.0297	-0.0981	-0.0861	-0.2276	518982544	522622844	129313017
0.0	0.75	0.0236	-0.1042	-0.5354	-0.6388	12916800	522622844	239671536
0.75	0.65	-0.1103	-0.1205	-0.4741	-0.5555	518982544	522622844	239671536
0.0	0.75	0.1013	-0.1301	-0.5659	-0.6524	518982544	522622844	239671536
0.75	0.6	-0.1779	-0.1395	-0.0233	-0.2416	518982544	522622844	643395320
0.25	0.65	-0.0682	-0.1432	-0.5148	-0.6595	518982544	522622844	239671536
0.5	0.6	-0.2178	-0.1636	-0.0689	-0.3881	518982544	522622844	643395320
0.5	0.65	-0.394	-0.1656	-0.338	-0.4549	12916800	522622844	129313017
0.5	0.75	-0.1182	-0.1698	-0.3923	-0.2493	12916800	522622844	239671536
0.0	0.55	0.0012	-0.1706	-0.0444	-0.3562	469764721	522622844	643395320
0.25	0.55	0.1668	-0.1771	-0.2922	-0.3226	469764721	522622844	239671536
0.25	0.55	0.0436	-0.1818	0.0251	-0.2798	12916800	522622844	643395320
0.25	0.75	-0.1023	-0.1971	-0.5066	-0.6123	12916800	522622844	239671536
0.75	0.7	-0.3765	-0.1978	-0.5244	-0.4921	12916800	522622844	239671536
0.25	0.65	-0.0952	-0.2001	-0.5146	-0.5898	518982544	522622844	239671536
0.0	0.7	-0.1005	-0.2132	-0.2778	-0.1629	12916800	522622844	643395320
0.0	0.6	-0.2439	-0.225	-0.2737	-0.5074	12916800	522622844	239671536
0.25	0.6	-0.0773	-0.2317	-0.506	-0.5684	469764721	522622844	239671536
0.75	0.75	-0.2297	-0.2437	0.0456	-0.3627	518982544	522622844	129313017
0.0	0.6	-0.3259	-0.2711	0.1093	-0.138	518982544	522622844	643395320
0.25	0.6	-0.0936	-0.3024	-0.4807	-0.6535	518982544	522622844	239671536
0.75	0.65	-0.0656	-0.3085	-0.1493	-0.1325	518982544	522622844	129313017
0.5	0.75	-0.261	-0.3185	-0.4127	-0.4217	12916800	522622844	129313017
0.25	0.7	-0.0762	-0.336	-0.0482	-0.4764	518982544	522622844	129313017
0.75	0.55	0.0935	-0.3467	-0.4614	-0.519	12916800	522622844	239671536
0.25	0.55	-0.107	-0.3799	-0.2869	-0.2942	12916800	522622844	239671536
0.0	0.75	0.0801	-0.3829	-0.107	-0.4289	518982544	522622844	643395320
