pred_weight	del_rate	model1	model2	sanity1	sanity2	denoiser	noised_lm	lm
0.75	0.35	nan	nan	nan	nan	518982544	522622844	129313017
0.25	0.35	0.228	-0.0476	0.6288	0.537	12916800	522622844	643395320
0.25	0.5	nan	nan	nan	nan	518982544	522622844	129313017
0.25	0.55	nan	nan	nan	nan	518982544	522622844	129313017
0.25	0.5	nan	nan	nan	nan	12916800	522622844	129313017
0.0	0.35	nan	nan	nan	nan	469764721	522622844	129313017
0.5	0.45	nan	nan	nan	nan	469764721	522622844	129313017
0.5	0.45	nan	nan	nan	nan	12916800	522622844	129313017
0.25	0.45	nan	nan	nan	nan	518982544	522622844	129313017
0.5	0.45	nan	nan	nan	nan	12916800	522622844	129313017
0.0	0.5	nan	0.2734	0.5954	0.5888	469764721	522622844	643395320
0.0	0.5	0.0907	0.1686	0.784	0.7433	518982544	522622844	129313017
0.75	0.5	0.2544	0.009	0.712	0.6406	12916800	522622844	643395320
0.5	0.5	nan	nan	nan	nan	469764721	522622844	129313017
