ID	Condition	literal	nonliteral	other	other_compound	other_conj	other_nmod	unknown
511770809	DO_for_implausible	4.911515596080922	62.97832922973394	0	34.42101427046503	12.313807673524916	0	72.49708595923254
511770809	DO_for_plausible	11.87866886323984	42.90508391397035	0	85.51726093226188	11.385412532081338	0	69.91126717242076
511770809	DO_implausible	1.492074208061756	93.02237756454558	0.28907385258332896	47.04679707781695	0	0	75.887512331367
511770809	DO_plausible	16.471710952852476	32.08826002017268	0	86.998066383428	6.749710492707945	0	83.23467229406623
511770809	PO_for_implausible	nan	nan	0	nan	nan	0	nan
511770809	PO_for_plausible	55.50759960749759	4.888102938220964	0	0	18.99723136248765	0	100.75074740151251
511770809	PO_implausible	24.767596376211102	45.40698113103298	0	75.07168174761674	9.155592595061538	0	70.68181729270246
511770809	PO_plausible	81.47007994319434	2.448572022864976	0	0	4.996946719193043	0	143.9711840576297
511770809	Preposition_implausible	nan	nan	0	0	0	0	nan
511770809	Preposition_plausible	127.87527090160738	11.25837984272894	0	0	0	0	36.764228082463816
511770809	Transitive_implausible	33.61846939313861	141.42620666733782	0	0	6.682150267842394	5.468089853227507	43.32746289907244
511770809	Transitive_plausible	41.94324126430201	98.99899997427843	0	0	0	0	84.58198283870047
511770809	active_implausible	56.50746116260761	20.371110481894544	0	0	0	0	151.6258941679461
511770809	active_plausible	92.46460025948905	2.6049096380753096	0	0	0	0	130.08746603856892
511770809	active_v1	28.23582246850951	12.040641034003219	0	0	0	0	83.62484537317931
511770809	active_v2	38.97348306699588	9.827246063448127	0	0	0	0	80.45004367294834
511770809	implaus_obj	131.92534398656116	2.174488174281729	0	0	0	0	80.59462103257881
511770809	implaus_subj	1.6425312994667516	99.65380852434933	0	0	0	0	119.14846459117896
511770809	passive_implausible	17.067394583748243	66.94794158259613	0	0	0	0	138.69746090810725
511770809	passive_plausible	48.92548641252214	19.443538396579786	0	0	0	0	nan
511770809	passive_v1	17.268424417608678	35.80768245299516	0	0	0	0	86.70482803902384
511770809	passive_v2	19.899683835124186	26.734836377280402	0	0	0	0	90.71553729724742
511770809	plaus_obj	113.10086550507111	3.2413702652961702	0	0	0	0	105.79898123466985
547749521	DO_for_implausible	2.432613105258885	17.08138002272735	0	10.081953117365044	12.717763398095748	0	104.6827610427954
547749521	DO_for_plausible	3.5592188108922116	9.625998385251656	0	22.93922302850322	4.073825999922226	0	119.77743879977314
547749521	DO_implausible	1.6937537704098258	24.007223831310156	0.001435695341737444	21.9498816331105	0	0	109.14093544482505
547749521	DO_plausible	6.328299610904584	11.210427518557653	0	23.291211373580833	5.307226204405889	0	122.60723089345463
547749521	PO_for_implausible	5.933083425324194	32.43342146715899	0	20.460724226973536	4.86206356818293	0	105.9350503016067
547749521	PO_for_plausible	23.600687424601617	2.17997688796988	0	0	7.508761053986468	0	95.99885002222281
547749521	PO_implausible	4.903529869311441	32.293486002761824	0	29.17506235811532	7.1498330854523235	0	84.31653628360547
547749521	PO_plausible	28.339900683456943	1.460924537832382	0	0	5.595218492657839	0	140.25131138012875
547749521	Preposition_implausible	35.64799172907508	14.43207610708234	0	0	0	0	82.66742088702543
547749521	Preposition_plausible	49.999461683081535	10.675832913982086	0	0	0	0	73.9270990734018
547749521	Transitive_implausible	27.77093320189082	63.90802057398456	0	0	5.11862988547461	9.588187006911237	82.27912030236037
547749521	Transitive_plausible	31.62816532960814	42.72581907468072	0	0	0	0	110.77418134711772
547749521	active_implausible	10.115692005609981	8.080634745087588	0	0	0	0	152.41761902986082
547749521	active_plausible	22.096274824694973	6.93614445560081	0	0	0	0	144.45559345346155
547749521	active_v1	11.963372216157692	2.2076427791332924	0	0	0	0	83.49326700412861
547749521	active_v2	9.393777829949832	3.0893135258347577	0	0	0	0	86.16570981511734
547749521	implaus_obj	45.07156820961723	8.842002907220555	0	0	0	0	113.17779489939772
547749521	implaus_subj	3.0388364451515586	33.4703797034567	0	0	0	0	148.4549725165303
547749521	passive_implausible	6.516991407047215	20.111911199331285	0	0	0	0	154.27098090965723
547749521	passive_plausible	9.011099383830729	5.5820855134186385	0	0	0	0	153.85925169059797
547749521	passive_v1	2.677830475203837	9.047031306673055	0	0	0	0	104.19375981311643
547749521	passive_v2	1.596833305038719	14.044996681933524	0	0	0	0	96.95169512177374
547749521	plaus_obj	36.31477704106008	1.175638275952564	0	0	0	0	152.98009461195113
63975429	DO_for_implausible	17.883312146395088	113.25318775863441	0	24.00517925207871	2.890977318830559	0	44.96751591489222
63975429	DO_for_plausible	112.59453798315413	26.45912314686612	0	43.596734841290484	1.720413237244383	0	55.62919005486134
63975429	DO_implausible	23.911029334299787	114.43225544103095	0.07631381169802867	34.215914556271215	0	0	55.36448827711287
63975429	DO_plausible	96.56160739040085	38.87113625503764	0	52.24519841351313	1.823044417773287	0	50.144825676077275
63975429	PO_for_implausible	133.9371957916233	23.17986423546755	0	9.237136456245869	1.7420235441638288	0	70.48005129940174
63975429	PO_for_plausible	133.00584547266183	3.2396476332305184	0	0	0.16895019506083145	0	55.585559753087544
63975429	PO_implausible	123.91106377383046	33.788518162106634	0	15.118890736584804	2.932402320956633	0	64.2491280934629
63975429	PO_plausible	165.05750111715935	7.832660432130795	0	0	1.534974446846514	0	65.57486480129077
63975429	Preposition_implausible	123.875240714537	17.53858353295567	0	0	0	0	36.60357208198203
63975429	Preposition_plausible	143.83485127222139	8.652842781081603	0	0	0	0	26.928906182361747
63975429	Transitive_implausible	75.70311304585107	121.5991436937822	0	0	5.3307061744449715	4.0606191266971265	30.735299135111
