"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Eff.Sample"	"Rhat"
"Intercept"	8.84628153139018	0.338895111196393	8.18207568361256	9.50005664386038	166.404352645338	1.02986652919868
"compatible.C"	0.625890874521107	0.136952838596531	0.356737301876399	0.884516658458392	227.682595048731	1.02362896853282
"EmbBias.C"	-0.263265987331212	0.0394746858432967	-0.338590047504266	-0.183772747329557	770.402796492569	1.01455132247823
"compatible.C:EmbBias.C"	-0.0307233879449007	0.0149678050624526	-0.0596927981550334	-0.000845428162302895	2713.55478365335	1.00110578607439
