"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Rhat"	"Bulk_ESS"	"Tail_ESS"
"Intercept"	10.5172565885034	2.76180622299431	4.92981154571769	16.3992468289993	1.00505136690832	3288	2859
"compatible.C"	-0.464697571471736	0.344744971568026	-1.14296117708088	0.221316549873724	1.00100620711689	3179	4948
"EmbBias.C"	-0.0597138607285204	2.66425246243809	-5.65191743621137	5.30684821520015	1.005942449294	3156	2532
"compatible.C:EmbBias.C"	0.324620212184269	0.259612567753173	-0.178317950363163	0.852696087536389	1.00189313632771	4326	5287
