"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Rhat"	"Bulk_ESS"	"Tail_ESS"
"Intercept"	8.41750463245815	0.439094114663429	7.5915686599834	9.28890421573753	1.00710516229252	368	900
"compatible.C"	0.855978755053246	0.218510655385054	0.444285667149399	1.28705751382815	1.00468025532589	703	1382
"EmbBias.C"	-0.552400135451235	0.085122757619247	-0.721925024101867	-0.385332763719648	1.00710949351838	906	1845
"compatible.C:EmbBias.C"	-0.153375355885706	0.0556013533570671	-0.262499651314862	-0.0426814517076381	1.00150835767069	1772	3745
