LowerCaseToken	Frequency
the	4399
of	4410
and	4132
a	7101
in	11482
to	13290
it	4264
is	4385
was	4030
i	8094
for	8725
you	3775
he	3904
be	5120
with	4097
on	11121
that	13871
by	6230
at	4073
are	4072
not	4083
this	4828
but	5361
they	4048
his	5538
from	4020
had	7288
she	3193
which	3953
or	4063
we	4184
an	4283
were	3892
been	3975
have	8004
their	3895
has	3955
would	3943
what	3967
will	7239
there	7695
if	3997
can	5260
all	7452
her	5615
as	15244
who	4371
do	7801
one	11072
said	8535
them	3925
some	4118
could	3877
him	3259
into	3901
its	3581
then	3894
two	3950
when	10015
up	8543
time	4940
my	3285
out	5627
so	8057
did	3692
about	11284
your	3313
now	3988
me	3598
no	8442
more	8051
other	7420
just	5839
these	3866
also	3769
people	3842
any	4187
first	3881
only	9856
new	5341
may	5831
very	6742
should	3803
like	13010
than	3981
how	3778
well	7196
way	4215
our	3624
between	3737
years	3751
many	3751
those	3797
being	4785
because	3730
three	3843
down	8244
such	3477
back	9086
good	6465
where	8943
year	3554
through	7880
must	3981
still	5587
even	4328
know	6429
too	3648
here	3542
get	6337
own	4833
does	3684
last	6132
going	4792
after	9607
us	4704
government	2396
might	3801
same	3729
much	7107
see	7179
yes	2414
go	7520
make	7406
day	4814
man	4331
another	3719
world	3511
got	7133
work	11005
however	4521
life	3333
again	3586
against	3319
think	6575
never	3384
under	5986
most	7026
old	3355
over	13611
something	3355
mr	2172
take	7332
why	3352
each	3521
while	5248
part	3845
number	3591
made	9522
different	3517
really	3234
went	3345
came	3492
children	2742
always	3431
four	3612
without	3693
within	4077
system	2915
local	3802
during	3306
although	3292
next	3590
small	4328
case	3490
great	4580
things	3303
social	2588
end	7580
say	7179
quite	3357
both	6690
group	3408
five	3494
every	3563
women	2424
says	2897
party	2719
important	3322
place	7579
house	5527
took	3437
before	11742
information	2907
1	2394
men	2898
often	3120
seen	3422
money	3104
school	2742
national	2749
fact	3402
night	2655
given	5854
second	5193
point	6023
off	9009
done	3457
having	3481
thing	3081
british	2887
london	2757
taken	3777
area	3092
perhaps	3156
company	3758
family	2920
2	2318
hand	3884
already	3412
possible	3237
nothing	3143
home	5641
large	3139
yet	3369
business	3608
water	3184
side	3315
whether	3339
days	3252
used	13033
john	2595
development	2509
week	3126
state	5395
give	6482
head	5896
want	6283
right	13755
almost	3100
country	3244
himself	2515
find	6197
council	2277
power	3366
come	9353
thought	8999
young	3750
room	2748
able	3406
political	1901
six	3355
later	5443
until	5861
members	2671
eyes	2146
public	5218
use	9609
service	3733
mean	6279
problem	3157
though	3947
high	6905
towards	3071
anything	3123
others	3162
war	2308
car	2347
doing	3945
police	1939
problems	2992
interest	3153
probably	3172
available	2862
saw	3129
full	4440
knew	2349
actually	3036
education	1984
policy	2038
ever	3134
am	3218
best	5744
today	3262
face	5964
times	4629
enough	5338
office	2813
looking	3891
door	2174
since	9243
voice	1966
less	5682
britain	2135
form	6831
body	2957
3	2204
person	2802
together	3238
research	2703
services	2382
months	3063
big	3423
name	4282
little	10174
million	2067
health	2282
law	2817
question	4113
book	3002
long	9260
words	2830
mother	2594
using	3200
child	2115
period	2685
making	5224
court	2807
main	3625
several	2954
society	2346
market	4660
itself	3042
themselves	3035
began	2593
economic	1697
upon	2592
areas	2510
away	4958
major	3879
therefore	2539
woman	2088
england	2279
including	3527
help	8193
among	2649
gave	3026
real	3347
job	2810
likely	3392
position	3327
process	2631
effect	3421
known	4803
far	6437
line	3253
half	5703
staff	2587
became	2688
moment	2674
community	2468
difficult	3118
action	2746
particularly	2996
special	3092
particular	3114
international	2097
kind	3767
father	2458
report	4846
look	9532
age	2787
across	4244
idea	2989
certain	3042
taking	3902
evidence	2474
rather	2846
looked	5210
minister	2180
tell	4701
third	3006
seems	2933
view	4080
morning	2559
found	7911
else	2872
sense	3509
behind	4343
sometimes	2856
thus	2031
level	5246
getting	2917
better	6040
shall	2354
need	11186
seemed	3863
table	2408
further	5773
death	2541
4	2154
mrs	1654
whose	2777
industry	2015
ago	2945
century	2031
control	6127
sort	3818
gone	2837
church	2071
yesterday	1467
clear	6169
range	3196
black	4373
general	6548
word	2737
groups	2327
history	2432
free	4047
keep	5488
road	3684
order	4148
few	3071
usually	2663
wanted	5155
hundred	2333
centre	4210
put	12120
food	2323
study	3540
programme	2403
result	4202
air	2516
hours	2703
committee	1835
indeed	2707
team	2055
experience	4257
change	7600
course	3037
language	2064
white	4530
someone	2462
everything	2742
certainly	2923
mind	6108
hands	2803
10	2187
rate	2616
section	2245
similar	2773
trade	2886
minutes	2397
reason	3042
authority	2163
cases	2401
role	2343
data	1310
working	6980
europe	2059
necessary	2718
nature	2547
class	2319
felt	5296
central	2967
english	4069
companies	1827
simply	2750
early	7231
department	2123
especially	2771
asked	6266
called	7619
personal	2615
value	2771
5	2091
member	2425
around	9465
seven	2935
uk	1452
paper	2719
land	3802
eight	2842
systems	1726
true	3590
herself	1589
told	6289
support	6775
act	5663
type	2553
wife	2078
once	5340
city	3502
former	2214
common	3416
friend	2087
changes	3578
countries	1807
care	5043
sure	4370
decision	2505
financial	2070
single	3605
terms	2682
price	3016
provide	4342
stage	2867
matter	4368
parents	1864
club	1760
practice	2828
based	4005
trying	3565
private	3084
foreign	1780
god	3059
saying	3956
whole	6465
town	2799
makes	3491
open	8768
situation	2636
comes	3020
soon	2739
strong	2982
b	2551
bed	1831
recent	2571
girl	1643
david	1872
higher	2864
quality	2695
either	5663
european	2953
various	2710
conditions	2313
clearly	2590
ground	3177
weeks	2820
tax	1760
poor	2520
production	2152
friends	2366
shown	2466
month	2468
music	1682
1990	1306
