LowerCaseToken	Frequency
anyone	2559
game	1895
ways	2753
schools	1768
issue	3191
royal	1896
workers	1638
goes	2989
american	2831
students	1508
despite	2360
knowledge	2319
june	1948
art	2062
let	6213
hair	1474
basis	2401
subject	3115
series	2435
natural	2396
coming	5844
bad	3499
bank	2824
feet	1948
greater	2711
south	4039
simple	2652
lot	2997
pay	5622
west	4017
rest	4409
secretary	2229
security	1947
manager	1684
hospital	2018
cost	5593
heart	2330
structure	1955
attention	2566
story	2275
means	5077
letter	2264
questions	3061
field	2891
short	5397
become	7179
studies	1580
per	2021
movement	2128
6	1951
union	2114
success	2429
figure	3448
united	3327
1989	1304
everyone	2454
near	4799
whatever	2782
analysis	1552
news	2818
chance	2630
evening	2457
population	1559
boy	1807
modern	2211
20	1992
following	6647
theory	1654
legal	1757
computer	1763
scotland	1602
approach	4161
books	2263
final	3309
wrong	4535
finally	2613
ask	4407
performance	2019
human	3531
authorities	1674
environment	1951
please	2801
fire	2688
rights	1767
whom	2312
above	5784
relationship	2081
1991	1197
feel	5559
growth	1899
agreement	2180
parties	1815
account	3944
nice	2107
size	2451
son	2056
held	6288
space	2415
amount	3243
property	1805
example	2275
project	2869
normal	2430
myself	2063
nor	2396
meeting	5049
set	13452
quickly	2595
record	3597
france	1731
behaviour	1702
left	12395
previous	2521
peter	1892
giving	3255
recently	2681
serious	2635
anyway	1940
couple	2406
energy	1774
sir	2332
term	2526
director	1763
current	2687
st	1842
east	3481
12	1992
love	5319
significant	1993
income	1377
leave	5779
building	5298
pressure	2292
levels	2060
treatment	1944
north	4059
prime	1831
throughout	2922
model	2576
suddenly	1852
pounds	1639
choice	2708
results	3655
scheme	2076
try	5295
fine	3364
details	2514
takes	2802
bring	4574
design	2478
happy	2440
list	3111
defence	1591
parts	2552
bit	2730
points	3797
red	3546
loss	2250
industrial	1571
activities	2030
low	4631
floor	1937
generally	2289
issues	2376
activity	1941
rates	1547
nearly	2601
march	3421
sorry	1743
30	1862
paul	1549
forward	4290
army	1508
talking	3710
difference	2516
hour	2278
labour	3133
summer	2289
specific	1965
outside	7471
numbers	2373
concerned	5122
husband	1707
lord	2697
relations	1542
understand	3989
contract	1986
turned	5432
product	1657
ideas	2080
george	1603
material	2998
wall	2283
meet	4262
believe	4671
thank	2312
obviously	2440
unless	2617
appropriate	2516
teachers	1339
dead	2928
military	1397
season	1278
15	1929
unit	1846
arms	1810
easy	4396
lower	3242
show	7526
basic	2221
reasons	2551
successful	2380
colour	2422
play	5761
aware	2364
technology	1915
effects	1908
yourself	1902
exactly	2479
beyond	3188
figures	2771
style	1993
round	8655
date	3211
germany	1539
products	1564
popular	2117
hear	3405
window	1785
science	1388
forces	2166
showed	2411
resources	1744
sea	2489
maybe	1868
events	2174
gives	2552
advice	2119
circumstances	2135
september	1845
de	2184
plan	4268
present	7458
event	2220
thousand	1791
training	4062
stood	3168
picture	2698
sales	1486
1988	1251
village	1877
original	2948
america	1796
investment	1663
oil	1544
thinking	4362
cup	1617
lines	2478
january	1739
james	1627
blood	1705
opportunity	2502
useful	2196
prices	1575
professional	2537
conference	1472
extent	2002
interests	2216
application	1740
page	2307
operation	2124
film	1649
richard	1439
response	2108
ones	2906
majority	2033
rules	2395
shop	2380
effective	2023
press	3420
written	3788
york	1519
move	6584
hard	6285
sat	2617
easily	2423
wrote	1932
statement	1934
risk	3072
force	4848
miles	2091
capital	2541
economy	1500
traditional	2025
glass	1653
ready	2880
died	3437
president	2136
street	3557
costs	3593
earlier	4454
playing	2579
stop	4970
scottish	1373
8	1805
importance	2046
remember	4227
individual	4513
test	3639
complete	4155
jobs	1799
immediately	2994
standards	1991
talk	5525
considerable	2024
girls	1486
ireland	1301
parliament	1231
interesting	2484
physical	1889
species	877
garden	2262
title	1709
michael	1469
start	7520
eye	2109
access	2758
brought	6323
employment	1729
buy	3602
fell	2914
daughter	1577
responsible	2262
competition	1713
december	1651
sunday	1717
plans	3164
medical	1558
purpose	2193
mouth	1489
piece	2315
wide	3872
heavy	2484
answer	4714
tomorrow	1581
leaving	2934
11	1774
needs	5209
task	2055
worth	3912
wales	1479
responsibility	2054
doctor	1849
arm	1704
eventually	2346
ability	2059
highly	2265
hotel	1831
looks	3605
pattern	1774
source	2105
existing	2276
television	2229
lost	7201
election	1172
ensure	2629
baby	1393
charles	1233
region	1754
suppose	2473
total	4940
seem	4522
surface	1645
required	4960
older	1984
heard	5044
methods	1669
future	6366
campaign	1834
equipment	1839
fully	2459
disease	1103
machine	1765
lack	3127
independent	2645
slightly	2224
hot	2071
peace	1594
charge	2976
types	1809
policies	1270
houses	2582
hardly	2110
direct	4103
otherwise	2481
directly	2223
windows	1481
stay	4064
teacher	1266
radio	1672
forms	3274
provision	1332
factors	1491
direction	2226
trouble	2667
ran	1904
beautiful	1623
leader	1638
civil	1482
officers	1506
status	1736
places	3210
sound	4726
allow	3594
character	1890
wants	2360
variety	2127
considered	4630
light	6236
continue	3761
safety	1702
completely	2414
tea	1509
box	2150
below	3900
fifty	1623
sector	1159
animals	1345
oxford	1134
culture	1315
weight	1988
top	6174
obvious	2280
late	5932
1987	1224
increase	4569
include	3809
station	2330
none	2361
sale	1804
afternoon	1813
knows	2108
produce	3771
william	1306
february	1611
king	2841
provides	1832
miss	3052
essential	2334
extra	2975
live	5513
condition	1910
families	1697
works	3758
saturday	1485
university	2999
appeal	3012
along	5700
trees	1494
sex	1334
allowed	4996
argument	1855
normally	2162
kitchen	1345
brother	1635
demand	3379
alone	4538
principle	1663
run	7972
pupils	812
chairman	2219
cash	1821
version	1745
expected	6150
states	3681
hope	6123
sun	2420
league	948
involved	6120
duty	1701
18	1709
rule	2528
concern	3578
environmental	1190
presence	1929
boys	1529
truth	1947
16	1656
dog	1324
french	4131
board	3261
courses	1218
blue	2963
media	1307
exchange	2223
14	1691
9	1698
relevant	1615
august	1691
balance	2667
robert	1443
turn	7107
1986	1231
slowly	1704
relatively	1768
close	8769
players	906
discussion	1950
huge	1973
paid	5465
letters	1885
budget	1380
protection	1837
marriage	1255
collection	1710
speech	1487
africa	1221
born	2365
differences	1461
effort	2230
gets	2087
attempt	4182
nuclear	914
survey	1696
failure	1883
annual	1961
practical	1938
career	1632
horse	1253
features	2463
chair	1626
becomes	1926
25	1656
matters	2664
apparently	2199
started	5720
subjects	1314
text	1181
appears	1976
consider	3410
student	1347
larger	2001
cells	667
accept	3189
merely	1874
plus	2095
memory	1746
studio	625
regular	2240
13	1591
provided	5657
decisions	1563
call	6840
opposition	1534
facilities	1548
commercial	2110
running	5914
cars	1493
skills	2108
firms	976
post	2834
edge	1818
built	4341
image	1802
politics	1244
reference	2011
aid	2251
organisation	1816
instead	2151
expression	1614
award	1230
influence	3279
quarter	1922
association	2855
opinion	2085
additional	1803
benefit	3633
largely	1796
advantage	2212
benefits	1745
somebody	1477
western	2363
happen	3139
smaller	2059
pain	1469
aspects	1710
names	2475
scale	2105
officer	2253
clothes	1580
stock	2104
affairs	1549
views	2137
impact	1900
nevertheless	1755
leaders	1221
regional	1472
deal	5003
complex	2750
powerful	1967
possibly	2384
speaker	954
share	4579
carefully	2009
corner	1872
plants	1170
described	4476
lives	3672
length	1887
race	1844
telephone	2237
foot	1973
values	1578
river	1981
mary	1277
possibility	2037
followed	5239
drawn	2510
speak	3097
strength	2063
examples	1556
tried	5097
mainly	2062
carry	3781
commission	2351
visit	4124
insurance	1287
units	1388
currently	1703
ball	1479
inside	4754
impossible	2181
somewhere	1916
sitting	3020
skin	1347
confidence	1850
develop	2638
carried	5171
wind	1932
legislation	1101
bodies	1793
message	1835
hold	5478
write	3322
shows	3831
holiday	2068
100	1644
stone	1992
sent	4866
sexual	1010
edward	900
network	1653
attack	2928
ordinary	1972
entirely	2129
expect	3711
lay	3562
previously	1949
actual	1972
cause	4675
proposals	1162
extremely	2045
fresh	1878
scene	1765
ministers	819
materials	1388
speed	2347
solution	1692
dark	3431
article	1411
credit	1853
includes	1813
changed	5120
thomas	1201
distance	1924
50	1578
customers	1303
items	1530
band	1279
internal	1571
suggests	1590
excellent	1815
fairly	2068
technical	1764
interested	3755
domestic	1730
produced	4853
beginning	4740
lead	5267
crime	1234
avoid	2779
sources	1584
traffic	1445
introduction	1816
increasingly	1796
explain	2785
administration	1285
animal	1438
step	3654
planning	3718
existence	1707
executive	1872
added	5476
remains	3016
soviet	1258
equally	2071
records	2062
cultural	1043
create	2701
remained	3067
offer	5604
becoming	2687
institutions	1138
rich	2021
lady	2200
male	2337
legs	1321
proper	2084
powers	1707
24	1463
famous	1742
religious	1275
spirit	1577
tv	1066
primary	2073
trial	1308
developed	4601
relief	1793
progress	3077
straight	3553
programmes	1349
cold	3661
formal	1649
sight	2050
s	2343
coffee	1407
past	8672
prison	1069
follow	3683
review	2894
concept	1452
watching	1776
elements	1532
accident	1561
earth	2342
reality	1787
appear	3713
tree	1410
strange	1812
read	6981
papers	1649
unable	1990
warm	2089
surely	1729
firm	3699
p	1621
difficulty	1968
latest	1991
17	1500
sides	1880
assessment	1303
ahead	1871
proportion	1546
dinner	1335
distribution	1358
win	2704
weekend	1459
meaning	2370
wine	1175
usual	1967
worse	2676
rural	1029
buildings	1618
wish	4764
twice	2113
applications	1074
henry	1143
equal	1866
path	1571
fund	1459
whereas	1763
stuff	2161
nobody	1656
substantial	1699
funds	1441
northern	2261
reasonable	1848
onto	1520
learn	2872
games	1261
background	1957
strategy	1319
prepared	4803
achieve	2283
soft	1565
transport	2516
battle	1875
smile	1759
joint	2040
needed	5599
immediate	1949
grounds	1779
seat	1652
stand	4828
fourth	1815
paris	1221
safe	2484
debate	2085
suitable	1831
ought	1673
e	1907
manner	1862
return	6187
homes	1371
german	2949
prevent	2310
moving	4251
measures	1776
classes	1387
freedom	1679
operations	1443
selection	1435
requirements	1441
pair	1608
danger	1936
walls	1547
compared	2918
relationships	1211
edinburgh	896
due	2586
afraid	1497
japan	1166
feeling	4298
attitude	1816
led	5195
sign	3048
elections	566
goal	1048
caused	3788
techniques	1340
train	2577
sufficient	1780
claim	4078
sell	2805
democratic	739
match	2806
unemployment	1033
reduce	2242
capacity	1677
achieved	3210
detailed	2118
expensive	1882
construction	1645
managers	1036
happens	2008
video	1440
employees	1119
supply	3395
join	2959
1984	1096
christian	1451
purposes	1637
opportunities	1494
asking	2530
totally	1921
mark	4334
mental	1235
scientific	1243
writing	3991
football	1294
weather	1626
beside	1208
absolutely	1887
arrangements	1594
absence	1717
sentence	1134
damage	2808
park	3034
district	1796
fingers	1216
sites	1074
received	5198
detail	2200
critical	1543
decided	5520
dangerous	1907
minute	2818
courts	1104
college	2346
card	1363
senior	2490
exercise	3166
understanding	3404
rise	4113
educational	1118
reported	3772
partly	1726
reports	3408
seriously	2008
principles	1365
keeping	2512
elsewhere	1894
fear	3583
walked	2584
necessarily	1780
properly	1997
kept	5381
1993	785
track	1665
output	1134
crisis	1421
40	1510
unlikely	1893
met	4913
happened	4852
fields	1654
1981	997
correct	2556
commitment	1528
regarded	2499
21	1358
rock	1720
rain	1681
victory	1057
living	6293
hall	3021
widely	1682
carrying	2178
efforts	1785
element	1617
perfect	1858
target	1995
increasing	3013
pieces	1725
colleagues	1462
bill	2957
apply	2606
closely	1944
rooms	1383
cell	682
liverpool	843
birds	1297
charges	1658
telling	2385
audience	1308
reaction	1687
neck	1350
thousands	1678
build	3120
conversation	1434
historical	1238
seeing	2664
tiny	1548
note	4023
improve	2273
congress	583
shape	2621
bright	1578
appearance	1770
1979	961
killed	2800
conflict	1627
option	1368
profits	1184
estate	1229
appeared	4017
threat	1769
boat	1092
violence	1264
profit	1553
thanks	2131
upper	1534
empty	1858
rose	3220
turning	2841
key	3972
volume	1391
feature	2339
meetings	1494
emphasis	1640
urban	957
leg	1242
22	1358
designed	3766
ian	959
introduced	3810
contribution	1616
quiet	2422
reach	3707
dry	2221
martin	1173
monday	1341
arts	1009
occasion	1807
requires	1448
except	3062
player	906
membership	1202
younger	1729
front	4582
institute	1255
spend	3027
pleasure	1481
t	1724
neither	3400
cabinet	1156
alan	1036
murder	1338
deep	4301
careful	1956
bus	1343
remain	3405
literature	1135
leading	4327
walking	2322
offered	4740
branch	1540
heat	1778
faith	1285
island	1643
wait	3570
farm	1698
liberal	1130
1982	1006
entry	1484
eat	2269
attractive	1719
limited	4599
continued	4868
fair	4012
pictures	1646
birth	1391
agreed	5090
prove	2426
wood	1997
developments	1383
tend	2173
send	3001
projects	1676
sit	3011
receive	2855
claimed	3104
vital	1736
spring	2219
greatest	1797
accounts	2335
curriculum	536
created	3541
belief	1469
italy	1140
conclusion	1613
growing	4115
heads	2057
thin	1635
etc	1135
notice	3610
moved	5083
irish	1196
hell	1295
document	1319
division	2281
newspaper	1498
copy	1985
object	2207
exhibition	1104
manchester	1043
shops	1678
treaty	501
owner	1325
jack	1348
tradition	1432
published	3914
lunch	1509
package	1565
flowers	1441
russian	1104
standard	4311
tony	875
depends	1702
28	1228
broke	1817
australia	1153
sky	1174
tom	1346
anybody	1412
green	4767
capable	1784
streets	1391
models	1409
reform	1316
generation	1532
beneath	1408
waiting	4300
organisations	1114
desire	1916
starting	2938
spent	5044
providing	2912
wider	1633
busy	1904
ancient	1414
wonderful	1418
horses	928
functions	1551
decide	2751
broad	1795
treated	2866
raise	2688
reached	4378
stephen	827
iii	899
begin	3154
tour	1809
forced	3627
plenty	1729
actions	1338
longer	3203
entire	1737
bag	1535
aim	2830
secondary	1128
definition	1224
bringing	2157
atmosphere	1560
welfare	984
doubt	3180
standing	4244
laws	1203
typical	1690
meanwhile	1420
troops	721
doors	1475
demands	2197
partner	1454
debt	1244
middle	4698
address	2693
x	1328
dealing	2136
hence	1282
attitudes	1155
ibm	330
lose	2859
23	1255
reduction	1219
ended	2814
criticism	1338
stories	1371
billion	621
explanation	1442
included	4832
schemes	1326
housing	1944
worked	5317
potential	3914
challenge	2783
governments	854
passed	4369
official	3049
goals	766
vast	1737
creation	1369
master	2060
christmas	1690
forest	1375
journey	1570
chosen	2690
screen	1339
readers	1102
leadership	965
establish	1968
tests	1436
kinds	1346
surprise	2129
engineering	1317
fall	5038
significance	1311
rare	1674
via	1418
least	2408
somewhat	1652
drew	1564
biggest	1475
museum	1104
phase	1164
terrible	1419
metal	1247
technique	1150
save	2977
severe	1484
factory	1216
wild	1887
agree	3048
speaking	2637
suggest	3227
contains	1401
strongly	1737
bloody	1697
corporate	896
brain	1239
sold	3485
knowing	1986
tall	1278
rapidly	1592
protect	2089
harry	737
worst	1951
afterwards	1756
signs	1932
criminal	1092
jones	1031
chief	3527
discuss	2216
permanent	1653
respect	2720
leeds	714
ourselves	1607
desk	1060
unions	733
brief	2336
hole	1262
break	4354
fundamental	1270
implications	1276
associated	3321
originally	1745
brian	870
funny	1144
wondered	1275
noise	1456
suggested	4654
somehow	1428
payments	904
double	3580
andrew	996
grew	1620
odd	1599
customer	1080
inner	1255
broken	3133
affected	2610
un	633
spain	1009
crucial	1486
machines	1356
cover	4511
independence	1038
chris	869
constant	1942
combination	1610
won	3350
star	2105
perfectly	1692
maintain	2276
settlement	943
justice	1948
consequences	1362
played	4070
add	2965
finding	3109
lying	1729
virtually	1705
doctors	1133
sports	1123
placed	3905
fashion	1797
temperature	889
drugs	1382
academic	1267
26	1169
consumer	907
nation	1169
finance	2200
initial	2424
drink	3125
search	2331
afford	1837
accepted	4478
massive	1530
pool	1276
dogs	1002
offices	1391
youth	1725
unique	1588
aspect	1594
objectives	852
interpretation	1075
author	1120
agent	1236
vote	1882
assistance	1268
patient	1610
file	1366
directors	880
parliamentary	678
lights	1491
joe	685
unknown	1365
walk	3940
grey	2074
badly	1687
27	1141
quick	2745
crowd	1209
subsequent	1400
sport	1037
finished	3808
covered	3919
iron	1564
objects	1216
meant	4582
pages	1549
minor	1871
contemporary	1149
nose	1241
ship	1283
reduced	3738
learning	2474
colours	1364
alive	1518
negative	1472
female	2195
agency	1602
involving	1483
wearing	1974
departments	974
begun	1583
shoulders	1064
italian	1412
yours	1173
opened	4393
bedroom	1017
proceedings	933
guilty	1234
beauty	1251
pretty	3064
angry	1165
sequence	886
impression	1644
eastern	1681
choose	2764
sheet	1312
regulations	1086
inflation	804
glasgow	775
documents	1236
discussed	2734
cut	7934
enormous	1682
enterprise	1105
identify	1950
fuel	975
rarely	1558
mike	897
employers	841
improvement	1364
average	3392
regions	953
determined	3483
naturally	1686
involvement	1273
increased	4891
kids	1023
tears	1098
contracts	1193
accommodation	1145
mine	2191
roof	1183
communities	939
quietly	1167
provisions	819
grass	1152
statements	1142
nations	939
allows	1341
presented	3571
shock	1585
60	1298
fruit	1165
unusual	1705
revolution	1317
gold	2716
teaching	2188
raised	4665
pension	856
draw	3264
stages	1414
claims	3045
anywhere	1748
long-term	1207
code	1541
measure	2751
vehicle	1220
spot	1987
distinction	1167
bbc	825
release	2539
extensive	1422
lots	1635
bottle	1231
revenue	872
h	1209
bob	1082
forget	2636
vision	1445
friendly	1517
artist	769
sum	1606
plastic	1103
pass	3812
highest	2077
breakfast	1374
artists	632
clean	3030
location	1232
relative	1704
imagine	2557
slow	2960
watch	4003
periods	1296
hundreds	1540
persons	1014
display	2489
establishment	1271
worry	2465
towns	1074
efficient	1401
encourage	2309
continues	1510
weapons	756
bottom	3273
wilson	812
occasionally	1587
philip	751
firmly	1586
drug	1277
believes	1273
abroad	1370
countryside	1029
mostly	1609
brown	2588
approval	1237
autumn	1339
teams	986
conventional	1254
magazine	1605
enjoy	2762
willing	1752
markets	1645
voluntary	1019
cards	1262
selling	2416
editor	1046
characters	888
theatre	1687
starts	1717
situations	1193
regularly	1585
stars	1124
spokesman	768
returned	3978
remaining	2475
stopped	3605
household	1095
occasions	1619
agriculture	732
replaced	2681
duties	1166
announced	3226
touch	3009
reader	1014
guide	2439
judge	2500
talks	1938
intended	3741
dramatic	1520
golden	1307
temporary	1346
african	1085
shortly	1575
lies	2358
decline	1714
initially	1475
pub	904
framework	1100
recovery	1049
japanese	1779
cat	1009
rail	1007
margaret	938
silent	1175
require	2516
theme	1328
married	3788
item	1158
characteristics	1027
watched	2465
yellow	1634
options	1150
keen	1602
clubs	906
electricity	992
federal	617
failed	4212
overall	3419
religion	1008
positions	1452
writer	1047
wealth	1225
coast	1490
1978	881
parent	1010
decade	1253
interview	1712
applied	3620
publication	1132
bread	1147
resistance	1069
ice	1255
cancer	960
representatives	1223
eggs	862
reputation	1398
cope	1762
democracy	802
roads	1268
stress	1783
offence	784
conservative	1720
recession	866
tasks	1033
dress	1962
struggle	1762
forgotten	1860
bought	3756
tells	1487
deputy	874
completed	3041
yards	1010
kill	1802
agencies	878
alternative	3655
allowing	2125
trip	1808
theories	733
candidates	898
gradually	1534
grown	1789
negotiations	897
notion	1015
lived	3622
initiative	1167
acceptable	1443
competitive	1093
offering	2644
cambridge	941
grow	2428
outcome	1254
foundation	1322
caught	3414
representation	912
essentially	1242
drove	1134
businesses	915
taylor	800
easier	2939
supporters	955
containing	1584
assets	1017
elizabeth	736
seek	2389
global	818
aside	1485
chain	1308
ring	2800
ministry	1209
victim	1189
expansion	1110
supported	2793
flow	2140
dream	1882
emotional	1055
fifth	1369
drive	3913
identified	2875
advance	2470
adequate	1345
resolution	875
writers	953
hill	2163
tuesday	1039
closed	4408
centuries	1034
images	950
computers	853
facing	1798
sharp	2379
pale	962
acting	2223
bigger	1456
soldiers	865
wooden	1102
healthy	1334
frank	1357
block	1964
sees	1504
enter	2383
formed	3447
serve	2426
pocket	1167
hello	979
fallen	1871
arrived	3646
newspapers	1200
remarkable	1357
mistake	1773
request	1929
seeking	2314
scientists	805
extension	1329
restaurant	847
churches	681
listening	1905
apart	1472
worker	1041
brilliant	1288
diet	1144
tired	1592
connection	1355
200	1226
link	2580
licence	1065
surprising	1651
removed	2878
strike	2029
precisely	1348
convention	766
content	2626
self	1310
absolute	1409
setting	3651
kingdom	1251
bear	2876
die	2328
inquiry	749
sarah	527
involves	1600
store	1776
councils	769
regime	822
comments	1856
falling	2545
ages	1535
corporation	879
focus	2754
arrival	1342
plane	887
bird	1214
sad	1270
birmingham	928
dependent	1424
consequence	1229
fault	1450
expressed	3100
electronic	852
rapid	1409
golf	668
hoping	1504
experiences	1231
enemy	946
pollution	732
constitution	724
copies	1232
pure	1341
nigel	590
indian	1319
taste	1753
minority	1018
literary	609
queen	2253
1975	878
daily	3231
guests	872
successfully	1447
liked	2407
reading	4276
rome	741
incident	1228
catch	2518
languages	744
relating	1366
thatcher	607
supreme	760
fit	4501
greatly	1400
films	888
represents	1265
brothers	1252
coat	1114
visual	861
adults	1042
gap	1498
welsh	1048
occurs	991
politicians	896
surprised	2808
rough	1530
sons	1028
priority	1333
categories	994
affair	1184
paintings	604
beer	962
exciting	1430
expectations	1094
mood	1252
retirement	989
determine	1518
citizens	977
briefly	1418
presumably	1348
arrangement	1281
begins	1360
defined	2543
f	1358
solid	1555
changing	3592
1974	844
confident	1391
philosophy	1114
manage	2089
feels	1377
sake	1290
mothers	838
illness	1028
experts	1148
throat	857
tory	675
moments	1111
brings	1553
altogether	1516
numerous	1306
everywhere	1447
classical	853
respectively	1030
distinct	1228
statistics	953
finger	1144
stupid	1047
williams	778
requirement	1042
consumption	784
truly	1410
components	873
category	1182
professor	1451
judgment	596
tension	1157
exists	1216
drama	1026
fighting	2578
sleep	2732
scott	694
whenever	1510
johnson	683
partnership	1066
fight	2925
command	1597
presentation	1128
iraq	252
earnings	672
bound	2676
definitely	1333
helpful	1310
mad	1069
flat	3547
survival	1088
neighbours	1234
unlike	2405
shot	2914
permission	1254
intervention	867
promotion	1148
primarily	1233
fast	3647
recorded	2940
spanish	1117
sam	498
exist	2336
mile	1116
argued	2342
poverty	828
frame	1319
waited	1482
signed	2468
proved	3454
consistent	1141
suggestion	1421
fewer	1260
discussions	1181
proud	1343
aged	1828
birthday	1112
painting	1298
wave	1430
helped	4017
emergency	1273
skill	1534
anxious	1333
inevitably	1318
vehicles	838
uses	2440
nervous	1160
branches	1210
threw	1074
perspective	984
neil	596
entrance	1100
pulled	2689
currency	746
limit	2354
ownership	878
describe	2043
extreme	1791
prospect	1420
profession	933
constantly	1408
producing	2117
reasonably	1309
armed	1527
