deletion_rate	predictability_weight	reward	predictability	reconstructability	args	suffix	autoencoder
0.45	0.75	7.2992	4.430458338736802	1.295496337122677	dual_learn_rate=0.3;learn_rate_autoencoder=0.01;learn_rate_memory=1e-05;mom=0.3	oComma_Bugfix.py_67756684	709961927
0.7	0.5	7.3204	4.707623037242379	2.6545043790367355	dual_learn_rate=0.02;learn_rate_autoencoder=0.001;learn_rate_memory=1e-05;mom=0.5	Comma_Bugfix.py_688751832	712478284
0.7	0.75	8.2307	4.608002593664466	2.6173304893180114	dual_learn_rate=0.02;learn_rate_autoencoder=0.01;learn_rate_memory=0.0001;mom=0.5	Comma_Bugfix.py_737020226	727001672
0.5	0.75	7.3285	4.4519066140519525	1.3375738175319554	dual_learn_rate=0.1;learn_rate_autoencoder=0.001;learn_rate_memory=5e-05;mom=0.3	Comma_Bugfix.py_747500264	709961927
0.6	0.75	7.9865	4.525151248846504	2.4524799131403663	dual_learn_rate=0.01;learn_rate_autoencoder=0.2;learn_rate_memory=2e-05;mom=0.0	Comma_Bugfix.py_783238660	727001672
0.45	0.75	6.9917	4.396123455124757	0.7723142958228192	dual_learn_rate=0.05;learn_rate_autoencoder=0.1;learn_rate_memory=5e-05;mom=0.9	Comma_Bugfix.py_827945070	712478284
0.5	0.0	0.8198	5.0	0.8122139706880465	dual_learn_rate=0.2;learn_rate_autoencoder=0.01;learn_rate_memory=5e-05;mom=0.0	oComma_Bugfix.py_82926291	709961927
0.35	0.75	6.909	4.371785611631761	0.7073009359899883	dual_learn_rate=0.3;learn_rate_autoencoder=0.1;learn_rate_memory=1e-05;mom=0.7	oComma_Bugfix.py_83687530	712478284
0.35	0.0	0.4467	5.0	0.44482700553915017	dual_learn_rate=0.01;learn_rate_autoencoder=0.01;learn_rate_memory=2e-05;mom=0.3	Comma_Bugfix.py_873465887	709961927
0.3	0.0	0.0905	5.0	0.09276672795133366	dual_learn_rate=0.3;learn_rate_autoencoder=0.001;learn_rate_memory=5e-05;mom=0.9	Comma_Bugfix.py_874411415	647336050
0.5	0.5	5.5717	4.461461781853293	1.1075691584492715	dual_learn_rate=0.2;learn_rate_autoencoder=0.1;learn_rate_memory=5e-05;mom=0.0	oComma_Bugfix.py_88541713	647336050
0.3	0.5	4.5374	4.343486157444654	0.1896388865728056	dual_learn_rate=0.1;learn_rate_autoencoder=0.001;learn_rate_memory=5e-05;mom=0.3	Comma_Bugfix.py_908402401	516252642
0.45	0.5	5.232	4.435378723548422	0.7911935442678042	dual_learn_rate=0.05;learn_rate_autoencoder=0.1;learn_rate_memory=5e-05;mom=0.3	Comma_Bugfix.py_939678401	727001672
0.6	0.25	4.4669	4.670893954199021	1.4190875363441713	dual_learn_rate=0.02;learn_rate_autoencoder=0.01;learn_rate_memory=1e-05;mom=0.9	Comma_Bugfix.py_952757952	709961927
0.45	0.5	4.8837	4.362955271157994	0.5250217973083837	dual_learn_rate=0.3;learn_rate_autoencoder=0.2;learn_rate_memory=5e-05;mom=0.7	x_J_3_W_GPT2.py_116146778	647336050
0.45	0.0	0.2827	5.0	0.28135255932212627	dual_learn_rate=0.01;learn_rate_autoencoder=0.2;learn_rate_memory=5e-05;mom=0.5	x_J_3_W_GPT2.py_179088476	709961927
0.4	0.0	0.1471	5.0	0.14806768494748435	dual_learn_rate=0.02;learn_rate_autoencoder=0.001;learn_rate_memory=5e-05;mom=0.7	x_J_3_W_GPT2.py_191511088	712478284
0.5	0.5	5.1352	4.407857112923376	0.7201669529649841	dual_learn_rate=0.02;learn_rate_autoencoder=0.001;learn_rate_memory=5e-05;mom=0.5	x_J_3_W_GPT2.py_250967824	709961927
0.55	0.5	5.3962	4.435587261494767	0.9698676252974312	dual_learn_rate=0.3;learn_rate_autoencoder=0.1;learn_rate_memory=2e-05;mom=0.9	x_J_3_W_GPT2.py_282352930	727001672
0.4	0.0	0.0983	5.0	0.09806316477386813	dual_learn_rate=0.01;learn_rate_autoencoder=0.001;learn_rate_memory=0.0001;mom=0.9	x_J_3_W_GPT2.py_444273729	709961927
0.55	0.0	0.9477	5.0	0.9516075481397652	dual_learn_rate=0.05;learn_rate_autoencoder=0.1;learn_rate_memory=2e-05;mom=0.5	x_J_3_W_GPT2.py_464657019	647336050
0.5	0.0	0.4799	5.0	0.48403646103445336	dual_learn_rate=0.2;learn_rate_autoencoder=0.2;learn_rate_memory=5e-05;mom=0.5	x_J_3_W_GPT2.py_465577363	727001672
0.55	0.5	5.3072	4.457148080703196	0.8534761834235596	dual_learn_rate=0.2;learn_rate_autoencoder=0.01;learn_rate_memory=0.0001;mom=0.5	x_J_3_W_GPT2.py_498236788	712478284
0.45	0.5	4.8487	4.367341119842899	0.47262519121581736	dual_learn_rate=0.01;learn_rate_autoencoder=0.1;learn_rate_memory=5e-05;mom=0.7	x_J_3_W_GPT2.py_591357781	524811876
0.3	0.0	0.0151	5.0	0.015472513778671336	dual_learn_rate=0.05;learn_rate_autoencoder=0.01;learn_rate_memory=0.0001;mom=0.9	x_J_3_W_GPT2.py_637269688	709961927
0.5	0.5	4.9547	4.414922226111459	0.5501763523795609	dual_learn_rate=0.02;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.9	x_J_3_W_GPT2.py_675784233	647336050
0.3	1.0	8.6333	4.3169877888501285	0.6845081937090461	dual_learn_rate=0.3;learn_rate_autoencoder=0.01;learn_rate_memory=2e-05;mom=0.7	x_J_3_W_GPT2.py_681474707	727001672
0.4	0.0	0.2061	5.0	0.2094935150626754	dual_learn_rate=0.2;learn_rate_autoencoder=0.01;learn_rate_memory=2e-05;mom=0.7	x_J_3_W_GPT2.py_708115795	712478284
0.45	0.5	4.7615	4.387861730099116	0.38944489923200265	dual_learn_rate=0.2;learn_rate_autoencoder=0.001;learn_rate_memory=5e-05;mom=0.5	ix_J_3_W_GPT2.py_73230605	712478284
0.55	0.5	5.4807	4.464309479962598	1.0272394744189965	dual_learn_rate=0.1;learn_rate_autoencoder=0.2;learn_rate_memory=0.0001;mom=0.9	x_J_3_W_GPT2.py_788091576	727001672
0.45	0.0	0.2881	5.0	0.2922940940511985	dual_learn_rate=0.05;learn_rate_autoencoder=0.01;learn_rate_memory=5e-05;mom=0.9	ix_J_3_W_GPT2.py_79010925	524811876
0.55	0.0	0.7648	5.0	0.7613343366613413	dual_learn_rate=0.02;learn_rate_autoencoder=0.2;learn_rate_memory=0.0001;mom=0.7	x_J_3_W_GPT2.py_922774826	727001672
0.55	0.0	1.0659	5.0	1.0632936176169572	dual_learn_rate=0.02;learn_rate_autoencoder=0.2;learn_rate_memory=2e-05;mom=0.5	ix_J_3_W_GPT2.py_94907627	516252642
0.4	0.0	0.3727	5.0	0.36127753125351736	dual_learn_rate=0.2;learn_rate_autoencoder=0.01;learn_rate_memory=2e-05;mom=0.5	ix_J_3_W_GPT2.py_95795388	524811876
0.5	0.5	5.076	4.406224374412054	0.6829565903496616	dual_learn_rate=0.3;learn_rate_autoencoder=0.1;learn_rate_memory=5e-05;mom=0.5	x_J_3_W_GPT2.py_991579562	727001672
0.5	0.0	0.5613	5.0	0.5594226408126471	dual_learn_rate=0.01;learn_rate_autoencoder=0.001;learn_rate_memory=0.0001;mom=0.5	x_J_3_W_GPT2.py_992213137	712478284
0.45	0.0	0.2217	5.0	0.2232633814248299	dual_learn_rate=0.05;learn_rate_autoencoder=0.1;learn_rate_memory=5e-05;mom=0.7	ix_J_3_W_GPT2.py_99767452	647336050
0.3	0.0	0.0306	5.0	0.030615561901209738	dual_learn_rate=0.05;learn_rate_autoencoder=0.001;learn_rate_memory=5e-05;mom=0.9	_J_3_W_GPT2M.py_174187200	709961927
0.55	0.0	0.8126	5.0	0.8167287370739034	dual_learn_rate=0.1;learn_rate_autoencoder=0.1;learn_rate_memory=2e-05;mom=0.7	_J_3_W_GPT2M.py_193988359	727001672
0.5	0.5	5.0497	4.406081621318306	0.6486685740410203	dual_learn_rate=0.3;learn_rate_autoencoder=0.01;learn_rate_memory=5e-05;mom=0.7	_J_3_W_GPT2M.py_278167740	712478284
0.55	0.5	5.2504	4.432241859059474	0.8107596773856749	dual_learn_rate=0.2;learn_rate_autoencoder=0.1;learn_rate_memory=5e-05;mom=0.9	_J_3_W_GPT2M.py_345336356	709961927
0.5	0.25	2.9376	4.423324556921584	0.4825761864706859	dual_learn_rate=0.3;learn_rate_autoencoder=0.01;learn_rate_memory=5e-05;mom=0.9	_J_3_W_GPT2M.py_493283383	647336050
0.55	0.0	0.7711	5.0	0.7737604163136894	dual_learn_rate=0.05;learn_rate_autoencoder=0.01;learn_rate_memory=5e-05;mom=0.9	_J_3_W_GPT2M.py_553302187	524811876
0.5	1.0	8.8698	4.43433757630552	1.459663719066968	dual_learn_rate=0.02;learn_rate_autoencoder=0.001;learn_rate_memory=0.0001;mom=0.7	_J_3_W_GPT2M.py_584015835	647336050
0.4	0.0	0.1364	5.0	0.1341453280548788	dual_learn_rate=0.1;learn_rate_autoencoder=0.2;learn_rate_memory=2e-05;mom=0.9	_J_3_W_GPT2M.py_767406753	712478284
0.3	0.0	0.0563	5.0	0.057588167591109234	dual_learn_rate=0.2;learn_rate_autoencoder=0.1;learn_rate_memory=0.0001;mom=0.5	_J_3_W_GPT2M.py_908049000	524811876
