Noun	NounRecovered	NounThatRecovered	True_False	False_False	ThatCount	VerbCount	PrepCount	NextWords
presumption	0.416	0.18	2.484906649788	4.76217393479776	90.0	18	45.0	[('in', 135), (',', 12), ('sent', 11), ('vbd', 9), ('cc', 8), ('md', 6), ('vbz', 4), ('pos', 3), ('vbg', 3), ('jj', 3), ('to', 2), ('vbn', 2), ("''", 2), ('dt', 2), ('(', 1), ('nn', 1), ('rp', 1), (':', 1), ('rb', 1), ('OOV', 1)]
suspicion	0.392	0.168	2.70805020110221	4.97673374242057	84.0	8	82.0	[('in', 166), ('to', 9), ('vbd', 5), ('md', 2), ('vbz', 2), (',', 2), ('jj', 1), ('vbp', 1), ('pp', 1), ('cc', 1), (':', 1), ('pos', 1), (' that', 1), ('rb', 1), ('sent', 1), ('dt', 1)]
certainty	0.38	0.182	0.693147180559945	2.89037175789616	91.0	7	41.0	[('in', 132), ('sent', 13), (',', 12), ('md', 6), ('cc', 4), ('to', 3), ('vbp', 3), ('vbz', 2), ('wp', 2), ('nn', 2), ('pp', 1), ('wrb', 1), ('vbd', 1), ('nns', 1), ('vb', 1), ('pp$', 1), ('rb', 1), ('np', 1), ('jj', 1), ('pos', 1), ('dt', 1)]
revelation	0.396	0.16	4.34380542185368	6.47543271670409	80.0	15	61.0	[('in', 141), ('sent', 11), ('vbz', 6), (',', 5), ('cc', 4), ('vbd', 4), (':', 4), ('md', 3), ('dt', 2), ('vbn', 2), ('jj', 2), ('pp', 2), ('vbp', 2), ('to', 1), ('pos', 1), ('vb', 1), ('nn', 1), ('OOV', 1), ('fw', 1), ("''", 1), ('np', 1), ('(', 1), ('cd', 1)]
claim	0.402	0.23	5.78074351579233	7.82003798945875	115.0	8	26.0	[('in', 141), ('to', 21), ('sent', 5), ('dt', 5), (',', 3), ('vbn', 3), ('cc', 3), ('vbd', 3), ('rb', 3), ('np', 3), ('md', 2), ('cd', 1), ('rp', 1), (' can', 1), ('nns', 1), (':', 1), ('vbz', 1), ('vbg', 1), ("''", 1), ('OOV', 1)]
perception	0.362	0.136	3.95124371858143	5.94017125272043	68.0	3	88.0	[('in', 156), (',', 6), ('sent', 4), ('cc', 3), ('vbz', 2), ('to', 2), ('vbd', 1), ('dt', 1), ('wrb', 1), ('md', 1), ('jj', 1), ('nn', 1), ("''", 1), ('pp', 1)]
assurance	0.424	0.182	1.38629436111989	3.04452243772342	91.0	13	66.0	[('in', 157), ('cc', 9), ('sent', 9), (',', 8), ('vbd', 8), ('to', 5), ('nn', 5), ('vbz', 3), (':', 2), ('vbn', 2), ('np', 2), ('pos', 1), ('dt', 1)]
assumption	0.378	0.194	5.2257466737132	6.67076632084587	97.0	7	50.0	[('in', 147), ('sent', 7), ('dt', 7), (',', 5), ('to', 3), (':', 3), ('cc', 3), ('vbz', 2), ('vbp', 2), ('nns', 2), ('vbd', 2), ('pp', 2), ('rb', 1), ('nn', 1), ('np', 1), ('vbg', 1)]
suggestion	0.392	0.188	5.08140436498446	6.49223983502047	94.0	12	60.0	[('in', 154), ('sent', 8), (',', 6), ('vbd', 5), ('vbn', 4), ('md', 4), ('cc', 3), ('to', 3), ('vbz', 3), ('dt', 1), ('wrb', 1), ('nns', 1), ('rb', 1), ('OOV', 1), ('pos', 1)]
realization	0.43	0.198	4.18965474202643	5.49306144334055	99.0	8	70.0	[('in', 169), ('dt', 7), ('sent', 6), ('vbd', 6), (',', 5), ('md', 4), ('cc', 3), ('rb', 3), ('to', 2), ('nn', 2), ('vbz', 2), ('wrb', 2), ('rp', 1), ('jj', 1), ('nps', 1), ('sym', 1)]
belief	0.388	0.322	5.66642668811243	6.86380339145295	161.0	5	16.0	[('in', 177), (',', 3), ('sent', 3), ('vbz', 3), ('to', 2), ('vbd', 2), ('(', 1), ('np', 1), ('cc', 1), ('nns', 1)]
assertion	0.376	0.184	4.44265125649032	5.42053499927229	92.0	12	52.0	[('in', 144), ('sent', 9), (',', 7), ('vbd', 6), ('cc', 5), ('vbz', 4), ('to', 4), ('vbg', 2), ('(', 1), ('jj', 1), ('pp', 1), ('nn', 1), ('md', 1), ('dt', 1), ('pp$', 1)]
fact	0.41	0.306	8.91489490890657	9.51731023333525	153.0	5	7.0	[('in', 160), (',', 21), ('wrb', 4), ('np', 2), ('wp', 2), ('dt', 2), ('vbd', 2), ('rb', 2), ('to', 1), ('md', 1), ('vbz', 1), (' in', 1), ('nn', 1), ('vb', 1), ('vbg', 1), ('sent', 1), ('OOV', 1), ('pp', 1)]
