predictability_weight	deletion_rate	NData	AIC	Coefficient	Correlation	
0	0.2	7271	91807.35	3.77791	0.8898147	1.350949	
0.5	0.6	7271	91800.73	4.519461	1.446435	0.3884374	
0	0.35	7271	91810.08	3.764715	0.6838763	1.317835	
0	0.1	7271	91807.7	3.812739	1.503509	1.046095	
1	0.2	7271	91808.42	3.601558	1.289665	-1.022893	
1	0.65	7271	91804.95	4.229748	1.222104	0.04232675	
0.75	0.15	7271	91810.35	3.817089	0.2398837	-0.6772172	
0	0.7	7271	91820.89	2.502385	-1.474344	2.150959	
0.25	0.15	7271	91810.05	3.747142	0.9340373	-0.04730539	
0	0.4	7271	91803.28	3.915507	-0.9712201	3.126947	
0.75	0.3	7259	91666.78	3.657199	1.036546	0.2806405	
1	0.9	7271	91793.13	5.435876	-0.2723997	2.714436	
0	0.85	7271	91823.67	2.74119	-1.58325	1.954059	
1	0.35	7271	91800.3	3.565932	2.594931	0.3958991	
0.5	0.75	7271	91795.74	4.59208	-0.1355241	2.948276	
1	0.1	7271	91810.36	3.789962	0.4704092	0.384132	
1	0.55	7271	91809.57	4.08897	-0.3265068	-0.01089404	
0.75	0.45	7271	91801.39	4.017774	1.913479	0.6472657	
0.75	0.1	7271	91809.21	3.750746	1.054442	-0.7648811	
1	0.75	7271	91800.87	4.684344	0.7308964	0.818995	
1	0.5	7271	91807.26	4.032341	0.8317071	0.6084908	
1	0.3	7271	91804.84	3.689683	1.682585	0.8114255	
0.5	0.5	7271	91803.04	4.204666	1.404194	0.6411816	
1	0.25	7271	91809.7	3.833793	0.6264715	-0.07925868	
0.5	0.4	7271	91801.91	4.145946	1.482242	1.280454	
0.5	0.2	7271	91810.19	3.837705	0.6848725	0.2212359	
0.75	0.25	7271	91808.6	3.79188	1.110014	0.135548	
0	0.6	7271	91809.87	4.68558	-0.9800369	0.5550529	
0.5	0.3	7271	91810.73	3.814809	0.4062727	0.1038728	
0.5	0.35	7271	91810.17	3.899086	0.2253085	0.3560314	
1	0.6	7271	91808.21	4.132152	0.1052297	0.806271	
0.25	0.55	7271	91795.99	4.7487	1.276227	2.181398	
0	0.8	7271	91825.27	1.042616	-0.7898153	2.368477	
0.75	0.4	7271	91803.74	4.033184	0.905721	1.535404	
0	0.25	7271	91805.37	4.130999	-0.4132255	2.03635	
0	0.45	7271	91806.94	3.479936	-1.495537	2.603656	
0.5	0.25	7271	91810.74	3.825831	0.107284	-0.4777966	
0.75	0.9	7271	91790.44	5.678204	0.002536625	2.641206	
0.5	0.45	7271	91803.86	4.20893	1.630268	-0.01335305	
1	0.4	7271	91809.26	3.947838	0.6023051	-0.07594565	
0.75	0.65	7271	91796.85	4.378558	1.570479	1.638841	
0.25	0.35	7271	91809.78	3.865919	0.5313558	0.6853542	
0.25	0.05	7271	91807.86	3.822452	0.4795357	1.711016	
0.25	0.7	7271	91793.6	4.871536	-0.3196942	2.860845	
0.25	0.6	7271	91792.07	4.985004	0.553189	2.3873	
0.75	0.05	7271	91809.05	3.900658	0.3655063	1.335275	
0.75	0.35	7271	91805.44	4.114693	0.9711409	0.6676255	
