predictability_weight	deletion_rate	NData	AIC	Coefficient	EIS1	EIS2	
0	0.2	7271	39707.06	5.743246	1.450737	-0.6550945	
0.5	0.6	7271	39712.68	5.723601	0.2971182	0.5648086	
0	0.35	7271	39712.56	6.065406	0.5502263	-0.5507137	
0	0.1	7271	39704.46	5.503045	0.1134487	0.7825861	
1	0.2	7271	39706.78	5.420099	0.6320752	-0.4095346	
1	0.65	7271	39707.29	6.013512	1.740562	-0.6215187	
0.75	0.15	7271	39704.07	5.244474	1.328623	-0.6582693	
0	0.7	7271	39712.48	9.488741	1.39115	1.107204	
0.25	0.15	7271	39705.1	5.568714	0.4722271	-0.8686244	
0	0.4	7271	39707.47	7.076271	1.768691	1.261729	
0.75	0.3	7259	39639.69	5.271031	1.457472	-0.7608698	
1	0.9	7271	39713.88	7.145975	-0.6590609	0.3191526	
0	0.85	7271	39716.01	9.533795	1.01538	0.08367525	
1	0.35	7271	39705.42	4.817782	1.693138	0.2364983	
0.5	0.75	7271	39709.07	6.791347	1.592243	0.6827011	
1	0.1	7271	39703.65	5.613424	0.214591	-1.363669	
1	0.55	7271	39711.05	6.19548	0.3224652	-0.04021979	
0.75	0.45	7271	39708.51	5.704198	1.397289	-0.08603183	
0.75	0.1	7271	39702	5.587365	-0.762042	-0.5840183	
1	0.75	7271	39709.4	6.03353	1.472083	0.09726535	
1	0.5	7271	39707.97	5.651045	1.396942	0.4244251	
1	0.3	7271	39705.33	5.114942	1.607943	0.2467805	
0.5	0.5	7271	39711.62	6.277913	0.3285987	-0.3731498	
1	0.25	7271	39707.21	5.353629	0.8379474	-0.3651747	
0.5	0.4	7271	39707.26	5.376482	1.601744	1.208735	
0.5	0.2	7271	39708.17	5.79791	-0.5532395	0.2781201	
0.75	0.25	7271	39707.09	5.316253	1.455335	-0.8967579	
0	0.6	7271	39710.18	6.89042	1.353989	1.67608	
0.5	0.3	7271	39708.58	5.34104	1.506524	-0.9670961	
0.5	0.35	7271	39710.42	5.925252	0.7252205	-0.7964006	
1	0.6	7271	39709.09	5.916044	1.171518	0.4349847	
0.25	0.55	7271	39709.72	7.621865	1.381169	0.1285961	
0	0.8	7271	39712.42	9.500466	1.298678	1.576958	
0.75	0.4	7271	39707.87	5.668329	1.446528	-0.01676134	
0	0.25	7271	39709.36	6.131734	1.181134	0.8118207	
0	0.45	7271	39707.39	6.139639	1.643254	2.276104	
0.5	0.25	7271	39708.99	5.136717	1.403874	-0.8482636	
0.75	0.9	7271	39712.64	7.9445	-0.7178877	-0.0553244	
0.5	0.45	7271	39711.63	6.351261	0.2152323	-0.5639189	
1	0.4	7271	39707.6	5.645028	1.065581	-0.5289676	
0.75	0.65	7271	39707.03	5.822973	1.857427	0.3385489	
0.25	0.35	7271	39709.58	6.213853	0.3545524	-1.226578	
0.25	0.05	7271	39698.24	5.670634	1.690556	-0.3532255	
0.25	0.7	7271	39711.4	7.067625	1.195437	0.8915769	
0.25	0.6	7271	39708.13	7.302709	1.69153	0.5148002	
0.75	0.05	7271	39704.44	5.654478	0.1270925	0.3098029	
0.75	0.35	7271	39708.34	5.490027	1.501274	-0.4287766	
0	0.15	7271	39708.33	5.408672	0.658152	-0.4952968	
0	0.75	7271	39709.54	8.635537	2.575172	0.2987153	
0.5	0.95	7271	39714.76	7.024057	-0.2309695	0.8577765	
0.25	0.95	7271	39713.09	7.619664	-1.20811	0.4440337	
0.5	0.7	7271	39710.58	7.606154	0.7706514	-0.7345838	
0.5	0.1	7271	39702.47	5.15284	1.088805	-0.3160208	
1	0.05	7271	39702.97	5.645147	0.1285424	-0.1584913	
0	0.95	7209	39358.56	12.72271	1.790444	1.137909	
0.5	0.85	7271	39712.73	7.037222	0.5464497	0.04303683	
0.5	0.05	7271	39698.95	5.559958	1.973423	-0.6137899	
1	0.85	7271	39712.93	6.887805	0.5043957	-0.2871348	
0.75	0.5	7271	39708.18	5.913021	1.309423	0.1331452	
0.5	0.15	7271	39704.21	5.072432	1.528285	-0.8126553	
0.25	0.8	7271	39711.2	8.122681	0.8471614	0.4806551	
0.25	0.1	7271	39698.31	5.293463	1.298501	-0.4581363	
1	0.7	7263	39609.09	6.238174	1.211408	-0.4402422	
0.75	0.95	7271	39715.74	6.816134	-0.2889936	0.4529425	
0.5	0.65	7271	39710.43	6.633591	1.185612	0.2510694	
0.5	0.8	7271	39710.97	7.934481	0.3368393	-0.7006476	
0.25	0.45	7271	39712.8	6.129246	0.1243773	0.2749969	
0	0.5	7271	39708.73	7.446354	0.3312285	2.019488	
0.75	0.8	7271	39709.89	6.892222	1.249722	-0.2548266	
1	0.15	7271	39704.65	5.183478	0.8186146	-0.8343649	
1	0.95	7271	39714.13	8.08694	0.5019008	0.4501002	
0.25	0.75	7271	39706.79	8.267469	1.562334	1.453496	
0	0.9	7271	39712.97	13.0415	1.378092	-0.3195384	
1	0.45	7271	39709.77	5.849504	0.938505	-0.07810662	
0.5	0.9	7271	39711.72	8.633278	-0.3790773	-0.4887153	
0.25	0.3	7271	39709.83	5.652832	0.02722304	-0.9488135	
0.75	0.85	7271	39712.65	6.420103	0.7275377	-0.2541027	
1	0.8	7271	39712.03	6.196667	0.8875706	-0.01043467	
0.75	0.6	7271	39710.84	6.10302	0.6286948	0.2020443	
0	0.65	7271	39709.03	8.075134	0.6638932	1.921012	
0.25	0.5	7271	39712.63	6.468816	0.1633857	0.3130793	
0.25	0.85	7271	39712.33	8.241984	0.2301535	-0.08477036	
0.25	0.9	7271	39716.77	6.121659	0.2077387	-0.03479902	
0.25	0.4	7271	39711.62	6.521411	0.05824545	-0.9039637	
0.25	0.2	7271	39708.04	5.30234	1.57417	-1.082525	
0	0.55	7271	39708.1	6.581524	0.2090516	2.606409	
0	0.05	7271	39702.99	5.609405	-0.4268422	0.7973849	
0.75	0.75	7271	39707.97	6.456542	1.710889	-0.08100627	
0.25	0.25	7271	39708.18	5.33819	1.095267	-1.02945	
0.25	0.65	7271	39712.24	7.771467	0.09651065	-0.1615596	
