predictability_weight	deletion_rate	NData	AIC	Coefficient	Correlation	
0	0.2	7271	94861.52	4.972634	0.7800189	0.4307076	
0.5	0.6	7271	94861.34	5.709725	0.2901025	-0.6678909	
0	0.35	7271	94865.52	4.994861	0.4608529	0.9930693	
0	0.1	7271	94854.41	4.913151	0.9330296	1.824606	
1	0.2	7271	94859.03	4.655685	1.116735	-1.314287	
1	0.65	7271	94860	5.257716	0.9478641	-1.460545	
0.75	0.15	7271	94857.39	4.94951	0.3688198	-1.44508	
0	0.7	7271	94877.35	2.198863	-1.811276	1.613702	
0.25	0.15	7271	94858.59	4.945545	0.07400748	-1.044779	
0	0.4	7271	94858.99	5.155698	-0.2139121	2.819746	
0.75	0.3	7259	94713.77	4.813449	0.8140802	-0.7457276	
1	0.9	7271	94863.68	6.109847	-1.576321	0.748838	
0	0.85	7271	94884.83	2.216081	-2.021829	0.2839953	
1	0.35	7271	94857.12	4.680244	1.934516	-0.003370035	
0.5	0.75	7271	94862.48	5.493387	-1.118757	1.407725	
1	0.1	7271	94859.03	4.978558	-0.05667919	-0.7259432	
1	0.55	7271	94864.52	5.113095	-0.2258458	-0.8201255	
0.75	0.45	7271	94859.63	5.17871	1.388515	-0.3821785	
0.75	0.1	7271	94853.98	4.846496	0.6255686	-1.624558	
1	0.75	7271	94860.98	5.767043	0.1991464	-0.9894281	
1	0.5	7271	94863.4	5.119278	0.2867314	0.339657	
1	0.3	7271	94858.67	4.786863	1.440095	0.4089018	
0.5	0.5	7271	94861.38	5.50083	0.4779499	-0.371927	
1	0.25	7271	94861.27	4.871619	0.5979866	-0.6069939	
0.5	0.4	7271	94859.84	5.479565	0.9402725	0.3644659	
0.5	0.2	7271	94862.07	5.03014	-0.1195728	-0.588923	
0.75	0.25	7271	94860.2	4.961866	1.06343	-1.151024	
0	0.6	7271	94869.13	5.625501	-0.7578868	0.3511079	
0.5	0.3	7271	94864.18	5.010629	0.3057553	-0.721107	
0.5	0.35	7271	94864.5	5.126007	0.1407268	-0.3084287	
1	0.6	7271	94864.63	5.174524	-0.5017784	0.1148077	
