predictability_weight	deletion_rate	NData	AIC	Coefficient	EIS1	EIS2	
0	0.2	7271	726.4569	0.004773152	1.571289	-0.5472957	
0.5	0.6	7271	732.8234	0.005256463	-0.2461361	-0.05157979	
0	0.35	7271	730.8835	0.00565425	1.209658	-0.4883217	
0	0.1	7271	722.9499	0.004984552	1.350389	-1.020534	
1	0.2	7271	726.463	0.004073387	1.183955	-0.5018394	
1	0.65	7271	732.8435	0.004485229	-0.3999606	-0.2158574	
0.75	0.15	7271	724.1902	0.005120681	0.06821213	-1.495088	
0	0.7	7271	732.8292	0.00607369	-2.063764	-1.072774	
0.25	0.15	7271	724.9063	0.00512225	-0.2526911	-0.8793449	
0	0.4	7271	734.1344	0.00552092	0.03174517	0.3086494	
0.75	0.3	7259	727.7331	0.004755368	1.522421	-0.3712409	
1	0.9	7271	737.2665	0.004312828	-1.144981	0.07648834	
0	0.85	7271	731.2203	0.0003789949	-1.825035	-2.119933	
1	0.35	7271	727.2811	0.004121447	1.273598	-0.1008817	
0.5	0.75	7271	733.3427	0.004871382	-1.932778	1.067614	
1	0.1	7271	722.6654	0.004448942	1.140203	-1.552696	
1	0.55	7271	733.4028	0.004154355	0.3339666	0.08127648	
0.75	0.45	7271	731.0053	0.004750662	0.6304052	0.1325088	
0.75	0.1	7271	721.4409	0.004860269	1.197218	-0.4363595	
1	0.75	7271	734.6793	0.003944849	0.3739959	-0.4481822	
1	0.5	7271	731.1342	0.004750308	-0.288216	0.8140642	
1	0.3	7271	728.6388	0.004565509	0.5954531	0.07853782	
0.5	0.5	7271	731.9693	0.005364715	-0.006994114	-0.1545291	
1	0.25	7271	728.5453	0.004636231	0.3944395	-0.2614057	
0.5	0.4	7271	730.3991	0.005377947	0.9271635	0.2523969	
0.5	0.2	7271	727.1406	0.005022558	1.030408	-0.422988	
0.75	0.25	7271	724.306	0.004315727	2.252871	-1.178512	
0	0.6	7271	733.7875	0.004292149	-1.611844	0.1039215	
0.5	0.3	7271	729.3301	0.004938808	1.227541	-0.6742011	
0.5	0.35	7271	728.4245	0.004851278	1.776265	-0.2231593	
1	0.6	7271	732.0814	0.00455903	-0.8860493	0.6991422	
0.25	0.55	7271	733.5149	0.00545181	-1.59586	0.2542108	
0	0.8	7271	731.8022	0.0009497965	-0.8405894	-2.158676	
0.75	0.4	7271	728.2756	0.004527884	1.596309	-0.5438985	
0	0.25	7271	732.0397	0.005026527	0.7528646	0.2874268	
0	0.45	7271	734.7565	0.005869394	0.2439651	-0.2626533	
0.5	0.25	7271	730.3439	0.004983147	0.3928088	-0.8659967	
0.75	0.9	7271	736.144	0.00465606	-1.215408	0.05763526	
0.5	0.45	7271	731.0994	0.005216248	0.7836717	0.07317207	
1	0.4	7271	730.3135	0.004486958	0.2729528	0.1649816	
0.75	0.65	7271	732.9288	0.004609574	0.1567547	0.6489896	
0.25	0.35	7271	728.346	0.005136171	1.459232	-0.03282142	
0.25	0.05	7271	720.659	0.004972243	-0.6105316	-0.5411386	
