predictability_weight	deletion_rate	NData	AIC	Coefficient	EIS1	EIS2	
0	0.2	7271	4414.605	0.01023611	1.571584	-1.873928	
0.5	0.6	7271	4421.245	0.01241182	-0.04053984	-1.45438	
0	0.35	7271	4422.013	0.011459	-0.08358863	-1.562653	
0	0.1	7271	4415.408	0.01058707	0.03901692	0.2726789	
1	0.2	7271	4416.599	0.01012838	0.5397185	-1.01751	
1	0.65	7271	4419.664	0.01145435	0.2833333	-1.293303	
0.75	0.15	7271	4413.254	0.01048976	0.744335	-1.669842	
0	0.7	7271	4425.182	0.01969311	0.5117609	0.6449702	
0.25	0.15	7271	4412.942	0.0103464	0.7039298	-1.59863	
0	0.4	7271	4422.456	0.012455	1.162228	-1.277775	
0.75	0.3	7259	4414.296	0.0102646	0.8640581	-1.613769	
1	0.9	7271	4420.782	0.01273526	-2.559193	-0.7253585	
0	0.85	7271	4432.211	-0.002166578	1.104873	-1.759878	
1	0.35	7271	4417.862	0.01006224	0.9869572	-0.7198242	
0.5	0.75	7271	4423.32	0.01303119	-0.7725334	-0.3595277	
1	0.1	7271	4414.609	0.01067241	0.1639678	-1.305927	
1	0.55	7271	4421.997	0.01095496	0.1727917	-0.8626269	
0.75	0.45	7271	4420.14	0.01113619	0.785608	-0.8943325	
0.75	0.1	7271	4410.405	0.01041489	-1.09829	-1.234103	
1	0.75	7271	4422.631	0.01137833	0.1349138	-0.8558404	
1	0.5	7271	4420.362	0.01079925	0.8084436	-0.6563921	
1	0.3	7271	4417.602	0.009947748	1.132964	-0.7214803	
0.5	0.5	7271	4420.381	0.01161679	0.8800186	-0.8925321	
1	0.25	7271	4417.718	0.01029942	0.7169484	-0.8195671	
0.5	0.4	7271	4422.11	0.01129361	0.9891318	-0.4372186	
0.5	0.2	7271	4417.528	0.0106178	0.1845776	-0.975645	
0.75	0.25	7271	4414.792	0.01003552	1.34642	-2.152378	
0	0.6	7271	4426.517	0.01334561	1.312021	0.9602899	
0.5	0.3	7271	4418.023	0.01033332	0.8678297	-1.82597	
0.5	0.35	7271	4418.876	0.01067857	1.103382	-1.558912	
1	0.6	7271	4421.013	0.01093281	0.5035659	-0.9119164	
0.25	0.55	7271	4423.581	0.01307071	-1.184882	-0.5135409	
0	0.8	7271	4432.507	0.01049512	0.5929242	-0.2601279	
0.75	0.4	7271	4419.874	0.01071865	0.9136575	-0.7563272	
0	0.25	7271	4421.624	0.01099533	1.182543	-0.8541391	
0	0.45	7271	4422.572	0.01151182	1.565581	-1.474972	
0.5	0.25	7271	4415.289	0.01052288	0.661586	-2.417454	
0.75	0.9	7271	4420.375	0.01229923	-2.491851	-0.9237789	
0.5	0.45	7271	4420.251	0.01176213	0.8059918	-1.140295	
1	0.4	7271	4417.888	0.01063671	0.7307394	-1.172898	
0.75	0.65	7271	4421.315	0.01186879	0.7408582	-0.7885502	
0.25	0.35	7271	4419.882	0.01087025	0.8046641	-1.283908	
0.25	0.05	7271	4410.393	0.01053311	0.7100434	0.7823645	
0.25	0.7	7271	4426.739	0.01307117	0.1948443	-1.159356	
0.25	0.6	7271	4425.071	0.01286817	-0.2914419	-0.7767435	
0.75	0.05	7271	4413.453	0.01062149	-0.005302049	0.8397395	
0.75	0.35	7271	4418.746	0.01062517	0.975578	-1.619039	
0	0.15	7271	4414.583	0.009587873	1.44699	-1.615873	
0	0.75	7271	4432.523	0.01316162	0.432412	-1.033979	
0.5	0.95	7271	4423.589	0.009654585	-1.999444	-2.289235	
0.25	0.95	7271	4430.086	0.01181293	-0.7573748	-1.683343	
0.5	0.7	7271	4420.434	0.01403623	-0.9680654	-1.433926	
0.5	0.1	7271	4412.085	0.01006825	0.9849787	-1.183505	
1	0.05	7271	4410.603	0.009531908	1.739248	-0.2797726	
0	0.95	7209	4413.764	0.01153385	-0.04849427	-0.541094	
0.5	0.85	7271	4420.705	0.01370174	-1.440868	-1.317132	
0.5	0.05	7271	4409.979	0.01069923	1.528777	0.6782315	
1	0.85	7271	4422.908	0.01305798	-0.5428771	-1.496257	
0.75	0.5	7271	4419.251	0.01130962	0.9671552	-0.9635596	
0.5	0.15	7271	4413.979	0.01031186	0.5686431	-1.772339	
0.25	0.8	7271	4424.029	0.01252698	-0.4762828	-2.047295	
0.25	0.1	7271	4409.275	0.01026001	1.03142	-0.5742871	
1	0.7	7263	4417.289	0.01158775	-0.08479643	-1.208176	
0.75	0.95	7271	4430.707	0.0105991	-0.3759486	-2.11449	
0.5	0.65	7271	4423.688	0.01358518	-0.6916203	-0.7870415	
0.5	0.8	7271	4419.751	0.01373973	-1.816678	-0.59267	
0.25	0.45	7271	4423.439	0.01135829	0.5022081	-0.4612639	
0	0.5	7271	4425.824	0.01442238	0.0526051	0.1017361	
0.75	0.8	7271	4420.937	0.01352414	0.04880045	-1.559789	
1	0.15	7271	4415.843	0.01013901	0.5304726	-0.7092139	
1	0.95	7271	4428.624	0.01109043	-0.6036854	-2.186948	
0.25	0.75	7271	4421.15	0.01498044	0.797096	-2.178122	
0	0.9	7271	4433.148	0.003833888	0.123407	-1.982517	
1	0.45	7271	4421.365	0.01125956	0.06475433	-0.4531326	
0.5	0.9	7271	4418.603	0.01359883	-2.558171	-1.168673	
0.25	0.3	7271	4417.711	0.0107718	0.3156435	-1.55418	
0.75	0.85	7271	4423.498	0.0126144	-0.4347803	-1.058453	
1	0.8	7271	4423.538	0.01176499	-0.03783274	-0.8377975	
0.75	0.6	7271	4421.732	0.01185732	0.05252471	-0.6829264	
0	0.65	7271	4428.76	0.01438904	1.098039	-0.1054817	
0.25	0.5	7271	4424.136	0.01236907	-0.6579841	-0.2118569	
0.25	0.85	7271	4421.378	0.01314397	-1.829848	-1.536853	
0.25	0.9	7271	4427.755	0.008868185	-1.537168	-1.886999	
0.25	0.4	7271	4419.466	0.01162963	1.357798	-1.396022	
0.25	0.2	7271	4416.482	0.01056706	0.5651965	-2.214101	
0	0.55	7271	4427.013	0.01504195	-0.03586459	-0.1681232	
0	0.05	7271	4409.889	0.01110654	-2.031354	0.4164345	
0.75	0.75	7271	4422.401	0.01210621	0.05124253	0.05045665	
0.25	0.25	7271	4414.774	0.01004997	1.26284	-1.900867	
0.25	0.65	7271	4423.448	0.0120161	-1.798667	-0.6944822	
0.75	0.55	7271	4421.514	0.01123168	0.3515007	-0.4944909	
0	0.3	7271	4421.437	0.01192046	0.5243403	-1.448558	
0.5	0.55	7271	4422.029	0.01210247	-0.7713847	-0.7552095	
0.75	0.2	7271	4411.832	0.009813091	1.836788	0.3649943	
0.75	0.7	7271	4422.251	0.01236077	0.0193388	-0.8228372	
